"Project","Provider","CLIN","Effort","Activity","Control Account","ECP/REA","Change Code","Swbs","Group","SOC","Owning Org","Resource","Planning Unit","Sequence","FM","Work Order","Item","Op","Scope","Task","Progress","BAC","Estimate","BCWP to BAC","BCWP to Est","ACWP","ETC","Target","Provider Target","Provider ACWP","EAC","CPI BAC","CPI Est","Baseline Start","Baseline Finish","Forecast Start","Forecast Finish"
"470","1","LCS9 CHIT   ","246","0","                                        ","NO LABOR  ","    ","262","2","6","623","623","S    ","S00   ","999","279559","    L9900-V00013","10","VEN-SW-262 PERM FIX GAUGE BRDS","890","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","246 Total","","","","","","","","","","","","","","","","","","","0.00","228.00","0.00","148.00","238.50","80.00","0.00","0.00","0.00","318.50","","","","","",""
"470","1","LCS9 CHIT   ","280","0","                                        ","          ","    ","243","2","6","624","624","S    ","S00   ","53","274390","    L9900-V00011","10","VEN-SW-MODIFY & MANUFACTURE J ","890","100","0.00","20.00","0.00","20.00","2.00","0.00","0.00","0.00","0.00","2.00","0.00","10.00","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","280 Total","","","","","","","","","","","","","","","","","","","0.00","20.00","0.00","20.00","2.00","0.00","0.00","0.00","0.00","2.00","","","","","",""
"470","1","LCS9 CHIT   ","345","0","                                        ","          ","    ","989","9","8","625","625","D1S  ","D1SD1 ","53","276594","    L9900-V00012","10","VEN-D1SD1-FAB 22X36X1/8TH GALV","890","100","0.00","10.00","0.00","10.00","2.50","0.00","0.00","0.00","0.00","2.50","0.00","4.00","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","345 Total","","","","","","","","","","","","","","","","","","","0.00","10.00","0.00","10.00","2.50","0.00","0.00","0.00","0.00","2.50","","","","","",""
"470","1","LCS9 CHIT   ","450","0","                                        ","          ","    ","243","2","6","623","623","S    ","S00   ","133","280412","    L9900-V00014","10","VEN-SW-REPLACE 4 JAURE COUPLNG","890","100","0.00","100.00","0.00","100.00","470.02","0.00","0.00","0.00","0.00","470.02","0.00","0.21","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","450 Total","","","","","","","","","","","","","","","","","","","0.00","100.00","0.00","100.00","470.02","0.00","0.00","0.00","0.00","470.02","","","","","",""
"470","1","LCS9 CHIT   ","508","0","                                        ","          ","    ","243","2","6","624","624","S2   ","MS2   ","133","281508","    L9900-V00015","10","VEN-MS2-STBD STEERABLE STERN  ","890","100","0.00","360.00","0.00","360.00","393.08","0.00","0.00","0.00","0.00","393.08","0.00","0.92","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","508 Total","","","","","","","","","","","","","","","","","","","0.00","360.00","0.00","360.00","393.08","0.00","0.00","0.00","0.00","393.08","","","","","",""
"470","1","LCS9 CHIT   ","523","0","                                        ","          ","    ","565","5","8","623","623","S3LE2","S2L   ","51","283128","    L9900-V00017","10","VEN-S2L-PIPE DAMAGED SEA TRIAL","890","100","0.00","800.00","0.00","800.00","387.76","0.00","0.00","0.00","0.00","387.76","0.00","2.06","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","523 Total","","","","","","","","","","","","","","","","","","","0.00","800.00","0.00","800.00","387.76","0.00","0.00","0.00","0.00","387.76","","","","","",""
"470","1","LCS9 CHIT   ","526","0","                                        ","CF 2210   ","SHCK","262","2","8","623","623","S2   ","MS2   ","51","282392","    L9900-V00016","10","VEN-MS2-DARK SHIP LUBE OIL    ","890","100","0.00","1540.00","0.00","1540.00","1263.91","0.00","0.00","0.00","0.00","1263.91","0.00","1.22","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","526 Total","","","","","","","","","","","","","","","","","","","0.00","1540.00","0.00","1540.00","1263.91","0.00","0.00","0.00","0.00","1263.91","","","","","",""
"470","1","LCS9 CHIT   ","549","0","                                        ","          ","19b ","712","7","8","624","621","S    ","S00   ","44","286969","    L9900-V00023","10","VEN-SW-LCS 9 WEAPONS CVR TMPLT","890","0","0.00","400.00","0.00","0.00","0.00","400.00","0.00","0.00","0.00","400.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","549 Total","","","","","","","","","","","","","","","","","","","0.00","400.00","0.00","0.00","0.00","400.00","0.00","0.00","0.00","400.00","","","","","",""
"470","1","LCS9 CHIT   ","595","0","                                        ","595","19d ","201","2","8","624","624","A1   ","MA1   ","133","285945","    L9900-V00018","10","VEN-MA1-CF 2432 INSTL DAMPER  ","890","100","0.00","350.00","0.00","350.00","0.00","0.00","0.00","0.00","0.00","0.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","595 Total","","","","","","","","","","","","","","","","","","","0.00","350.00","0.00","350.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","",""
"470","1","LCS9 CHIT   ","597","0","                                        ","          ","19d ","320","3","6","626","626","S    ","S00   ","160","285947","    L9900-V00019","10","VEN-SW-ELEC SUPT ROLLS ROYCE  ","890","100","0.00","100.00","0.00","100.00","206.00","0.00","0.00","0.00","0.00","206.00","0.00","0.49","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"470","1","LCS9 CHIT   ","597","0","                                        ","          ","    ","234","2","6","626","626","E1   ","ME1   ","160","286498","    L9900-V00022","10","VEN-ME1-FMM ELEC SUPT RR CLAIM","890","100","0.00","100.00","0.00","100.00","90.00","0.00","0.00","0.00","0.00","90.00","0.00","1.11","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","597 Total","","","","","","","","","","","","","","","","","","","0.00","200.00","0.00","200.00","296.00","0.00","0.00","0.00","0.00","296.00","","","","","",""
"470","1","LCS9 CHIT   ","604","0","                                        ","          ","    ","581","5","8","624","624","B1   ","FB1   ","38","286407","    L9900-V00020","10","VEN-FB1-ANCHOR WINDLASS TBLSHT","890","100","0.00","200.00","0.00","200.00","201.00","0.00","0.00","0.00","0.00","201.00","0.00","1.00","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","604 Total","","","","","","","","","","","","","","","","","","","0.00","200.00","0.00","200.00","201.00","0.00","0.00","0.00","0.00","201.00","","","","","",""
"470","1","LCS9 CHIT   ","606","888","                                        ","          ","    ","247","2","8","624","624","S2L  ","S2L   ","157","","    L9900-V00021","10","VEN-S2L-M&M DIVING UNION SUPT ","890","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","606 Total","","","","","","","","","","","","","","","","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","",""
"470","1","LCS9 CHIT   ","623","0","                                        ","623","19d ","573","5","8","624","624","D2   ","OD2   ","38","287385","    L9900-V00025","10","VEN-OD2-MFG CHARGE MAG 1 CRANE","890","100","0.00","24.00","0.00","24.00","33.50","0.00","0.00","0.00","0.00","33.50","0.00","0.72","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","623 Total","","","","","","","","","","","","","","","","","","","0.00","24.00","0.00","24.00","33.50","0.00","0.00","0.00","0.00","33.50","","","","","",""
"470","1","LCS9 CHIT   ","628","0","                                        ","          ","19d ","262","2","8","624","624","E2   ","ME2   ","157","287030","    L9900-V00024","10","VEN-ME2-RR FILTER SHIELD      ","890","100","0.00","24.00","0.00","24.00","24.00","0.00","0.00","0.00","0.00","24.00","0.00","1.00","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","628 Total","","","","","","","","","","","","","","","","","","","0.00","24.00","0.00","24.00","24.00","0.00","0.00","0.00","0.00","24.00","","","","","",""
"470","1","LCS9 CHIT   ","641","0","                                        ","          ","19d ","234","2","6","623","623","E1L  ","E1L   ","113","287662","    L9900-V00026","10","VEN-E1L-RR COOLING LOOP MOD   ","890","100","0.00","25.00","0.00","25.00","24.50","0.00","0.00","0.00","0.00","24.50","0.00","1.02","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","641 Total","","","","","","","","","","","","","","","","","","","0.00","25.00","0.00","25.00","24.50","0.00","0.00","0.00","0.00","24.50","","","","","",""
"470","1","LCS9 CHIT   ","764","0","                                        ","          ","    ","169","1","6","621","621","S3   ","WS3   ","38","292228","    L9900-V00027","10","VEN-WS3-INSPECT DOOR HINGES   ","890","100","0.00","8.00","0.00","8.00","4.00","0.00","0.00","0.00","0.00","4.00","0.00","2.00","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","764 Total","","","","","","","","","","","","","","","","","","","0.00","8.00","0.00","8.00","4.00","0.00","0.00","0.00","0.00","4.00","","","","","",""
"470","1","LCS9 CHIT   ","841","0","                                        ","          ","    ","259","2","8","625","625","S    ","SU0   ","9","295499","    L9900-V00028","10","VEN-SU0-LCS 9 EXHAUST BELLOWS ","890","100","0.00","856.00","0.00","856.00","855.50","0.00","0.00","0.00","0.00","855.50","0.00","1.00","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","841 Total","","","","","","","","","","","","","","","","","","","0.00","856.00","0.00","856.00","855.50","0.00","0.00","0.00","0.00","855.50","","","","","",""
"470","1","LCS9 CHIT   ","857","0","                                        ","          ","19d ","262","2","8","624","624","A1LB1","A1LB1 ","157","296288","    L9900-V00029","10","VEN-A1LB1-UNION CHARGE SUPPORT","890","100","0.00","60.00","0.00","60.00","72.35","0.00","0.00","0.00","0.00","72.35","0.00","0.83","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","857 Total","","","","","","","","","","","","","","","","","","","0.00","60.00","0.00","60.00","72.35","0.00","0.00","0.00","0.00","72.35","","","","","",""
"470","1","LCS9 CHIT   ","870","0","                                        ","CHT 0870  ","19d ","631","6","6","625","625","S1U  ","S1US2 ","19","297127","    L9900-V00031","10","VEN-S1US2-RC1 PAINT           ","890","100","0.00","32.00","0.00","32.00","48.00","0.00","0.00","0.00","0.00","48.00","0.00","0.67","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","870 Total","","","","","","","","","","","","","","","","","","","0.00","32.00","0.00","32.00","48.00","0.00","0.00","0.00","0.00","48.00","","","","","",""
"470","1","LCS9 CHIT   ","871","0","                                        ","CHT 0871  ","    ","521","5","6","623","623","A1U  ","A1UD1 ","107","297124","    L9900-V00030","10","VEN-A1UD1-SPRINKLER SYSTEM    ","890","100","0.00","24.00","0.00","24.00","28.00","0.00","0.00","0.00","0.00","28.00","0.00","0.86","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","871 Total","","","","","","","","","","","","","","","","","","","0.00","24.00","0.00","24.00","28.00","0.00","0.00","0.00","0.00","28.00","","","","","",""
"","","","Grand Total","","","","","","","","","","","","","","","","","","","0.00","14454.00","0.00","13494.00","18076.72","960.00","0.00","0.00","0.00","19036.72","0.000","0.746","","","",""
