"Project","Provider","CLIN","Effort","Activity","Control Account","ECP/REA","Change Code","Swbs","Group","SOC","Owning Org","Resource","Planning Unit","Sequence","FM","Work Order","Item","Op","Scope","Task","Progress","BAC","Estimate","BCWP to BAC","BCWP to Est","ACWP","ETC","Target","Provider Target","Provider ACWP","EAC","CPI BAC","CPI Est","Baseline Start","Baseline Finish","Forecast Start","Forecast Finish"
"468","1","LCS7 CHIT   ","234","   ","","234","    ","897","9","14","620","620","900","900","0","943403","    L6200-000001","10","SALARY SUPPORT FOR 262 MOD    ","6000","100","0.00","300.00","0.00","300.00","34.93","0.00","0.00","0.00","0.00","34.93","0.00","8.59","","","",""
"","","","234 Total","","","","","","","","","","","","","","","","","","","0.00","300.00","0.00","300.00","34.93","0.00","0.00","0.00","0.00","34.93","","","","","",""
"468","1","LCS7 CHIT   ","258","   ","","258","    ","897","9","14","620","620","900","900","0","943434","    L6200-000002","10","LN SHAFT/THRUST BRNG OP/INSP  ","6000","100","0.00","300.00","0.00","300.00","183.34","0.00","0.00","0.00","0.00","183.34","0.00","1.64","","","",""
"","","","258 Total","","","","","","","","","","","","","","","","","","","0.00","300.00","0.00","300.00","183.34","0.00","0.00","0.00","0.00","183.34","","","","","",""
"468","1","LCS7 CHIT   ","379","   ","","379","    ","897","8","14","515","515","900","900","0","945204","    L6110-000002","10","SALARY SUPPORT FOR BST 2/BST 3","1537","100","0.00","2000.00","0.00","2000.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","",""
"","","","379 Total","","","","","","","","","","","","","","","","","","","0.00","2000.00","0.00","2000.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","",""
"468","1","LCS7 CHIT   ","425","   ","","CF 2319   ","    ","830","8","14","520","520","900","CF2319","0","944946","    L5200-000001","10","LCS CF 2319                   ","1566","100","0.00","8.00","0.00","8.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","",""
"","","","425 Total","","","","","","","","","","","","","","","","","","","0.00","8.00","0.00","8.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","",""
"468","1","LCS7 CHIT   ","426","   ","","CF 2317   ","    ","830","8","14","520","520","900","CF2317","0","944947","    L5200-000002","10","LCS CF 2317                   ","1566","100","0.00","8.00","0.00","8.00","1.75","0.00","0.00","0.00","0.00","1.75","0.00","4.57","","","",""
"468","1","LCS7 CHIT   ","426","   ","","CF 2317   ","    ","830","8","14","526","526","900","CF2317","0","944917","    L5260-000001","10","LCS CF 2317                   ","1566","100","0.00","40.00","0.00","40.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","",""
"","","","426 Total","","","","","","","","","","","","","","","","","","","0.00","48.00","0.00","48.00","1.75","0.00","0.00","0.00","0.00","1.75","","","","","",""
"468","1","LCS7 CHIT   ","427","   ","","CF 2316   ","    ","830","8","14","520","520","900","CF2316","0","944948","    L5200-000003","10","LCS CF 2316                   ","1566","100","0.00","8.00","0.00","8.00","1.00","0.00","0.00","0.00","0.00","1.00","0.00","8.00","","","",""
"468","1","LCS7 CHIT   ","427","   ","","CF 2316   ","    ","830","8","14","526","526","900","CF2316","0","944918","    L5260-000002","10","LCS CF 2316                   ","1566","100","0.00","40.00","0.00","40.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","",""
"","","","427 Total","","","","","","","","","","","","","","","","","","","0.00","48.00","0.00","48.00","1.00","0.00","0.00","0.00","0.00","1.00","","","","","",""
"468","1","LCS7 CHIT   ","428","   ","","CF 2315   ","    ","830","8","14","520","520","900","CF2315","0","944949","    L5200-000004","10","LCS CF 2315                   ","1566","100","0.00","8.00","0.00","8.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","",""
"468","1","LCS7 CHIT   ","428","   ","","CF 2315   ","    ","830","8","14","521","521","900","CF2315","0","944939","    L5210-000001","10","LCS CF 2315                   ","1566","0","0.00","20.00","0.00","0.00","0.00","20.00","0.00","0.00","0.00","20.00","","","","","",""
"468","1","LCS7 CHIT   ","428","   ","","CF 2315   ","    ","830","8","14","523","523","900","CF2315","0","944934","    L5230-000002","10","LCS CF 2315                   ","1566","100","0.00","8.00","0.00","8.00","8.82","0.00","0.00","0.00","0.00","8.82","0.00","0.91","","","",""
"468","1","LCS7 CHIT   ","428","   ","","CF 2315   ","    ","830","8","14","525","525","900","CF2315","0","944926","    L5250-000001","10","LCS CF 2315                   ","1566","100","0.00","8.00","0.00","8.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","",""
