"Project","Provider","CLIN","Effort","Activity","Control Account","ECP/REA","Change Code","Swbs","Group","SOC","Owning Org","Resource","Planning Unit","Sequence","FM","Work Order","Item","Op","Scope","Task","Progress","BAC","Estimate","BCWP to BAC","BCWP to Est","ACWP","ETC","Target","Provider Target","Provider ACWP","EAC","CPI BAC","CPI Est","Baseline Start","Baseline Finish","Forecast Start","Forecast Finish"
"362","1","104","AIT-29      ","1","                                        ","AIT-29    ","    ","437","4","20","626","626","900","900","0","","    L6000-AIT029","437","BUDGET CLIN 0104 AIT-029      ","83","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","4/4/2016","4/8/2016","4/4/2016","4/8/2016"
"362","1","104","AIT-29      ","1","                                        ","AIT-29    ","    ","437","4","98","626","626","900","900","46","289395","    L6900-437001","10","AIT-029 MOBI INDICATOR        ","56","100","32.00","32.00","32.00","32.00","28.00","0.00","0.00","0.00","0.00","28.00","1.14","1.14","4/4/2016","4/8/2016","4/4/2016","4/8/2016"
"","","","AIT-29       Total","","","","","","","","","","","","","","","","","","","32.00","32.00","32.00","32.00","28.00","0.00","0.00","0.00","0.00","28.00","","","","","",""
"362","1","104","AWI-0001    ","1","                                        ","AWI-0001  ","    ","992","9","98","621","621","900","900","46","299323","    L0900-992010","10","AWI-0001 PILOT/TUG SERVICES   ","52","100","120.00","120.00","120.00","120.00","4.00","0.00","0.00","0.00","0.00","4.00","30.00","30.00","4/4/2016","4/8/2016","4/4/2016","4/8/2016"
"362","1","104","AWI-0001    ","1","                                        ","AWI-0001  ","    ","992","9","20","621","621","900","900","0","","    L6000-AWI001","992","BUDGET CLIN 0104 AWI-0001     ","83","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","4/4/2016","4/8/2016","4/4/2016","4/8/2016"
"","","","AWI-0001     Total","","","","","","","","","","","","","","","","","","","120.00","120.00","120.00","120.00","4.00","0.00","0.00","0.00","0.00","4.00","","","","","",""
"362","1","104","AWI-0017A   ","1","                                        ","AWI-0017A ","    ","992","9","98","621","621","900","900","46","287902","    L0900-992001","10","AWI-0017A TEMP SERVICES       ","20","100","573.00","573.00","573.00","573.00","204.01","0.00","0.00","0.00","0.00","204.01","2.81","2.81","4/4/2016","4/8/2016","4/4/2016","4/8/2016"
"362","1","104","AWI-0017A   ","1","                                        ","AWI-0017A ","    ","992","9","20","621","621","900","900","0","","    L6000-AWI17A","992","BUDGET CLIN 0104 AWI-0017A    ","83","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","4/4/2016","4/8/2016","4/4/2016","4/8/2016"
"","","","AWI-0017A    Total","","","","","","","","","","","","","","","","","","","573.00","573.00","573.00","573.00","204.01","0.00","0.00","0.00","0.00","204.01","","","","","",""
"362","1","104","AWI-0017B   ","1","                                        ","AWI-0017B ","    ","992","9","98","621","621","900","900","46","289954","    L0900-992004","10","AWI-0017B FIREWATCH SUPPORT   ","51","100","73.00","73.00","73.00","73.00","0.00","0.00","0.00","0.00","0.00","0.00","","","4/4/2016","4/8/2016","4/4/2016","4/8/2016"
"362","1","104","AWI-0017B   ","1","                                        ","AWI-0017B ","    ","992","9","20","621","621","900","900","0","","    L6000-AWI17B","992","BUDGET CLIN 0104 AWI-0017B    ","83","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","4/4/2016","4/8/2016","4/4/2016","4/8/2016"
"","","","AWI-0017B    Total","","","","","","","","","","","","","","","","","","","73.00","73.00","73.00","73.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","",""
"362","1","104","AWI-0025    ","1","                                        ","AWI-0025  ","    ","992","9","98","621","621","900","900","46","288420","    L1900-992002","10","AWI-0025 RIGGING/CRANE/TRANS  ","52","100","73.00","73.00","73.00","73.00","29.00","0.00","0.00","0.00","0.00","29.00","2.52","2.52","4/4/2016","4/8/2016","4/4/2016","4/8/2016"
"362","1","104","AWI-0025    ","1","                                        ","AWI-0025  ","    ","992","9","20","621","621","900","900","0","","    L6000-AWI002","992","BUDGET CLIN 0104 AWI-0025     ","83","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","4/4/2016","4/8/2016","4/4/2016","4/8/2016"
"","","","AWI-0025     Total","","","","","","","","","","","","","","","","","","","73.00","73.00","73.00","73.00","29.00","0.00","0.00","0.00","0.00","29.00","","","","","",""
"362","1","104","AWI-0026    ","1","                                        ","AWI-0026  ","    ","992","9","98","621","621","900","900","46","288429","    L0900-992002","10","AWI-0026 AVAIL LOGISTIC SUPPT ","20","100","73.00","73.00","73.00","73.00","0.00","0.00","0.00","0.00","0.00","0.00","","","4/4/2016","4/8/2016","4/4/2016","4/8/2016"
"362","1","104","AWI-0026    ","1","                                        ","AWI-0026  ","    ","992","9","20","621","621","900","900","0","","    L6000-AWI026","992","BUDGET CLIN 0104 AWI-0026     ","83","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","4/4/2016","4/8/2016","4/4/2016","4/8/2016"
"","","","AWI-0026     Total","","","","","","","","","","","","","","","","","","","73.00","73.00","73.00","73.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","",""
"362","1","104","AWI-0028    ","1","                                        ","AWI-0028  ","    ","982","9","98","624","624","900","900","46","297646","    L4900-982001","10","AWI-0028 LOA/DOCK FAST CRUISE ","54","100","145.00","145.00","145.00","145.00","202.50","0.00","0.00","0.00","0.00","202.50","0.72","0.72","4/4/2016","4/8/2016","4/4/2016","4/8/2016"
"362","1","104","AWI-0028    ","1","                                        ","AWI-0028  ","    ","982","9","20","624","624","900","900","0","","    L6000-AWI028","982","BUDGET CLIN 0104 AWI-0028     ","83","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","4/4/2016","4/8/2016","4/4/2016","4/8/2016"
"","","","AWI-0028     Total","","","","","","","","","","","","","","","","","","","145.00","145.00","145.00","145.00","202.50","0.00","0.00","0.00","0.00","202.50","","","","","",""
"362","1","104","AWI-0052    ","1","                                        ","AWI-0052  ","    ","992","9","98","600","621","900","900","46","288428","    L0900-992003","10","AWI-0052 RM VL/DSPSL HAZ MAT  ","20","100","146.00","146.00","146.00","146.00","0.00","0.00","0.00","0.00","0.00","0.00","","","4/4/2016","4/8/2016","4/4/2016","4/8/2016"
"362","1","104","AWI-0052    ","1","                                        ","AWI-0052  ","    ","992","9","20","600","621","900","900","0","","    L6000-AWI052","992","BUDGET CLIN 0104 AWI-0052     ","83","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","4/4/2016","4/8/2016","4/4/2016","4/8/2016"
"","","","AWI-0052     Total","","","","","","","","","","","","","","","","","","","146.00","146.00","146.00","146.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","",""
"362","1","104","AWI-3200    ","1","                                        ","AWI-3200  ","    ","420","4","20","626","626","900","900","0","","    L6000-003200","420","BUDGET CLIN 0104 AWI-3200     ","83","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","4/4/2016","4/8/2016","4/4/2016","4/8/2016"
