"Project","Provider","CLIN","Effort","Activity","Control Account","ECP/REA","Change Code","Swbs","Group","SOC","Owning Org","Resource","Planning Unit","Sequence","FM","Work Order","Item","Op","Scope","Task","Progress","BAC","Estimate","BCWP to BAC","BCWP to Est","ACWP","ETC","Target","Provider Target","Provider ACWP","EAC","CPI BAC","CPI Est","Baseline Start","Baseline Finish","Forecast Start","Forecast Finish"
"324","1","420","TI-11 ALL   ","   ","","PCW 0886  ","    ","830","8","14","520","520","900","TI-11 ","0","944785","    L5200-000026","10","T-11 ALL ENG OVERSIGHT        ","1500","100","122.00","122.00","122.00","122.00","268.53","0.00","0.00","0.00","0.00","268.53","0.45","0.45","","","",""
"324","1","420","TI-11 ALL   ","   ","","TI-11 ALL ","    ","830","8","20","520","520","900","TI-11 ","0","944777","    L5200-990019","830","BUDGET FOR ENG TI-11 ALL      ","1599","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","",""
"324","1","420","TI-11 ALL   ","   ","","PCW 0886  ","    ","830","8","14","521","521","900","TI-11 ","0","944786","    L5210-000001","10","TI-11 ALL ENG OVERSIGHT       ","1500","0","122.00","122.00","0.00","0.00","246.22","122.00","0.00","0.00","0.00","368.22","0.00","0.00","","","",""
"324","1","420","TI-11 ALL   ","   ","","TI-11 ALL ","    ","830","8","14","521","521","900","TI-11 ","0","945216","    L5210-000002","10","TI-11 ALL FIXED COST          ","1501","100","0.00","545.00","0.00","545.00","544.57","0.00","0.00","0.00","0.00","544.57","0.00","1.00","","","",""
"324","1","420","TI-11 ALL   ","   ","","TI-11 ALL ","    ","830","8","20","521","521","900","TI-11 ","0","944776","    L5210-990000","830","BUDGET FOR ENG TI-11 ALL      ","1599","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","",""
"324","1","420","TI-11 ALL   ","   ","","PCW 0886  ","    ","830","8","14","527","527","900","TI-11 ","0","944797","    L5270-000001","10","CUDGET FOR ENG TI-11 ALL      ","1501","100","5.00","5.00","5.00","5.00","13.48","0.00","0.00","0.00","0.00","13.48","0.37","0.37","","","",""
"324","1","420","TI-11 ALL   ","   ","","TI-11 ALL ","    ","830","8","20","527","527","900","TI-11 ","0","944783","    L5270-990000","830","BUDGET FOR ENG TI-11 ALL      ","1599","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","",""
"324","1","420","TI-11 ALL   ","   ","","PCW 0886  ","    ","897","8","14","515","515","900","TI-11 ","0","944800","    L6110-000009","10","TI-11 PMO SUPPORT             ","1507","70","122.00","122.00","85.40","85.40","100.64","100.00","0.00","0.00","0.00","200.64","0.85","0.85","","","",""
"324","1","420","TI-11 ALL   ","   ","","TI-11 ALL ","    ","897","8","20","515","515","900","TI-11 ","0","944778","    L6110-990005","897","BUDGET PGM CLIN 0420 TI-11 ALL","1598","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","",""
"","","","TI-11 ALL    Total","","","","","","","","","","","","","","","","","","","371.00","916.00","212.40","757.40","1173.44","222.00","0.00","0.00","0.00","1395.44","","","","","",""
"324","1","420","TI-11 LN02  ","   ","","PCW 0886  ","    ","830","8","14","523","523","900","TI-11 ","0","944787","    L5230-000001","10","T-11 LN02 SEARAM ADMIN        ","1531","100","30.00","30.00","29.94","29.94","145.54","20.00","0.00","0.00","0.00","165.54","0.21","0.21","","","",""
"324","1","420","TI-11 LN02  ","   ","","TI-11 LN02","    ","830","8","14","523","523","A2L  ","TI-11 ","0","945038","    L5230-000007","10","TI-11 LN02 DTL A&D 60 A2L     ","1521","100","0.00","25.00","0.00","25.00","11.17","0.00","0.00","0.00","0.00","11.17","0.00","2.24","","","",""
"324","1","420","TI-11 LN02  ","   ","","TI-11 LN02","    ","830","8","14","523","523","S1U  ","TI-11 ","0","945039","    L5230-000008","10","TI-11 LN02 DTL A&D 60 S1U     ","1521","100","0.00","30.00","0.00","30.00","9.98","0.00","0.00","0.00","0.00","9.98","0.00","3.01","","","",""
"324","1","420","TI-11 LN02  ","   ","","TI-11 LN02","    ","830","8","14","523","523","900","TI-11 ","0","947283","    L5230-000011","10","TI-11 LN 02 RWK YORK AC PLANT ","1539","0","650.00","650.00","0.00","0.00","96.00","560.00","0.00","0.00","0.00","656.00","0.00","0.00","","","",""
"324","1","420","TI-11 LN02  ","   ","","TI-11 LN02","    ","830","8","20","523","523","900","TI-11 ","0","944775","    L5230-990000","830","BUDGET FOR ENG TI-11 LN02     ","1599","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","",""
