"Project","Provider","CLIN","Effort","Activity","ECP/REA","Swbs","Group","SOC","Owning Org","Resource","Planning Unit","Sequence","FM","Work Order","Item","Op","Scope","Task","Progress","BAC","Estimate","BCWP to BAC","BCWP to Est","ACWP","ETC","Target","Provider Target","Provider ACWP","EAC","CPI BAC","CPI Est","Baseline Start","Baseline Finish","Forecast Start","Forecast Finish","Parent - Operation","Previous ACWP","Previous Provider ACWP","Previous ETC","Previous EAC","EAC Growth"
"481","1","            ","            ","WQD","          ","897","8","13","201","515","900","900","0","943862","    L2010-000002","10","2016-LOE PFA SUPPORT          ","1579","100","1000.00","1000.00","1000.00","1000.00","1276.94","0.00","0.00","0.00","0.00","1276.94","0.78","0.78","1/4/2016","12/23/2016","1/4/2016","12/23/2016","    L2010-000002-10","1276.94","0","0","1276.94","0.00 "
"481","1","            ","            ","WQH","          ","897","8","13","201","515","900","900","0","943863","    L2010-000003","10","2017-LOE PFA SUPPORT          ","1579","15.66","1000.00","1000.00","156.60","156.60","165.66","850.00","0.00","0.00","0.00","1015.66","0.95","0.95","1/3/2017","12/22/2017","1/3/2017","12/22/2017","    L2010-000003-10","147.1","0","850","997.1","18.56 "
"481","1","            ","            ","WQC","          ","897","8","13","201","515","900","900","0","943731","    L2010-000001","10","2015-LOE PFA SUPPORT          ","1579","100","125.00","125.00","125.00","125.00","117.90","0.00","0.00","0.00","0.00","117.90","1.06","1.06","9/28/2015","12/23/2015","9/28/2015","12/23/2015","    L2010-000001-10","117.9","0","0","117.9","0.00 "
"481","1","            ","            ","WQL","          ","897","8","13","201","515","900","900","0","943864","    L2010-000004","10","2018-LOE PFA SUPPORT          ","1579","0","1000.00","1000.00","0.00","0.00","0.00","1000.00","0.00","0.00","0.00","1000.00","","","1/2/2018","12/21/2018","1/2/2018","12/21/2018","    L2010-000004-10","0","0","1000","1000","0.00 "
"481","1","            ","            ","WQQ","          ","897","8","13","201","515","900","900","0","943865","    L2010-000005","10","2019-LOE PFA SUPPORT          ","1579","0","600.00","600.00","0.00","0.00","0.00","600.00","0.00","0.00","0.00","600.00","","","1/2/2019","7/5/2019","1/2/2019","7/5/2019","    L2010-000005-10","0","0","600","600","0.00 "
"481","1","            ","            ","0","          ","897","8","20","201","515","900","900","0","943732","    L2010-990000","897","BUDGET FOR PFA                ","1598","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753","    L2010-990000-897","0","0","0","0","0.00 "
"","","","","","","","","","201 Total","","","","","","","","","","","3725.00","3725.00","1281.60","1281.60","1560.50","2450.00","0.00","0.00","0.00","4010.50","","","","","","","","1541.94","0","2450","3991.94","18.56 "
"481","1","            ","            ","WDC","          ","980","9","13","301","301","900","900","0","943765","    L3000-000001","10","Q4-2015 PURCHASING SUPPORT    ","3003","100","260.00","960.00","260.00","960.00","345.51","0.00","0.00","0.00","0.00","345.51","0.75","2.78","9/28/2015","12/23/2015","9/28/2015","12/23/2015","    L3000-000001-10","345.51","0","0","345.51","0.00 "
"481","1","            ","            ","WDH","          ","980","9","13","301","301","900","900","0","944897","    L3000-000003","10","2017-LOE PURCHASING SUPPORT   ","3003","15.66","3900.00","3900.00","610.74","610.74","502.20","3978.00","0.00","0.00","0.00","4480.20","1.22","1.22","1/3/2017","12/22/2017","1/3/2017","12/22/2017","    L3000-000003-10","412.92","0","4070","4482.92","(2.72)"
"481","1","            ","            ","WDD","          ","980","9","13","301","301","900","900","0","944149","    L3000-000002","10","2016-LOE PURCHASING SUPPORT   ","3003","100","4279.00","4279.00","4279.00","4279.00","2342.20","0.00","0.00","0.00","0.00","2342.20","1.83","1.83","1/4/2016","12/23/2016","1/4/2016","12/23/2016","    L3000-000002-10","2342.2","0","0","2342.2","0.00 "
"481","1","            ","            ","WDL","          ","980","9","13","301","301","900","900","0","944898","    L3000-000004","10","2018-LOE PURCHASING SUPPORT   ","3003","0","2872.00","2872.00","0.00","0.00","0.00","4150.00","0.00","0.00","0.00","4150.00","","","1/2/2018","12/21/2018","1/2/2018","12/21/2018","    L3000-000004-10","0","0","4150","4150","0.00 "
"481","1","            ","            ","WDQ","          ","980","9","13","301","301","900","900","0","944899","    L3000-000005","10","2019-LOE PURCHASING SUPPORT   ","3003","0","602.00","602.00","0.00","0.00","0.00","1752.00","0.00","0.00","0.00","1752.00","","","1/2/2019","7/5/2019","1/2/2019","7/5/2019","    L3000-000005-10","0","0","1752","1752","0.00 "
"481","1","            ","            ","0","          ","980","9","20","301","301","900","900","0","943733","    L3000-990000","980","BUDGET FOR PURCHASING         ","3098","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753","    L3000-990000-980","0","0","0","0","0.00 "
"","","","","","","","","","301 Total","","","","","","","","","","","11913.00","12613.00","5149.74","5849.74","3189.91","9880.00","0.00","0.00","0.00","13069.91","","","","","","","","3100.63","0","9972","13072.63","(2.72)"
"481","1","            ","            ","WBD","          ","813","8","13","350","350","900","900","0","943916","    L6500-000002","10","Q1-2016 LOE PP&C WORK         ","3014","100","0.00","200.00","0.00","200.00","109.59","0.00","0.00","0.00","0.00","109.59","0.00","1.82","1/4/2016","12/23/2016","1/4/2016","12/23/2016","    L6500-000002-10","109.59","0","0","109.59","0.00 "
"481","1","            ","            ","WBD","          ","813","8","13","350","350","900","900","0","943917","    L6500-000003","10","Q2-2016 LOE PP&C PRC          ","3014","100","0.00","650.00","0.00","650.00","167.82","0.00","0.00","0.00","0.00","167.82","0.00","3.87","1/4/2016","12/23/2016","1/4/2016","12/23/2016","    L6500-000003-10","167.82","0","0","167.82","0.00 "
"481","1","            ","            ","WBD","          ","813","8","13","350","350","900","900","0","943918","    L6500-000004","10","Q2-2016 LOE PP&C IMS/EVMS     ","3014","100","0.00","650.00","0.00","650.00","176.59","0.00","0.00","0.00","0.00","176.59","0.00","3.68","1/4/2016","12/23/2016","1/4/2016","12/23/2016","    L6500-000004-10","176.59","0","0","176.59","0.00 "
"481","1","            ","            ","WBD","          ","813","8","13","350","350","900","900","0","943919","    L6500-000005","10","Q2-2016 LOE PP&C PLANNING     ","3014","100","0.00","1625.00","0.00","1625.00","238.80","0.00","0.00","0.00","0.00","238.80","0.00","6.80","1/4/2016","12/23/2016","1/4/2016","12/23/2016","    L6500-000005-10","238.8","0","0","238.8","0.00 "
"481","1","            ","            ","WBD","          ","813","8","13","350","350","900","900","0","943920","    L6500-000006","10","Q3-2016 LOE PP&C PRC          ","3014","100","0.00","390.00","0.00","390.00","393.01","0.00","0.00","0.00","0.00","393.01","0.00","0.99","1/4/2016","12/23/2016","1/4/2016","12/23/2016","    L6500-000006-10","393.01","0","0","393.01","0.00 "
"481","1","            ","            ","WBD","          ","813","8","13","350","350","900","900","0","943921","    L6500-000007","10","Q3-2016 LOE PP&C IMS/EVMS     ","3014","100","0.00","520.00","0.00","520.00","548.29","0.00","0.00","0.00","0.00","548.29","0.00","0.95","1/4/2016","12/23/2016","1/4/2016","12/23/2016","    L6500-000007-10","548.29","0","0","548.29","0.00 "
"481","1","            ","            ","WBD","          ","813","8","13","350","350","900","900","0","943922","    L6500-000008","10","Q3-2016 LOE PP&C PLANNING     ","3014","100","0.00","260.00","0.00","260.00","667.02","0.00","0.00","0.00","0.00","667.02","0.00","0.39","1/4/2016","12/23/2016","1/4/2016","12/23/2016","    L6500-000008-10","667.02","0","0","667.02","0.00 "
"481","1","            ","            ","WBD","          ","813","8","13","350","350","900","900","0","943923","    L6500-000009","10","Q4-2016 LOE PP&C PRC          ","3014","100","0.00","455.00","0.00","455.00","329.27","0.00","0.00","0.00","0.00","329.27","0.00","1.38","1/4/2016","12/23/2016","1/4/2016","12/23/2016","    L6500-000009-10","329.27","0","0","329.27","0.00 "
"481","1","            ","            ","WBD","          ","813","8","13","350","350","900","900","0","943924","    L6500-000010","10","Q4-2016 LOE PP&C IMS/EVMS     ","3014","100","0.00","520.00","0.00","520.00","568.21","0.00","0.00","0.00","0.00","568.21","0.00","0.92","1/4/2016","12/23/2016","1/4/2016","12/23/2016","    L6500-000010-10","568.21","0","0","568.21","0.00 "
"481","1","            ","            ","WBD","          ","813","8","13","350","350","900","900","0","943925","    L6500-000011","10","Q4-2016 LOE PP&C PLANNING     ","3014","100","0.00","1300.00","0.00","1300.00","450.67","0.00","0.00","0.00","0.00","450.67","0.00","2.88","1/4/2016","12/23/2016","1/4/2016","12/23/2016","    L6500-000011-10","450.67","0","0","450.67","0.00 "
"481","1","            ","            ","WBH","          ","813","8","13","350","350","900","900","0","943926","    L6500-000012","10","Q1-2017 LOE PP&C PRC          ","3014","61.6","0.00","390.00","0.00","240.24","360.84","219.00","0.00","0.00","0.00","579.84","0.00","0.67","1/3/2017","12/22/2017","1/3/2017","12/22/2017","    L6500-000012-10","306.65","0","260","566.65","13.19 "
"481","1","            ","            ","WBH","          ","813","8","13","350","350","900","900","0","943927","    L6500-000013","10","Q1-2017 LOE PP&C IMS          ","3014","61.6","0.00","585.00","0.00","360.36","433.55","279.00","0.00","0.00","0.00","712.55","0.00","0.83","1/3/2017","12/22/2017","1/3/2017","12/22/2017","    L6500-000013-10","390.06","0","350","740.06","(27.51)"
"481","1","            ","            ","WBH","          ","813","8","13","350","350","900","900","0","943928","    L6500-000014","10","Q1-2017 LOE PP&C TPG          ","3014","61.6","0.00","1040.00","0.00","640.64","1166.19","681.00","0.00","0.00","0.00","1847.19","0.00","0.55","1/3/2017","12/22/2017","1/3/2017","12/22/2017","    L6500-000014-10","952.62","0","800","1752.62","94.57 "
"481","1","            ","            ","WBD","          ","813","8","13","350","350","900","900","0","944734","    L6500-000042","10","Q3-2016 LOE PP&C SCM          ","3014","100","0.00","65.00","0.00","65.00","260.35","0.00","0.00","0.00","0.00","260.35","0.00","0.25","1/4/2016","12/23/2016","1/4/2016","12/23/2016","    L6500-000042-10","260.35","0","0","260.35","0.00 "
