"Project","Provider","CLIN","Effort","Activity","ECP/REA","Swbs","Group","SOC","Owning Org","Resource","Planning Unit","Sequence","FM","Work Order","Item","Op","Scope","Task","Progress","BAC","Estimate","BCWP to BAC","BCWP to Est","ACWP","ETC","Target","Provider Target","Provider ACWP","EAC","CPI BAC","CPI Est","Baseline Start","Baseline Finish","Forecast Start","Forecast Finish","Parent - Operation","Previous ACWP","Previous Provider ACWP","Previous ETC","Previous EAC","EAC Growth"
"471","1","            ","            ","888","          ","34","2","13","180","180","900","900","0","934604","    L1800-000016","10","Q1-2016 SECURITY              ","1531","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753","    L1800-000016-10","0","0","0","0","0.00 "
"471","1","            ","            ","888","          ","34","2","13","180","180","900","900","0","934605","    L1800-000017","10","Q2-2016 SECURITY              ","1531","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753","    L1800-000017-10","0","0","0","0","0.00 "
"471","1","            ","            ","0","          ","34","2","20","180","180","900","900","0","932906","    L1800-990000","34","BUDGET SECURITY DEPT          ","1598","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753","    L1800-990000-34","0","0","0","0","0.00 "
"","","","","","","","","","180 Total","","","","","","","","","","","1201.00","1201.00","1201.00","1201.00","1259.82","0.00","0.00","0.00","0.00","1259.82","","","","","","","","1259.82","0","0","1259.82","0.00 "
"471","1","            ","            ","W4D","          ","980","9","13","301","301","900","900","0","934865","    L3000-000011","10","Q1-2013 MAJOR EQUIP PURCH LOE ","3002","100","54.00","54.00","54.00","54.00","376.23","0.00","0.00","0.00","0.00","376.23","0.144 ","0.144 ","1/2/2013","3/29/2013","1/2/2013","3/29/2013","    L3000-000011-10","376.23","0","0","376.23","0.00 "
"471","1","            ","            ","4AU","          ","980","9","13","301","301","900","900","0","938290","    L3000-000022","10","Q2-2014 PURCHASING LOE        ","3007","100","236.00","236.00","236.00","236.00","1501.04","0.00","0.00","0.00","0.00","1501.04","0.157 ","0.157 ","3/31/2014","6/27/2014","3/31/2014","6/27/2014","    L3000-000022-10","1501.04","0","0","1501.04","0.00 "
"471","1","            ","            ","W4J","          ","980","9","13","301","301","900","900","0","938291","    L3000-000023","10","Q3-2014 PURCHASING LOE        ","3007","100","236.00","236.00","236.00","236.00","1471.14","0.00","0.00","0.00","0.00","1471.14","0.160 ","0.160 ","6/30/2014","9/26/2014","6/30/2014","9/26/2014","    L3000-000023-10","1471.14","0","0","1471.14","0.00 "
"471","1","            ","            ","W4H","          ","980","9","13","301","301","900","900","0","938289","    L3000-000021","10","Q1-2014 PURCHASING LOE        ","3007","100","236.00","236.00","236.00","236.00","1200.70","0.00","0.00","0.00","0.00","1200.70","0.197 ","0.197 ","1/2/2014","3/28/2014","1/2/2014","3/28/2014","    L3000-000021-10","1200.7","0","0","1200.7","0.00 "
"471","1","            ","            ","W4F","          ","980","9","13","301","301","900","900","0","938287","    L3000-000019","10","Q3-2013 PURCHASING LOE        ","3007","100","236.00","236.00","236.00","236.00","1169.93","0.00","0.00","0.00","0.00","1169.93","0.202 ","0.202 ","7/1/2013","9/27/2013","7/1/2013","9/27/2013","    L3000-000019-10","1169.93","0","0","1169.93","0.00 "
"471","1","            ","            ","W4M","          ","980","9","13","301","301","900","900","0","938294","    L3000-000026","10","Q2-2015 PURCHASING LOE        ","3007","100","236.00","236.00","236.00","236.00","1129.66","0.00","0.00","0.00","0.00","1129.66","0.209 ","0.209 ","3/30/2015","6/26/2015","3/30/2015","6/26/2015","    L3000-000026-10","1129.66","0","0","1129.66","0.00 "
"471","1","            ","            ","W4E","          ","980","9","13","301","301","900","900","0","936987","    L3000-000015","10","Q2-2013 MAJOR EQUIP PURCH LOE ","3002","100","70.00","70.00","70.00","70.00","333.62","0.00","0.00","0.00","0.00","333.62","0.210 ","0.210 ","4/1/2013","6/28/2013","4/1/2013","6/28/2013","    L3000-000015-10","333.62","0","0","333.62","0.00 "
"471","1","            ","            ","W4L","          ","980","9","13","301","301","900","900","0","938293","    L3000-000025","10","Q1-2015 PURCHASING LOE        ","3007","100","280.00","280.00","280.00","280.00","1328.78","0.00","0.00","0.00","0.00","1328.78","0.211 ","0.211 ","1/2/2015","3/27/2015","1/2/2015","3/27/2015","    L3000-000025-10","1328.78","0","0","1328.78","0.00 "
"471","1","            ","            ","W4G","          ","980","9","13","301","301","900","900","0","938288","    L3000-000020","10","Q4-2013 PURCHASING LOE        ","3007","100","236.00","236.00","236.00","236.00","1093.86","0.00","0.00","0.00","0.00","1093.86","0.216 ","0.216 ","9/30/2013","12/23/2013","9/30/2013","12/23/2013","    L3000-000020-10","1093.86","0","0","1093.86","0.00 "
"471","1","            ","            ","W4N","          ","980","9","13","301","301","900","900","0","938299","    L3000-000027","10","Q3-2015 PURCHASING LOE        ","3007","100","236.00","236.00","236.00","236.00","1086.47","0.00","0.00","0.00","0.00","1086.47","0.217 ","0.217 ","6/29/2015","9/25/2015","6/29/2015","9/25/2015","    L3000-000027-10","1086.47","0","0","1086.47","0.00 "
"471","1","            ","            ","WDY","          ","980","9","13","301","301","900","900","0","938300","    L3000-000028","10","Q4-2015 PURCHASING LOE        ","3007","100","236.00","236.00","236.00","236.00","1001.96","0.00","0.00","0.00","0.00","1001.96","0.236 ","0.236 ","9/28/2015","12/23/2015","9/28/2015","12/23/2015","    L3000-000028-10","1001.96","0","0","1001.96","0.00 "
"471","1","            ","            ","WD3","          ","980","9","13","301","301","900","900","0","938302","    L3000-000030","10","Q2-2016 PURCHASING LOE        ","3007","100","236.00","236.00","236.00","236.00","977.82","0.00","0.00","0.00","0.00","977.82","0.241 ","0.241 ","3/28/2016","6/24/2016","3/28/2016","6/24/2016","    L3000-000030-10","977.82","0","0","977.82","0.00 "
"471","1","            ","            ","ZVQ","          ","980","9","13","301","301","900","900","0","942586","    L3000-000032","10","Q-FINAL PURCHASING LOE        ","3007","99.28","339.00","339.00","336.56","336.56","1366.56","1515.00","0.00","0.00","0.00","2881.56","0.246 ","0.246 ","10/3/2016","12/22/2016","10/3/2016","6/23/2017","    L3000-000032-10","1298.32","0","1578","2876.32","5.24 "
"471","1","            ","            ","W4E","          ","980","9","13","301","301","900","900","0","936988","    L3000-000016","10","Q2-2013 NON-MAJOR EQUIP LOE   ","3001","100","76.00","76.00","76.00","76.00","304.46","0.00","0.00","0.00","0.00","304.46","0.250 ","0.250 ","4/1/2013","6/28/2013","4/1/2013","6/28/2013","    L3000-000016-10","304.46","0","0","304.46","0.00 "
"471","1","            ","            ","W4E","          ","980","9","13","301","301","900","900","0","936990","    L3000-000018","10","Q2-2013 SUPPORT CAM DUTIES LOE","3016","100","30.00","30.00","30.00","30.00","119.05","0.00","0.00","0.00","0.00","119.05","0.252 ","0.252 ","4/1/2013","6/28/2013","4/1/2013","6/28/2013","    L3000-000018-10","119.05","0","0","119.05","0.00 "
"471","1","            ","            ","WD1","          ","980","9","13","301","301","900","900","0","938301","    L3000-000029","10","Q1-2016 PURCHASING LOE        ","3007","100","236.00","236.00","236.00","236.00","844.97","0.00","0.00","0.00","0.00","844.97","0.279 ","0.279 ","1/4/2016","3/25/2016","1/4/2016","3/25/2016","    L3000-000029-10","844.97","0","0","844.97","0.00 "
"471","1","            ","            ","W4K","          ","980","9","13","301","301","900","900","0","938292","    L3000-000024","10","Q4-2014 PURCHASING LOE        ","3007","100","388.00","388.00","388.00","388.00","1311.15","0.00","0.00","0.00","0.00","1311.15","0.296 ","0.296 ","9/29/2014","12/23/2014","9/29/2014","12/23/2014","    L3000-000024-10","1311.15","0","0","1311.15","0.00 "
"471","1","            ","            ","ZVP","          ","980","9","13","301","301","900","900","0","942585","    L3000-000031","10","Q3-2016 PURCHASING LOE        ","3007","100","300.00","300.00","300.00","300.00","1011.65","0.00","0.00","0.00","0.00","1011.65","0.297 ","0.297 ","6/27/2016","9/30/2016","6/27/2016","9/30/2016","    L3000-000031-10","1011.65","0","0","1011.65","0.00 "
"471","1","            ","            ","W4E","          ","980","9","13","301","301","900","900","0","936989","    L3000-000017","10","Q2-2013 CLERICAL & ADMIN LOE  ","3003","100","60.00","60.00","60.00","60.00","169.45","0.00","0.00","0.00","0.00","169.45","0.354 ","0.354 ","4/1/2013","6/28/2013","4/1/2013","6/28/2013","    L3000-000017-10","169.45","0","0","169.45","0.00 "
"471","1","            ","            ","W4D","          ","980","9","13","301","301","900","900","0","934866","    L3000-000012","10","Q1-2013 NON-MAJOR EQUIP LOE   ","3001","100","77.00","77.00","77.00","77.00","180.41","0.00","0.00","0.00","0.00","180.41","0.427 ","0.427 ","1/2/2013","3/29/2013","1/2/2013","3/29/2013","    L3000-000012-10","180.41","0","0","180.41","0.00 "
