"Project","Provider","CLIN","Effort","Activity","ECP/REA","Swbs","Group","SOC","Owning Org","Resource","Planning Unit","Sequence","FM","Work Order","Item","Op","Scope","Task","Progress","BAC","Estimate","BCWP to BAC","BCWP to Est","ACWP","ETC","Target","Provider Target","Provider ACWP","EAC","CPI BAC","CPI Est","Baseline Start","Baseline Finish","Forecast Start","Forecast Finish","Parent - Operation","Previous ACWP","Previous Provider ACWP","Previous ETC","Previous EAC","EAC Growth"
"483","1","            ","            ","CZP","          ","0","2","1","621","641","F3L  ","F3LD1 ","0","","    L6000-000CZP","641","BUDGET FOR MFG                ","83","0","12.00","12.00","0.00","0.00","0.00","12.00","0.00","0.00","0.00","12.00","","","5/8/2017","5/12/2017","7/14/2017","7/24/2017","    L6000-000CZP-641","0","0","12.00","12.00","0.00"
"483","1","            ","            ","DAA","          ","0","1","2","621","621","F3L  ","F3LD1 ","0","","    L6000-000DAA","621","BUDGET FOR MFG                ","83","0","7.00","7.00","0.00","0.00","0.00","7.00","0.00","0.00","0.00","7.00","","","5/1/2017","5/12/2017","7/3/2017","7/24/2017","    L6000-000DAA-621","0","0","7.00","7.00","0.00"
"483","1","            ","            ","DAD","          ","0","1","1","621","621","F3U  ","F3UD1 ","0","","    L6000-000DAD","621","BUDGET FOR MFG                ","83","0","1516.00","1516.00","0.00","0.00","0.00","1516.00","0.00","0.00","0.00","1516.00","","","3/30/2017","4/13/2017","6/15/2017","7/10/2017","    L6000-000DAD-621","0","0","1516.00","1516.00","0.00"
"483","1","            ","            ","DAE","          ","0","1","2","621","621","F3U  ","F3UD1 ","0","","    L6000-000DAE","621","BUDGET FOR MFG                ","83","0","692.00","692.00","0.00","0.00","0.00","692.00","0.00","0.00","0.00","692.00","","","4/28/2017","5/25/2017","7/18/2017","8/21/2017","    L6000-000DAE-621","0","0","692.00","692.00","0.00"
"483","1","            ","            ","DAG","          ","0","2","1","621","641","F3U  ","F3UD1 ","0","","    L6000-000DAG","641","BUDGET FOR MFG                ","83","0","12.00","12.00","0.00","0.00","0.00","12.00","0.00","0.00","0.00","12.00","","","4/21/2017","4/27/2017","6/29/2017","7/10/2017","    L6000-000DAG-641","0","0","12.00","12.00","0.00"
"483","1","            ","            ","DAZ","          ","0","1","2","621","621","F3U  ","F3UD1 ","0","","    L6000-000DAZ","621","BUDGET FOR MFG                ","83","0","110.00","110.00","0.00","0.00","0.00","110.00","0.00","0.00","0.00","110.00","","","4/7/2017","4/27/2017","6/15/2017","7/17/2017","    L6000-000DAZ-621","0","0","110.00","110.00","0.00"
"483","1","            ","            ","DBC","          ","0","1","1","621","621","F3U  ","F3UD2 ","0","","    L6000-000DBC","621","BUDGET FOR MFG                ","83","0","2013.00","2013.00","0.00","0.00","0.00","2013.00","0.00","0.00","0.00","2013.00","","","4/7/2017","5/1/2017","6/15/2017","7/20/2017","    L6000-000DBC-621","0","0","2013.00","2013.00","0.00"
"483","1","            ","            ","DBD","          ","0","1","2","621","621","F3U  ","F3UD2 ","0","","    L6000-000DBD","621","BUDGET FOR MFG                ","83","0","816.00","816.00","0.00","0.00","0.00","816.00","0.00","0.00","0.00","816.00","","","5/15/2017","6/8/2017","7/21/2017","8/25/2017","    L6000-000DBD-621","0","0","816.00","816.00","0.00"
"483","1","            ","            ","DBV","          ","0","1","2","621","621","F3U  ","F3UD2 ","0","","    L6000-000DBV","621","BUDGET FOR MFG                ","83","0","31.00","31.00","0.00","0.00","0.00","31.00","0.00","0.00","0.00","31.00","","","5/1/2017","5/12/2017","6/29/2017","7/20/2017","    L6000-000DBV-621","0","0","31.00","31.00","0.00"
"483","1","            ","            ","DBZ","SUP 520787","0","5","1","621","641","S1U  ","S1UD1 ","0","","    L6000-000DBZ","641","BUDGET FOR MFG                ","83","0","171.00","171.00","0.00","0.00","0.00","171.00","0.00","0.00","0.00","171.00","","","9/15/2017","10/5/2017","1/9/2018","2/7/2018","    L6000-000DBZ-641","0","0","171.00","171.00","0.00"
