"Project","Provider","CLIN","Effort","Activity","ECP/REA","Swbs","Group","SOC","Owning Org","Resource","Planning Unit","Sequence","FM","Work Order","Item","Op","Scope","Task","Progress","BAC","Estimate","BCWP to BAC","BCWP to Est","ACWP","ETC","Target","Provider Target","Provider ACWP","EAC","CPI BAC","CPI Est","Baseline Start","Baseline Finish","Forecast Start","Forecast Finish"
"468","1","LCS7 CHIT   ","31","0","          ","259","2","4","625","625","900","836","61","258001","    L9900-R00175","10","VEN-836-VEN-LMCO/ROLLS ROYCE  ","890","100","0.00","24.00","0.00","24.00","24.00","0.00","0.00","0.00","0.00","24.00","0.00","1.00","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","31 Total","","","","","","","","","","","","","","","","","0.00","24.00","0.00","24.00","24.00","0.00","0.00","0.00","0.00","24.00","","","","","",""
"468","1","LCS7 CHIT   ","66","0","          ","243","2","6","624","624","993","993","113","257994","    L4993-243033","10","993 VS REAM PORT SHFT TO S/G  ","39","100","0.00","42.00","0.00","42.00","42.00","0.00","0.00","0.00","0.00","42.00","0.00","1.00","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"468","1","LCS7 CHIT   ","66","0","          ","243","2","6","624","624","993","993","66","257995","    L4993-243034","10","993 VS REAM STBD SHFT TO S/G  ","39","100","0.00","42.00","0.00","42.00","42.00","0.00","0.00","0.00","0.00","42.00","0.00","1.00","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"468","1","LCS7 CHIT   ","66","0","          ","243","2","6","624","624","993","993","66","257996","    L4993-243035","10","993 VS REAM PORT SHFT TO C/G  ","39","100","0.00","42.00","0.00","42.00","42.00","0.00","0.00","0.00","0.00","42.00","0.00","1.00","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"468","1","LCS7 CHIT   ","66","0","          ","243","2","6","624","624","993","993","66","257997","    L4993-243036","10","993 VS REAM STBD SHFT TO C/G  ","39","100","0.00","42.00","0.00","42.00","42.00","0.00","0.00","0.00","0.00","42.00","0.00","1.00","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","66 Total","","","","","","","","","","","","","","","","","0.00","168.00","0.00","168.00","168.00","0.00","0.00","0.00","0.00","168.00","","","","","",""
"468","1","LCS7 CHIT   ","74","0","          ","631","6","3","648","648","900","866","62","261999","    L9900-V00006","10","VEN-866-BLAST & PAINT RAMP &  ","890","100","0.00","136.00","0.00","136.00","0.00","0.00","0.00","0.00","0.00","0.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","74 Total","","","","","","","","","","","","","","","","","0.00","136.00","0.00","136.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","",""
"468","1","LCS7 CHIT   ","78","0","          ","241","2","6","624","624","900","900","66","261531","    L9900-V00013","10","VEN-SW-INSTALL PUMP ON        ","890","100","0.00","40.00","0.00","40.00","40.00","0.00","0.00","0.00","0.00","40.00","0.00","1.00","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","78 Total","","","","","","","","","","","","","","","","","0.00","40.00","0.00","40.00","40.00","0.00","0.00","0.00","0.00","40.00","","","","","",""
"468","1","LCS7 CHIT   ","92","0","          ","247","2","6","624","624","900","861","113","258045","    L9900-V00011","10","VEN-861-REPLACE PORT STEERABLE","890","100","0.00","64.00","0.00","64.00","54.28","0.00","0.00","0.00","0.00","54.28","0.00","1.18","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","92 Total","","","","","","","","","","","","","","","","","0.00","64.00","0.00","64.00","54.28","0.00","0.00","0.00","0.00","54.28","","","","","",""
"468","1","LCS7 CHIT   ","99","0","          ","234","2","6","624","624","900","932","113","261533","    L9900-V00014","10","VEN-932-MMC TO SUPPORT ROLLS  ","890","100","0.00","24.00","0.00","24.00","24.00","0.00","0.00","0.00","0.00","24.00","0.00","1.00","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","99 Total","","","","","","","","","","","","","","","","","0.00","24.00","0.00","24.00","24.00","0.00","0.00","0.00","0.00","24.00","","","","","",""
"468","1","LCS7 CHIT   ","123","0","          ","169","1","17","621","621","900","866","38","258980","    L9900-V00012","10","VEN-866-LCS 7 - STERN BLOCKS  ","890","100","0.00","40.00","0.00","40.00","98.00","0.00","0.00","0.00","0.00","98.00","0.00","0.41","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","123 Total","","","","","","","","","","","","","","","","","0.00","40.00","0.00","40.00","98.00","0.00","0.00","0.00","0.00","98.00","","","","","",""
"468","1","LCS7 CHIT   ","181","0","          ","243","2","6","624","624","Z60  ","964","113","265881","    L9900-V00015","10","VEN-964-JAURE COUPLING        ","890","100","0.00","125.00","0.00","125.00","72.00","0.00","0.00","0.00","0.00","72.00","0.00","1.74","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","181 Total","","","","","","","","","","","","","","","","","0.00","125.00","0.00","125.00","72.00","0.00","0.00","0.00","0.00","72.00","","","","","",""
"468","1","LCS7 CHIT   ","228","0","          ","243","2","6","624","624","900","900","11","270270","    L9900-V00017","10","VEN-SW-THRUST BEARING REPAIRS ","890","100","0.00","600.00","0.00","600.00","2576.76","0.00","0.00","0.00","0.00","2576.76","0.00","0.23","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","228 Total","","","","","","","","","","","","","","","","","0.00","600.00","0.00","600.00","2576.76","0.00","0.00","0.00","0.00","2576.76","","","","","",""
"468","1","LCS7 CHIT   ","231","0","          ","243","2","6","624","624","900","900","109","272088","    L9900-V00016","10","VEN-SW-REPAIR & CLEANING OF 26","890","100","0.00","764.00","0.00","764.00","4369.40","0.00","0.00","0.00","0.00","4369.40","0.00","0.17","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","231 Total","","","","","","","","","","","","","","","","","0.00","764.00","0.00","764.00","4369.40","0.00","0.00","0.00","0.00","4369.40","","","","","",""
"468","1","LCS7 CHIT   ","233","0","CF 2210   ","262","2","6","623","624","900","900","113","270452","    L9900-V00018","10","VEN-SW-INSTALL PERMANENT FIX  ","890","100","0.00","1500.00","0.00","1500.00","2556.06","0.00","0.00","0.00","0.00","2556.06","0.00","0.59","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","233 Total","","","","","","","","","","","","","","","","","0.00","1500.00","0.00","1500.00","2556.06","0.00","0.00","0.00","0.00","2556.06","","","","","",""
