"Project","Provider","CLIN","Effort","Activity","ECP/REA","Swbs","Group","SOC","Owning Org","Resource","Planning Unit","Sequence","FM","Work Order","Item","Op","Scope","Task","Progress","BAC","Estimate","BCWP to BAC","BCWP to Est","ACWP","ETC","Target","Provider Target","Provider ACWP","EAC","CPI BAC","CPI Est","Baseline Start","Baseline Finish","Forecast Start","Forecast Finish"
"472","1","LCS11 CHIT  ","250","   ","250","897","9","14","620","620","900","900","0","943430","    L6200-000001","10","LN SHAFT/THRUST BRNG OP/INSP  ","6000","100","0.00","300.00","0.00","300.00","61.44","0.00","0.00","0.00","0.00","61.44","0.00","4.88","","","",""
"","","","250 Total","","","","","","","","","","","","","","","","","0.00","300.00","0.00","300.00","61.44","0.00","0.00","0.00","0.00","61.44","","","","","",""
"472","1","LCS11 CHIT  ","252","   ","252","897","9","14","620","620","900","900","0","943431","    L6200-000002","10","SALARY SUPPORT FOR 262 MOD    ","6000","100","0.00","160.00","0.00","160.00","153.02","0.00","0.00","0.00","0.00","153.02","0.00","1.05","","","",""
"","","","252 Total","","","","","","","","","","","","","","","","","0.00","160.00","0.00","160.00","153.02","0.00","0.00","0.00","0.00","153.02","","","","","",""
"472","1","LCS11 CHIT  ","524","   ","524","830","8","14","520","520","900","900","0","945197","    L5200-000001","10","INTERCEPTOR SALARY SUPPORT    ","1537","50","0.00","240.00","0.00","120.00","18.61","50.00","0.00","0.00","0.00","68.61","0.00","6.45","","","",""
"","","","524 Total","","","","","","","","","","","","","","","","","0.00","240.00","0.00","120.00","18.61","50.00","0.00","0.00","0.00","68.61","","","","","",""
"472","1","LCS11 CHIT  ","527","   ","527","830","8","14","520","520","900","900","0","945203","    L5200-000002","10","DARK SHIP LUBE OIL COAST DOWN ","1566","50","0.00","140.00","0.00","70.00","97.45","50.00","0.00","0.00","0.00","147.45","0.00","0.72","","","",""
"","","","527 Total","","","","","","","","","","","","","","","","","0.00","140.00","0.00","70.00","97.45","50.00","0.00","0.00","0.00","147.45","","","","","",""
"","","","Grand Total","","","","","","","","","","","","","","","","","0.00","1540.00","0.00","1230.00","563.59","150.00","0.00","0.00","0.00","713.59","0.000","2.182","","","",""
