"Project","Provider","CLIN","Effort","Activity","Control Account","ECP/REA","Change Code","Swbs","Group","SOC","Owning Org","Resource","Planning Unit","Sequence","FM","Work Order","Item","Op","Scope","Task","Progress","BAC","Estimate","BCWP to BAC","BCWP to Est","ACWP","ETC","Target","Provider Target","Provider ACWP","EAC","CPI BAC","CPI Est","Baseline Start","Baseline Finish","Forecast Start","Forecast Finish","Parent - Operation","Previous ACWP","Previous Provider ACWP","Previous ETC","Previous EAC","EAC Growth"
"483","1","            ","            ","0","                                        ","          ","    ","0","0","20","600","600","S    ","S00   ","0","","    L6000-000000","600","BUDGET FOR MFG                ","83","0","462409.00","462409.00","0.00","0.00","0.00","462409.00","0.00","0.00","0.00","462409.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753","    L6000-000000-600","0","0","481968","481968","(19559.00)"
"483","1","            ","            ","888","                                        ","NO LABOR  ","    ","0","0","20","600","600","S    ","S00   ","0","","    L6000-000001","600","BUDGET FOR MFG                ","83","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753","    L6000-000001-600","0","0","0","0","0.00 "
"483","1","            ","            ","LSF","1.31.1.2.5.S.MFG-AF                     ","SUP 558820","    ","0","9","8","600","600","S    ","S00   ","0","","    L6000-000LSF","600","BUDGET FOR MFG                ","83","0","2625.00","2625.00","0.00","0.00","0.00","2625.00","0.00","0.00","0.00","2625.00","","","10/15/2018","11/9/2018","4/19/2019","5/2/2019","    L6000-000LSF-600","0","0","2625","2625","0.00 "
"483","1","            ","            ","PCV","1.31.1.6.3.MFG-SR                       ","          ","    ","0","9","8","600","600","S    ","S00   ","0","","    L6000-000PCV","600","BUDGET FOR MFG                ","83","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753","    L6000-000PCV-600","0","0","0","0","0.00 "
"483","1","            ","            ","PCW","1.31.1.6.3.MFG-SR                       ","          ","    ","0","9","8","600","600","S    ","S00   ","0","","    L6000-000PCW","600","BUDGET FOR MFG                ","83","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753","    L6000-000PCW-600","0","0","0","0","0.00 "
"483","1","            ","            ","QBD","1.31.1.6.3.MFG-SR                       ","          ","    ","0","9","11","600","600","S    ","S00   ","0","","    L6000-000QBD","600","BUDGET FOR MFG                ","83","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","6/5/2017","12/22/2017","6/5/2017","12/22/2017","    L6000-000QBD-600","0","0","0","0","0.00 "
"483","1","            ","            ","QBH","1.31.1.6.3.MFG-SR                       ","          ","    ","0","9","11","600","600","S    ","S00   ","0","","    L6000-000QBH","600","BUDGET FOR MFG                ","83","0","11792.00","10879.00","0.00","0.00","0.00","10879.00","0.00","0.00","0.00","10879.00","","","1/2/2018","12/21/2018","1/2/2018","12/21/2018","    L6000-000QBH-600","0","0","10879","10879","0.00 "
"483","1","            ","            ","QBM","1.31.1.6.3.MFG-SR                       ","          ","    ","0","9","11","600","600","S    ","S00   ","0","","    L6000-000QBM","600","BUDGET FOR MFG                ","83","0","11426.00","11426.00","0.00","0.00","0.00","11426.00","0.00","0.00","0.00","11426.00","","","1/2/2019","11/26/2019","1/2/2019","6/17/2020","    L6000-000QBM-600","0","0","11426","11426","0.00 "
"483","1","            ","            ","888","                                        ","          ","    ","0","9","11","600","647","S    ","S00   ","0","","    L6000-000QCH","647","BUDGET FOR MFG                ","83","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753","    L6000-000QCH-647","0","0","0","0","0.00 "
"483","1","            ","            ","QCM","1.31.1.6.3.MFG-SR                       ","          ","    ","0","9","11","600","647","S    ","S00   ","0","","    L6000-000QCM","647","BUDGET FOR MFG                ","83","0","20760.00","20760.00","0.00","0.00","0.00","20760.00","0.00","0.00","0.00","20760.00","","","1/2/2018","12/21/2018","1/2/2018","12/21/2018","    L6000-000QCM-647","0","0","20760","20760","0.00 "
