"Proj.","FM","HB","Seq","SWBS","Prod. Order","Opr","Task","WS/T","ECP/REA","Item","Description","Earliest Start Dt","Earliest End Date","BUDGET","% PROG","EARNED HOURS","ACTUAL","EAC"
"MFG","","","","","","","","","","","","","","","","","",""
"481","1","D1S ","D1SD3 ","0","0","10","16","    ","181","    D1S00-500010","LCS 21 D1SD3 INSTL 500 HOTWORK","        ","        ","218","0","0","0","218"
"481","1","D1S ","D1SD4 ","0","0","10","16","    ","204","    D1S00-500003","LCS 21 D1SD4 INSTGRP500 SOC2.2","        ","        ","282","0","0","0","275"
"481","1","D1S ","D1SD1 ","505","0","10","16","    ","106","    D1S00-500001","LCS 21 D1SD1 INST GP500 SOC2.2","        ","        ","430","0","0","0","420"
"481","1","D1S ","D1SD2 ","505","0","10","16","    ","146","    D1S00-500002","LCS 21 D1SD2 INST GP500 SOC2.2","        ","        ","300","0","0","0","295"
"481","2","D1S ","D1SD2 ","150","117531","10","8","    ","131","    D1S00-150066","LCS 21 D1SD2 CONSTRCT FIT BS_1","        ","        ","21","0","0","0","18"
"481","2","D1S ","D1SD2 ","150","117532","10","9","    ","132","    D1S00-150067","LCS 21 D1SD2 CONSTRT WELD BS_1","        ","        ","24","0","0","0","16"
"481","2","D1S ","D1SD2 ","150","117533","10","8","    ","133","    D1S00-150068","LCS 21 D1SD2 CONSTRCT FIT BS_2","        ","        ","250","0","0","0","250"
"481","2","D1S ","D1SD2 ","150","117534","10","9","    ","134","    D1S00-150069","LCS 21 D1SD2 CONSTRT WELD BS_2","        ","        ","175","0","0","0","170"
"481","2","D1S ","D1SD2 ","150","117535","10","8","    ","135","    D1S00-150070","LCS 21 D1SD2 CONSTRCT FIT BS_3","        ","        ","250","0","0","0","230"
"481","2","D1S ","D1SD2 ","150","117536","10","9","    ","136","    D1S00-150071","LCS 21 D1SD2 CONSTRT WELD BS_3","        ","        ","350","0","0","0","340"
"481","2","D1S ","D1SD2 ","150","117537","10","4","    ","137","    D1S00-150084","LCS 21 D1SD2 TOPSIDE POST ACE ","        ","        ","38","0","0","0","38"
"481","2","D1S ","D1SD3 ","150","117588","10","8","    ","162","    D1S00-150037","LCS 21 D1SD3 CONSTRCT FIT BS_2","        ","        ","400","0","0","0","300"
"481","2","D1S ","D1SD3 ","150","117589","10","9","    ","163","    D1S00-150038","LCS 21 D1SD3 CONSTRT WELD BS_2","        ","        ","500","0","0","0","400"
"481","2","D1S ","D1SD3 ","150","117590","10","8","    ","164","    D1S00-150039","LCS 21 D1SD3 CONSTRCT FIT BS_3","        ","        ","58","0","0","0","58"
"481","2","D1S ","D1SD3 ","150","117591","10","9","    ","165","    D1S00-150040","LCS 21 D1SD3 CONSTRT WELD BS_3","        ","        ","200","0","0","0","100"
