"Proj.","FM","HB","Seq","SWBS","Prod. Order","Opr","Task","WS/T","ECP/REA","Item","Description","Earliest Start Dt","Earliest End Date","BUDGET","% PROG","EARNED HOURS","ACTUAL","EAC","","",""
"MFG","","","","","","","","","","","","","","","","","","","","",""
"479","3","D1S ","D1SD1 ","150","117110","10","4","    ","51","    D1S00-150001","LCS 19 D1SD1 SUB ASSY A       ","        ","        ","6","100","6","7.98","7.98","","",""
"479","3","D1S ","D1SD1 ","150","117111","10","4","    ","52","    D1S00-150002","LCS 19 D1SD1 SUB ASSY C       ","        ","        ","76","100","76","29","29","","",""
"479","3","D1S ","D1SD1 ","150","117112","10","4","    ","53","    D1S00-150003","LCS 19 D1SD1 SUB ASSY G       ","        ","        ","7","100","7","5","5","","",""
"479","3","D1S ","D1SD1 ","150","117113","10","4","    ","54","    D1S00-150004","LCS 19 D1SD1 SUB ASSY M       ","        ","        ","200","100","200","166.03","166.03","","",""
"479","3","D1S ","D1SD1 ","150","117114","10","4","    ","55","    D1S00-150005","LCS 19 D1SD1 SUB ASSY N       ","        ","        ","100","100","100","105.54","105.54","","",""
"479","3","D1S ","D1SD1 ","150","117117","10","4","    ","58","    D1S00-150008","LCS 19 D1SD1 MAJ ASSY S1      ","        ","        ","108","100","108","69.5","69.5","","",""
"479","3","D1S ","D1SD1 ","150","117118","10","4","    ","59","    D1S00-150009","LCS 19 D1SD1 MAJ ASSY S2      ","        ","        ","110","100","110","13.5","13.5","","",""
"479","3","D1S ","D1SD1 ","150","117119","10","4","    ","60","    D1S00-150010","LCS 19 D1SD1 MAJ ASSY S3      ","        ","        ","275","100","275","346.72","346.72","","",""
"479","3","D1S ","D1SD1 ","150","117120","10","4","    ","61","    D1S00-150011","LCS 19 D1SD1 MAJ ASSY S4      ","        ","        ","260","100","260","287.57","287.57","","",""
"479","3","D1S ","D1SD1 ","150","117121","10","4","    ","77","    D1S00-150052","LCS 19 D1SD1 MAJ ASSY T1      ","        ","        ","13","100","13","79.75","79.75","","",""
"479","3","D1S ","D1SD1 ","150","117122","10","4","    ","78","    D1S00-150053","LCS 19 D1SD1 MAJ ASSY T2      ","        ","        ","16","100","16","40.52","40.52","","",""
"479","3","D1S ","D1SD1 ","150","117123","10","4","    ","79","    D1S00-150054","LCS 19 D1SD1 MAJ ASSY T3      ","        ","        ","50","100","50","79","79","","",""
"479","3","D1S ","D1SD1 ","150","117124","10","4","    ","80","    D1S00-150055","LCS 19 D1SD1 MAJ ASSY T4      ","        ","        ","48","100","48","5","5","","",""
"479","3","D1S ","D1SD2 ","150","117143","10","4","    ","82","    D1S00-150012","LCS 19 D1SD2 SUB ASSY A       ","        ","        ","8","100","8","6.22","6.22","","",""
"479","3","D1S ","D1SD2 ","150","117144","10","4","    ","83","    D1S00-150013","LCS 19 D1SD2 SUB ASSY C       ","        ","        ","100","100","100","91.28","91.28","","",""
"479","3","D1S ","D1SD2 ","150","117145","10","4","    ","84","    D1S00-150014","LCS 19 D1SD2 SUB ASSY M       ","        ","        ","200","100","200","403.79","403.79","","",""
"479","3","D1S ","D1SD2 ","150","117146","10","4","    ","85","    D1S00-150015","LCS 19 D1SD2 SUB ASSY N       ","        ","        ","85","100","85","115.03","115.03","","",""
"479","3","D1S ","D1SD2 ","150","117149","10","4","    ","88","    D1S00-150018","LCS 19 D1SD2 MAJ ASSY S1      ","        ","        ","61","100","61","36","36","","",""
"479","3","D1S ","D1SD2 ","150","117150","10","4","    ","89","    D1S00-150019","LCS 19 D1SD2 MAJ ASSY S2      ","        ","        ","48","100","48","65","65","","",""
