"Proj","SWBS","Item","Description","NRE","Vendor","PO","Line","Unit Price","Order Qty","Delivered Qty","Pending Qty","Pending Amnt","Delv.date","Payment Terms","Ledger Account","CLIN","Effort","ECP/REA","","",""
"467","002","HPR-07281-01","DRIVE SHAFT W/COMPON ","   ","106332","652366","189","0","2","1","1","0","10/01/2015","2","         ","            ","             ","","","",""
"467","002","HPR-09541-01","ASSEMBLY, BEAM, FWD  ","   ","106332","652366","193","0","2","0","2","0","05/20/2016","2","         ","            ","             ","","","",""
"467","002","HPR-09541-02","ASSEMBLY, BEAM, FWD  ","   ","106332","652366","194","0","2","0","2","0","05/20/2016","2","         ","            ","             ","","","",""
"467","002","HPR-09541-03","ASSEMBLY, BEAM, FWD  ","   ","106332","652366","195","0","1","0","1","0","05/20/2016","2","         ","            ","             ","","","",""
"467","002","HPR-08951-01","EMCOR RACK, W/SIDE & ","   ","101139","652547","1","482","1","0","1","482","05/12/2016","8","         ","            ","             ","","","",""
"467","002","HPR-08377-01","UNIT, CONTROL, AFD P ","   ","104359","652597","1","0","1","0","1","0","07/02/2016","8","         ","            ","             ","","","",""
"467","002","HPR-09992-01","OVHD, FLUOR.LT.FIXTU ","   ","5884","652682","1","0","110","0","110","0","09/28/2016","8","         ","            ","             ","","","",""
"467","002","HPR-000543-01","KIT, PIPE SPOOLS MOD ","   ","106531","687301","1","0","1","0","1","0","11/15/2012","8","         ","            ","             ","","","",""
"467","002","HPR-000543-02","KIT, PIPE SPOOLS MOD ","   ","106531","687301","2","0","1","0","1","0","11/15/2012","8","         ","            ","             ","","","",""
"467","002","HPR-000543-03","KIT, PIPE SPOOLS MOD ","   ","106531","687301","3","0","1","0","1","0","11/15/2012","8","         ","            ","             ","","","",""
"467","002","HPR-000543-04","KIT, PIPE SPOOLS MOD ","   ","106531","687301","4","0","1","0","1","0","11/15/2012","8","         ","            ","             ","","","",""
"467","002","HPR-000543-05","KIT, PIPE SPOOLS MOD ","   ","106531","687301","5","0","1","0","1","0","11/15/2012","8","         ","            ","             ","","","",""
"467","002","HPR-000543-06","KIT, PIPE SPOOLS MOD ","   ","106531","687301","6","0","1","0","1","0","11/15/2012","8","         ","            ","             ","","","",""
"467","002","HPR-000543-07","KIT, PIPE SPOOLS, MO ","   ","106531","687301","7","0","1","0","1","0","11/15/2012","8","         ","            ","             ","","","",""
"467","002","HPR-000543-08","KIT, PIPE SPOOLS MOD ","   ","106531","687301","8","0","1","0","1","0","11/15/2012","8","         ","            ","             ","","","",""
"467","002","HPR-000543-09","KIT, PIPE SPOOLS MOD ","   ","106531","687301","9","0","1","0","1","0","11/15/2012","8","         ","            ","             ","","","",""
"467","002","HPR-000543-10","KIT, PIPE SPOOLS MOD ","   ","106531","687301","10","0","1","0","1","0","11/15/2012","8","         ","            ","             ","","","",""
"467","002","HPR-000543-11","KIT, PIPE SPOOLS MOD ","   ","106531","687301","11","0","1","0","1","0","11/15/2012","8","         ","            ","             ","","","",""
"467","002","HPR-000543-12","KIT, PIPE SPOOLS, MO ","   ","106531","687301","12","0","1","0","1","0","11/15/2012","8","         ","            ","             ","","","",""
"467","002","HPR-000543-13","KIT, PIPE SPOOLS, MO ","   ","106531","687301","13","0","1","0","1","0","11/15/2012","8","         ","            ","             ","","","",""
"467","002","HPR-04151-01","COUPLING PGAV12LR    ","   ","104669","786179","8","0","1","0","1","0","10/24/2014","8","         ","            ","             ","","","",""
"467","002","HPR-04151-02","UNION - PGEV12LR-WD  ","   ","104669","786179","9","0","1","0","1","0","10/24/2014","8","         ","            ","             ","","","",""
"467","002","HPR-05854-01","MOTOR CONTROLLER     ","   ","104359","860253","4","0","1","0","1","0","02/20/2015","8","         ","            ","             ","","","",""
"467","002","HPR-05943-01","REFRIGERANT LEAK DET ","   ","105160","860265","1","0","1","0","1","0","04/01/2015","1","         ","            ","             ","","","",""
"467","002","HPR-05267-01","MOTOR CONTROLLER     ","   ","104359","860310","1","0","1","0","1","0","03/20/2015","8","         ","            ","             ","","","",""
"467","002","HPR-07274-01","CABINET, I/O 3A (2-8 ","   ","104945","860390","3","0","-1","0","-1","0","10/01/2015","8","         ","            ","             ","","","",""
"467","002","HPR-07274-02","CABINET, I/O 4A (4-1 ","   ","104945","860390","4","0","-1","0","-1","0","10/01/2015","8","         ","            ","             ","","","",""
"467","002","HPR-06303-01","MOTOR CONTROLLER     ","   ","104359","860588","1","0","1","0","1","0","12/31/2015","8","         ","            ","             ","","","",""
"467","002","HPR-06303-02","MOTOR CONTROLLER     ","   ","104359","860588","2","0","1","0","1","0","12/31/2015","8","         ","            ","             ","","","",""
"467","002","HPR-08848-01","DEGAUSSING POWER SUP ","   ","104629","860654","1","0","1","0","1","0","12/30/2015","8","         ","            ","             ","","","",""
"467","002","HPR-06575-01","AFFF SYSTEM, TO BE S ","   ","40535","890163","1","0","2","0","2","0","06/30/2016","1","         ","            ","             ","","","",""
"467","002","HPR-08218-04","COLLAR               ","   ","1","890510","4","0","-2","0","-2","0","12/05/2015","100","         ","            ","             ","","","",""
"467","002","HPR-07588-01","FUNNEL, RND TOP, 1-1 ","   ","1","890590","4","0","-2","-2","-2","0","09/01/2016","100","         ","            ","             ","","","",""
"467","002","HPR-07795-02","GAGE ASSEMBLY, DIFFE ","   ","1","890590","6","0","-1","-1","-1","0","09/01/2016","100","         ","            ","             ","","","",""
"467","002","HPR-09571-01","VALVE, BUTTERFLY, 2- ","   ","102519","890591","2","0","-1","0","-1","0","03/22/2017","1","         ","            ","             ","","","",""
"467","002","HPR-09940-01","VALVE, BUTTERFLY, 3"" ","   ","102519","890591","6","0","-2","0","-2","0","03/22/2017","1","         ","            ","             ","","","",""
"467","002","HPR-07991-01","ELECTRIC DRIVE CABIN ","   ","103470","921441","1","0","1","0","1","0","10/01/2015","8","         ","            ","             ","","","",""
"467","002","HPR-09610-01","VALVE, BTLY, 6 IPS,  ","   ","102519","930557","1","2796","1","0","1","2796","05/01/2017","1","         ","            ","             ","","","",""
"467","002","HPR-0000476-01","VALVE, BTLY, 6 IPS,  ","   ","102519","930557","3","3515","1","0","1","3515","05/01/2017","1","         ","            ","             ","","","",""
"467","002","HPR-09606-01","POWER PANEL, PP 3-61 ","   ","106053","930819","1","5258","1","0","1","5258","08/07/2017","8","         ","            ","             ","","","",""
"467","002","HPR-09606-01","POWER PANEL, PP 3-61 ","   ","106053","930819","2","0","-1","0","-1","0","08/07/2017","8","         ","            ","             ","","","",""
"467","002","HPR-0000579-01","SECONDARY REMOTE ACT ","   ","40535","970142","1","682.2","5","0","5","3411","06/27/2017","1","         ","            ","             ","","","",""
"467","002","HPR-0000254-01","POWER SUPPLY CONTROL ","   ","107626","970145","1","1376.39","1","0","1","1376.39","10/19/2016","8","         ","            ","             ","","","",""
"467","042","042-01-00002","SRVCS, SHIP CHECK, E ","   ","107284","765460","1","0","1","0","1","0","07/01/2016","1","         ","            ","             ","","","",""
"467","086","086-01-00018","HVAC/COLLECTIVE PROT ","   ","100503","690784","12","1","366.21","90.99","275.22","275.22","07/29/2016","8","         ","            ","             ","","","",""
"467","086","086-07-00006","PROVIDE TECHNICAL MA ","   ","100503","750972","3","1","6294.4","3050.65","3243.75","3243.75","07/01/2015","8","         ","            ","             ","","","",""
"467","086","086-07-00006","PROVIDE TECHNICAL MA ","   ","100503","750972","7","1","356.25","0","356.25","356.25","04/08/2016","8","         ","            ","             ","","","",""
"467","086","086-07-00006","PROVIDE TECHNICAL MA ","   ","100503","750972","9","1","2573.78","2573.7","0.08","0.08","05/31/2016","8","         ","            ","             ","","","",""
"467","092","092-01-00007","TESTING SERVICES FOR ","   ","104965","572992","1","0","1","0","1","0","12/31/2014","8","         ","            ","             ","","","",""
"467","110","110-00-0S005","TEE, MT 5 X 4.5 LB X ","   ","1","605735","1","0","1","0","1","0","07/26/2012","1","         ","            ","             ","","","",""
"467","110","110-00-MS107","TEE WT 6 X 7 LB X 40 ","   ","1","605735","3","0","1","0","1","0","07/26/2012","1","         ","            ","             ","","","",""
"467","110","110-00-MS205","TEE, MT 8.5 X 6.3LB  ","   ","1","605735","4","0","1","0","1","0","07/26/2012","1","         ","            ","             ","","","",""
"467","110","110-00-WS108","TEE, WT 6 X 8 LB X 4 ","   ","1","605735","6","0","8","6","2","0","07/26/2012","1","         ","            ","             ","","","",""
"467","110","110-00-0S005","TEE, MT 5 X 4.5 LB X ","   ","1","605735","12","0","6","0","6","0","12/01/2012","1","         ","            ","             ","","","",""
"467","110","110-00-0S007","TEE WT 6 X 7 LB X 40 ","   ","1","605735","13","0","3","0","3","0","12/01/2012","1","         ","            ","             ","","","",""
"467","110","110-00-0S012","TEE WT 4 X 10.5 LB X ","   ","1","605735","14","0","4","0","4","0","01/22/2013","1","         ","            ","             ","","","",""
"467","110","110-00-WS108","TEE, WT 6 X 8 LB X 4 ","   ","1","605735","15","0","2","0","2","0","01/22/2013","1","         ","            ","             ","","","",""
"467","110","110-00-MS104","TEE MT 4 X 3.25 LB X ","   ","1","605735","16","0","3","0","3","0","03/07/2013","1","         ","            ","             ","","","",""
"467","110","110-00-MS105","TEE, MT 8.5 X 6.3LB  ","   ","1","605735","17","0","6","0","6","0","03/07/2013","1","         ","            ","             ","","","",""
"467","110","110-00-0S013","TEE WT 155 X 16.35 X ","   ","1","605735","18","0","4","0","4","0","04/15/2013","1","         ","            ","             ","","","",""
"467","110","110-00-0S005","TEE, MT 5 X 4.5 LB X ","   ","1","605735","20","0","2","0","2","0","08/17/2013","1","         ","            ","             ","","","",""
"467","110","16-16W0701340","TEE, 7"" X 13 X 40',  ","   ","1","605735","22","0","5","0","5","0","10/29/2013","1","         ","            ","             ","","","",""
"467","110","13-1620200220","ANGLE, 2"" X 2"" X 1/8 ","   ","79582","606077","16","0","0.1","0","0.1","0","01/11/2013","19","         ","            ","             ","","","",""
"      ","110","04-622-70-184","DETACOUPLE           ","   ","100876","606426","6","0","2","0","2","0","09/19/2013","8","         ","            ","             ","","","",""
"      ","110","04-622-70-183","DETACOUPLE           ","   ","100876","606426","7","0","4","0","4","0","09/19/2013","8","         ","            ","             ","","","",""
"      ","110","04-84-514-112","ALUM RB              ","   ","100876","606513","2","0","1","0","1","0","11/18/2013","8","         ","            ","             ","","","",""
"      ","110","04-85-700-116","ANGLE                ","   ","100876","606513","3","0","1","0","1","0","11/18/2013","8","         ","            ","             ","","","",""
"      ","110","04-85-703-104","ANGLE                ","   ","100876","606513","4","0","1","0","1","0","11/18/2013","8","         ","            ","             ","","","",""
"      ","110","04-85-703-105","ANGLE                ","   ","100876","606513","5","0","1","0","1","0","11/18/2013","8","         ","            ","             ","","","",""
"      ","110","04-85-705-103","ANGLE                ","   ","100876","606513","6","0","1","0","1","0","11/18/2013","8","         ","            ","             ","","","",""
"      ","110","04-85-705-107","ANGLE                ","   ","100876","606513","7","0","1","0","1","0","11/18/2013","8","         ","            ","             ","","","",""
