"Proj","SWBS","Item","Description","Noun 1","Noun 2","NRE","Vendor","PO","Line","Unit Price","Order Qty","Delivered Qty","Pending Qty","Pending Amnt","Delv.date","Payment Terms","Ledger Account","CLIN","Effort","",""
"485","243","243-01-00001-803","BEARING ASSY, GEAR C ","ASSEMBLY  ","BEARING           ","   ","104945","970186","4","0","10","0","10","0","01/05/2018","8","         ","            ","","",""
"485","243","243-01-00001-805","BEARING ASSY, IMPELL ","ASSEMBLY  ","BEARING           ","   ","104945","970186","5","0","4","0","4","0","01/05/2018","8","         ","            ","","",""
"485","243","243-01-00001-806","RTD ASSY, WATER JET  ","ASSEMBLY  ","BEARING           ","   ","104945","970186","6","0","26","0","26","0","01/05/2018","8","         ","            ","","",""
"485","243","243-01-00001-807","FLEXIBLE ELEMENT     ","ELEMENT   ","FLEXIBLE          ","   ","104945","970186","7","0","1","0","1","0","01/05/2018","8","         ","            ","","",""
"485","243","243-01-00001-808","RTD ASSY, IMPELLER S ","ASSEMBLY  ","BEARING           ","   ","104945","970186","8","0","8","0","8","0","01/05/2018","8","         ","            ","","",""
"485","243","243-01-00001-809","SEAL ASSY, GEAR COUP ","ASSEMBLY  ","SEAL              ","   ","104945","970186","9","0","2","0","2","0","01/05/2018","8","         ","            ","","",""
"485","243","243-01-00001-810","SEAL ASSY, WATER JET ","ASSEMBLY  ","SEAL              ","   ","104945","970186","10","0","6","0","6","0","01/05/2018","8","         ","            ","","",""
"485","243","243-01-00001-811","SEAL ASSY, IMPELLER  ","ASSEMBLY  ","SEAL              ","   ","104945","970186","11","0","2","0","2","0","01/05/2018","8","         ","            ","","",""
"485","243","243-01-00001-812","SHAFT, AFT BOOSTER S ","SHAFT     ","AFT               ","   ","104945","970186","12","0","2","0","2","0","01/05/2018","8","         ","            ","","",""
"485","243","243-01-00001-813","SHAFT, FWD BOOSTER S ","SHAFT     ","FORWARD           ","   ","104945","970186","13","0","2","0","2","0","01/05/2018","8","         ","            ","","",""
"485","243","243-01-00001-814","SHAFT, AFT GEAR COUP ","SHAFT     ","AFT               ","   ","104945","970186","14","0","2","0","2","0","01/05/2018","8","         ","            ","","",""
"485","243","243-01-00001-815","SHAFT, MID GEAR COUP ","SHAFT     ","COUPLING          ","   ","104945","970186","15","0","2","0","2","0","01/05/2018","8","         ","            ","","",""
"485","243","243-01-00001-816","SHAFT, FWD GEAR COUP ","SHAFT     ","                  ","   ","104945","970186","16","0","2","0","2","0","01/05/2018","8","         ","            ","","",""
"485","243","243-01-00001-817","SHAFT, AFT LINE STEE ","SHAFT     ","                  ","   ","104945","970186","17","0","2","0","2","0","01/05/2018","8","         ","            ","","",""
"485","243","243-01-00001-818","SHAFT, FWD STEERABLE ","SHAFT     ","                  ","   ","104945","970186","18","0","2","0","2","0","01/05/2018","8","         ","            ","","",""
"485","243","243-01-00001-819","BOLTS, GEAR COUPLING ","BOLT      ","                  ","   ","104945","970186","19","0","96","0","96","0","01/05/2018","8","         ","            ","","",""
"485","243","243-01-00001-820","NUTS, WATER JET SHAF ","NUT       ","                  ","   ","104945","970186","20","0","96","0","96","0","01/05/2018","8","         ","            ","","",""
"485","243","243-01-00001-821","COTTER PINS, GEAR CO ","PIN       ","COTTER            ","   ","104945","970186","21","0","120","0","120","0","01/05/2018","8","         ","            ","","",""
"485","243","243-01-00001-822","BOLTS, WATER JET SHA ","BOLT      ","                  ","   ","104945","970186","22","0","144","0","144","0","01/05/2018","8","         ","            ","","",""
"485","243","243-01-00001-823","NUTS, GEAR COUPLING  ","NUT       ","                  ","   ","104945","970186","23","0","168","0","168","0","01/05/2018","8","         ","            ","","",""
"485","243","243-01-00001-824","COTTER PINS, WATER J ","PIN       ","COTTER            ","   ","104945","970186","24","0","168","0","168","0","01/05/2018","8","         ","            ","","",""
"485","243","243-01-00001-825","SEALS, LIP, FOR GEAR ","SEAL      ","LIP               ","   ","104945","970186","25","0","20","0","20","0","01/05/2018","8","         ","            ","","",""
"485","243","243-01-00001-826","SEALS, LIP, FOR WATE ","SEAL      ","LIP               ","   ","104945","970186","26","0","4","0","4","0","01/05/2018","8","         ","            ","","",""
"485","243","243-01-00001-828","ASSEMBLIES, OIL SPLA ","ASSEMBLY  ","RING              ","   ","104945","970186","27","0","16","0","16","0","01/05/2018","8","         ","            ","","",""
"485","243","243-01-00001-829","ASSEMBLIES, OIL SPLA ","ASSEMBLY  ","RING              ","   ","104945","970186","28","0","12","0","12","0","01/05/2018","8","         ","            ","","",""
"485","243","243-01-00001-830","SEALANT, CURIL-T, FO ","SEALANT   ","                  ","   ","104945","970186","29","0","6","0","6","0","01/05/2018","8","         ","            ","","",""
"485","243","243-01-00001-831","SHAFT, MID STEERABLE ","SHAFT     ","                  ","   ","104945","970186","30","0","2","0","2","0","01/05/2018","8","         ","            ","","",""
"485","243","243-01-00001-832","CLAMP, J500466CCG-1  ","CLAMP     ","                  ","   ","104945","970186","31","0","1","0","1","0","01/05/2018","8","         ","            ","","",""
"485","243","243-01-00001-821","COTTER PINS, GEAR CO ","PIN       ","COTTER            ","   ","104945","970186","32","0","96","0","96","0","01/05/2018","8","         ","            ","","",""
"485","243","243-01-00001-822","BOLTS, WATER JET SHA ","BOLT      ","                  ","   ","104945","970186","33","0","42","0","42","0","01/05/2018","8","         ","            ","","",""
"485","243","243-01-00001-806","RTD ASSY, WATER JET  ","ASSEMBLY  ","BEARING           ","   ","104945","970186","34","0","6","0","6","0","01/05/2018","8","         ","            ","","",""
"485","243","243-01-00001-801","BEARING ASSY, WATER  ","ASSEMBLY  ","BEARING           ","   ","104945","970186","35","0","8","0","8","0","01/05/2018","8","         ","            ","","",""
"485","243","243-01-00001-802","BEARING ASSY, WATER  ","ASSEMBLY  ","BEARING           ","   ","104945","970186","36","0","4","0","4","0","01/05/2018","8","         ","            ","","",""
"485","243","243-01-00001-803","BEARING ASSY, GEAR C ","ASSEMBLY  ","BEARING           ","   ","104945","970186","37","0","10","0","10","0","01/05/2018","8","         ","            ","","",""
"485","243","243-01-00001-805","BEARING ASSY, IMPELL ","ASSEMBLY  ","BEARING           ","   ","104945","970186","38","0","4","0","4","0","01/05/2018","8","         ","            ","","",""
"485","243","243-01-00001-806","RTD ASSY, WATER JET  ","ASSEMBLY  ","BEARING           ","   ","104945","970186","39","0","26","0","26","0","01/05/2018","8","         ","            ","","",""
"SWBS: ","243","243M - MAIN PROPUL","SHAFT SYST         ","          ","                  ","   ","      ","      ","    ","     Total","for SWBS      "," 243 :        ","0","","","","","","","",""
"485","247","    247-01-JPADS","THRUST BEARING JACKI ","PAD       ","JACKING           ","   ","100163","940989","11","165","16","0","16","2640","08/02/2017","8","         ","            ","","",""
"485","247","    247-01-BOLTS","THRUST BEARING FASTE ","FASTENER  ","THRUST BEARING    ","   ","100163","940989","12","123.06","16","0","16","1968.96","08/02/2017","8","         ","            ","","",""
"485","247","    247-01-00001","WATERJETS, COMPLETE  ","WATERJETS ","SYSTEM            ","   ","104945","970183","1","0","1","0","1","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-801","STEERABLE WATERJET A ","ASSEMBLY  ","WATERJET          ","   ","104945","970183","2","0","2","0","2","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-802","BOOST WATERJET ASSEM ","ASSEMBLY  ","WATERJET          ","   ","104945","970183","3","0","2","0","2","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-803","IMPELLER DRIVE SHAFT ","ASSEMBLY  ","WATERJET          ","   ","104945","970183","4","0","4","0","4","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-804","FAIRING ASSEMBLY, IM ","ASSEMBLY  ","FAIRING           ","   ","104945","970183","5","0","4","0","4","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-805","PLUG, SHAFT BORE     ","PLUG      ","BORE              ","   ","104945","970183","6","0","4","0","4","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-806","RING, RETAINING      ","RING      ","RETAINING         ","   ","104945","970183","7","0","4","0","4","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-807","O-RING               ","O-RING    ","                  ","   ","104945","970183","8","0","8","0","8","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-808","SEALING COMPOUND, AN ","COMPOUND  ","SEALING           ","   ","104945","970183","9","0","1","0","1","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-809","IMPELLER SHAFT ASSEM ","ASSEMBLY  ","SHAFT             ","   ","104945","970183","10","0","4","0","4","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-810","SHAFT FLEX COUPLING, ","COUPLING  ","FLEX              ","   ","104945","970183","11","0","4","0","4","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-811","HYDRAULIC FLANGE COU ","COUPLING  ","FLANGE            ","   ","104945","970183","12","0","4","0","4","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-812","THRUST BEARING       ","BEARING   ","THRUST            ","   ","104945","970183","13","0","4","0","4","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-813","RTD ASSEMBLY         ","ASSEMBLY  ","                  ","   ","104945","970183","14","0","4","0","4","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-814","RTD ASSEMBLY         ","ASSEMBLY  ","                  ","   ","104945","970183","15","0","4","0","4","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-815","RTD ASSEMBLY         ","ASSEMBLY  ","                  ","   ","104945","970183","16","0","4","0","4","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-816","RTD ASSEMBLY         ","ASSEMBLY  ","                  ","   ","104945","970183","17","0","4","0","4","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-817","RTD ASSEMBLY         ","ASSEMBLY  ","                  ","   ","104945","970183","18","0","8","0","8","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-819","DIAL THERMOMETER     ","THERMOMETE","DIAL              ","   ","104945","970183","19","0","4","0","4","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-820","THRUST SHAFT ASSEMBL ","ASSEMBLY  ","SHAFT             ","   ","104945","970183","20","0","4","0","4","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-821","COMPLETE STERNTUBE S ","ASSEMBLY  ","SEAL              ","   ","104945","970183","21","0","4","0","4","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-822","SHAFT SLEEVE COUPLIN ","COUPLING  ","SLEEVE            ","   ","104945","970183","22","0","4","0","4","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-823","STEERING/REVERSING H ","SKID      ","HYDRAULIC         ","   ","104945","970183","23","0","2","0","2","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-824","75HP PUMP/MOTOR SKID ","SKID      ","MOTOR             ","   ","104945","970183","24","0","2","0","2","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-825","BEARING LUBE OIL PUM ","ASSEMBLY  ","MOTOR             ","   ","104945","970183","25","0","2","0","2","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-826","BEARING LUBE OIL HEA ","EXCHANGER ","HEAT              ","   ","104945","970183","26","0","2","0","2","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-827","BEARING LUBE OIL FIL ","ASSEMBLY  ","FILTER            ","   ","104945","970183","27","0","2","0","2","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-828","SCR, CAP SCH M12 X 1 ","SCREW     ","                  ","   ","104945","970183","28","0","32","0","32","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-829","BEARING ASSEMBLY, HU ","ASSEMBLY  ","BEARING           ","   ","104945","970183","29","0","2","0","2","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-830","END CONE, STATOR     ","UNIT      ","LEVER             ","   ","104945","970183","30","0","2","0","2","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-831","PIN, PUMP ALIGNMENT  ","CABLE     ","CONNECTION        ","   ","104945","970183","31","0","6","0","6","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-832","PIN, DOWEL 15OD X 55 ","TILLER    ","STEERING          ","   ","104945","970183","32","0","4","0","4","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-833","SCR, CAP SCH M24 X 3 ","UNIT      ","STEERING          ","   ","104945","970183","33","0","106","0","106","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-834","BUSHING, STATOR VANE ","BUSHING   ","SELECT            ","   ","104945","970183","34","0","6","0","6","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-835","PLUG, THREAD M42 X 4 ","PANEL     ","SELECT            ","   ","104945","970183","35","0","8","0","8","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-836","THREAD LOCKING ANERO ","PANEL     ","JOYSTICK          ","   ","104945","970183","36","0","2","0","2","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-837","THREAD LOCKING ANERO ","UNIT      ","STATION I/O       ","   ","104945","970183","37","0","2","0","2","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-838","KAMEWA SEALING COMPO ","UNIT      ","BRIDGE            ","   ","104945","970183","38","0","2","0","2","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-839","LUBRICATING COMPOUND ","PANEL     ","SELECTION         ","   ","104945","970183","39","0","2","0","2","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-840","POSITION FEEDBACK AS ","ASSEMBLY  ","POSITION FEEDBACK ","   ","104945","970183","40","0","2","0","2","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-841","POSITION FEEDBACK AS ","ASSEMBLY  ","POSITION FEEDBACK ","   ","104945","970183","41","0","2","0","2","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-842","SCR, CAP SCH M12 X 1 ","UNIT      ","CONTROL           ","   ","104945","970183","42","0","32","0","32","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-847","EQUALIZED RETAINING  ","ASSEMBLY  ","RING              ","   ","104945","970183","43","0","4","0","4","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-848","RETAINING RING ASSY  ","ASSEMBLY  ","RING              ","   ","104945","970183","44","0","4","0","4","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-849","THRUST PAD SET - AFT ","SET       ","PAD               ","   ","104945","970183","45","0","4","0","4","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-850","STOP - INNER PAD     ","STOP      ","PAD               ","   ","104945","970183","46","0","32","0","32","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-851","STOP - OUTER PAD     ","STOP      ","PAD               ","   ","104945","970183","47","0","32","0","32","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-852","SCREW, CAP HEAD, M6X ","SCREW     ","HEAD              ","   ","104945","970183","48","0","32","0","32","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-853","LINER                ","LINER     ","                  ","   ","104945","970183","49","0","32","0","32","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-854","SCREW, COUNTERSUNK,  ","SCREW     ","COUNTERSUNK       ","   ","104945","970183","50","0","64","0","64","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-855","AIR VENT, WATERTIGHT ","VENT      ","AIR               ","   ","104945","970183","51","0","8","0","8","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-856","OSJ LIP SEAL, 325MM  ","SEAL      ","LIP               ","   ","104945","970183","52","0","16","0","16","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-857","ERECTION RING        ","RING      ","ERECTION          ","   ","104945","970183","53","0","1","0","1","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-858","SCR, CAP SCH M24 X 3 ","TOOL      ","CONNECTOR         ","   ","104945","970183","54","0","106","0","106","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-859","BUSHING, STATOR VANE ","BUSHING   ","                  ","   ","104945","970183","55","0","6","0","6","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-860","PLUG, THREAD M42 X 4 ","PLUG      ","                  ","   ","104945","970183","56","0","4","0","4","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-861","THREAD LOCKING ANERO ","LOCTITE   ","                  ","   ","104945","970183","57","0","2","0","2","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-862","KAMEWA SEALING COMPO ","COMPOUND  ","SEALING           ","   ","104945","970183","58","0","2","0","2","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-863","LUBRICATING COMPOUND ","COMPOUND  ","LUBRICATING       ","   ","104945","970183","59","0","2","0","2","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-864","EQUALIZED RETAINING  ","ASSEMBLY  ","RING              ","   ","104945","970183","60","0","4","0","4","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-865","RETAINING RING ASSEM ","ASSEMBLY  ","RING              ","   ","104945","970183","61","0","4","0","4","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-872","AIRVENT-WATERTIGHT   ","AIRVENT   ","WATERTIGHT        ","   ","104945","970183","62","0","8","0","8","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-873","OSJ LIP SEAL-325MM D ","SEAL      ","LIP               ","   ","104945","970183","63","0","16","0","16","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-874","ERECTION RING        ","RING      ","ERECTION          ","   ","104945","970183","64","0","8","0","8","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-875","VALVE, RELIEF        ","VALVE     ","RELIEF            ","   ","104945","970183","65","0","4","0","4","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-876","VALVE, TEMPERATURE C ","VALVE     ","CONTROL           ","   ","104945","970183","66","0","2","0","2","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-877","VALVE, PRESSURE REDU ","VALVE     ","REDUCING          ","   ","104945","970183","67","0","2","0","2","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-878","SWITCH, PRESSURE     ","SWITCH    ","PRESSURE          ","   ","104945","970183","68","0","2","0","2","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-879","VALVE, ISOLATION     ","VALVE     ","ISOLATION         ","   ","104945","970183","69","0","4","0","4","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-880","GAUGE, PRESSURE      ","GAUGE     ","PRESSURE          ","   ","104945","970183","70","0","2","0","2","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-881","SCREW, CAP, SOCKET H ","SCREW     ","CAP               ","   ","104945","970183","71","0","12","0","12","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-883","SCREW, CAP, SOCKET H ","SCREW     ","CAP               ","   ","104945","970183","72","0","48","0","48","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-884","CABLE ASSY, FEEDBACK ","ASSEMBLY  ","CABLE             ","   ","104945","970183","73","0","2","0","2","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-885","CABLE ASSY, FEEDBACK ","ASSEMBLY  ","CABLE             ","   ","104945","970183","74","0","2","0","2","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-886","NUT, SLKLKG, HEX HEA ","NUT       ","SELF LOCKING      ","   ","104945","970183","75","0","8","0","8","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-887","SWIVEL ASSY, CABLE E ","ASSEMBLY  ","SWIVEL            ","   ","104945","970183","76","0","8","0","8","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-888","SLEEVE, FEEDBACK CAB ","SLEEVE    ","FEEDBACK          ","   ","104945","970183","77","0","8","0","8","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-889","CLAMP, FEEDBACK CABL ","CLAMP     ","FEEDBACK          ","   ","104945","970183","78","0","4","0","4","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-890","SCREW, CAP, SOCKET H ","SCREW     ","CAP               ","   ","104945","970183","79","0","4","0","4","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-891","RING, MM 14 ID X 5 B ","RING      ","                  ","   ","104945","970183","80","0","12","0","12","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-892","BRACKET, HOSE AND CA ","BRACKET   ","HOSE              ","   ","104945","970183","81","0","2","0","2","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-893","COVER, BRACKET       ","COVER     ","BRACKET           ","   ","104945","970183","82","0","2","0","2","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-894","SCREW, CAP, SOCKET H ","SCREW     ","CAP               ","   ","104945","970183","83","0","4","0","4","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-895","SCREW, CAP, SOCKET H ","SCREW     ","CAP               ","   ","104945","970183","84","0","4","0","4","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-896","WASHER, FLAT, M10, S ","WASHER    ","FLAT              ","   ","104945","970183","85","0","8","0","8","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-897","SCREW, HEXAGON HEAD, ","SCREW     ","CAP               ","   ","104945","970183","86","0","48","0","48","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-898","BRACKET, HOSE AND CA ","BRACKET   ","HOSE              ","   ","104945","970183","87","0","2","0","2","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-899","HOSE ASSY, STEERING  ","ASSEMBLY  ","HOSE              ","   ","104945","970183","88","0","4","0","4","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-8A0","HOSE ASSY, STEERING  ","ASSEMBLY  ","HOSE              ","   ","104945","970183","89","0","4","0","4","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-8A1","HOSE ASSY, REVERSING ","ASSEMBLY  ","HOSE              ","   ","104945","970183","90","0","4","0","4","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-8A2","PROTECTOR, FLANGE    ","FLANGE    ","PROTECTOR         ","   ","104945","970183","91","0","36","0","36","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-8A3","O-RING, 1.31 ID X .1 ","O-RING    ","                  ","   ","104945","970183","92","0","24","0","24","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-8A4","CABLE ASSY, FEEDBACK ","ASSEMBLY  ","CABLE             ","   ","104945","970183","93","0","2","0","2","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-8A5","CLAMP, FEEDBACK CABL ","CLAMP     ","FEEDBACK          ","   ","104945","970183","94","0","4","0","4","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-8A6","SHAFT SPACER         ","SPACER    ","SHAFT             ","   ","104945","970183","95","0","4","0","4","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-8A7","HALF GASKET          ","GASKET    ","HALF              ","   ","104945","970183","96","0","2","0","2","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-8A8","PURGE VALVE          ","VALVE     ","PURGE             ","   ","104945","970183","97","0","4","0","4","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-8A9","VALVE ASSY, COUNTERB ","ASSEMBLY  ","VALVE             ","   ","104945","970183","98","0","2","0","2","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-8B0","SPLIT SEAL REPAIR KI ","KIT       ","REPAIR            ","   ","104945","970183","99","0","2","0","2","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-8B1","HOUSING, SEAL, OIL,  ","HOUSING   ","SEAL              ","   ","104945","970183","100","0","8","0","8","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-8B2","HOSE ASSY, STEERING  ","ASSEMBLY  ","HOSE              ","   ","104945","970183","101","0","4","0","4","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-8B3","HOSE ASSY, STEERING  ","ASSEMBLY  ","HOSE              ","   ","104945","970183","102","0","4","0","4","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-8B4","HOSE ASSY, REVERSING ","ASSEMBLY  ","HOSE              ","   ","104945","970183","103","0","4","0","4","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-L20","SUPPORT, VENDOR      ","SUPPORT   ","VENDOR            ","   ","104945","970183","104","0","1","0","1","0","01/05/2018","8","         ","            ","","",""
"485","247","247-01-00001-L26","CERTIFICATE, IDENTIC ","CERTIFICAT","IDENTICALITY      ","   ","104945","970183","105","0","1","0","1","0","01/05/2018","8","         ","            ","","",""
"SWBS: ","247","WATER JETS      ","                     ","          ","                  ","   ","      ","      ","    ","     Total","for SWBS      "," 247 :        4608.96","","","","","","","","",""
"485","251","    251-06-00210","BACKING STRIP, 2""X1"" ","STRIP     ","BACKING           ","   ","106803","941023","1","91.95","32","0","32","2942.4","09/22/2017","8","         ","            ","","",""
"485","251","    251-06-00211","BACKING STRIP, 2""X1"" ","STRIP     ","BACKING           ","   ","106803","941023","2","98.75","29","0","29","2863.75","09/22/2017","8","         ","            ","","",""
"485","251","    251-06-00212","BACKING STRIP, 2""X1"" ","STRIP     ","BACKING           ","   ","106803","941023","3","95.2","8","0","8","761.6","09/22/2017","8","         ","            ","","",""
"485","251","    251-06-00213","BACKING STRIP, 2""X1"" ","STRIP     ","BACKING           ","   ","106803","941023","4","95.2","8","0","8","761.6","09/22/2017","8","         ","            ","","",""
"485","251","    251-06-00214","BACKING STRIP, 2""X1"" ","STRIP     ","BACKING           ","   ","106803","941023","5","124.05","8","0","8","992.4","09/22/2017","8","         ","            ","","",""
"485","251","    251-06-00215","BACKING STRIP, 2""X1"" ","STRIP     ","BACKING           ","   ","106803","941023","6","46.7","7","0","7","326.9","09/22/2017","8","         ","            ","","",""
"485","251","    251-06-00216","BACKING STRIP, 2""X1"" ","STRIP     ","BACKING           ","   ","106803","941023","7","92.05","32","0","32","2945.6","09/22/2017","8","         ","            ","","",""
"485","251","    251-06-00217","BACKING STRIP, 2""X1"" ","STRIP     ","BACKING           ","   ","106803","941023","8","74.25","31","0","31","2301.75","09/22/2017","8","         ","            ","","",""
"SWBS: ","251","COMBUSTION AIR SYSTEM","                ","          ","                  ","   ","      ","      ","    ","     Total","for SWBS      "," 251 :       13896.00","","","","","","","","",""
"485","252","    252-02-00002","STAND, DECK,EMERGENC ","STAND     ","DECK              ","   ","100876","941015","2","60","14","0","14","840","06/30/2017","8","         ","            ","","",""
"485","252","    252-01-00001","WATERJET CONTROL SYS ","SYSTEM    ","CONTROL           ","   ","104945","970184","1","0","1","0","1","0","01/05/2018","8","         ","            ","","",""
"485","252","252-01-00001-800","PANEL, CONTORL SELEC ","PANEL     ","CONTROL           ","   ","104945","970184","2","0","2","0","2","0","01/05/2018","8","         ","            ","","",""
"485","252","252-01-00001-801","PANEL, CONTROL SELEC ","PANEL     ","CONTROL           ","   ","104945","970184","3","0","2","0","2","0","01/05/2018","8","         ","            ","","",""
"485","252","252-01-00001-803","CONTROL UNIT, JOYSTI ","UNIT      ","CONTROL           ","   ","104945","970184","4","0","2","0","2","0","01/05/2018","8","         ","            ","","",""
"485","252","252-01-00001-804","CAN MAN INNERCONNECT ","CABLE     ","                  ","   ","104945","970184","5","0","28","0","28","0","01/05/2018","8","         ","            ","","",""
"485","252","252-01-00001-805","UNIT, LEVER          ","UNIT      ","LEVER             ","   ","104945","970184","6","0","6","0","6","0","01/05/2018","8","         ","            ","","",""
"485","252","252-01-00001-806","STATION IO UNIT #2,  ","UNIT      ","STATION           ","   ","104945","970184","7","0","2","0","2","0","01/05/2018","8","         ","            ","","",""
