"Proj","SWBS","Item","Description","Noun 1","Noun 2","NRE","Vendor","PO","Line","Unit Price","Order Qty","Delivered Qty","Pending Qty","Pending Amnt","Delv.date","Payment Terms","Ledger Account","CLIN","Effort","",""
"485","86","    086-01-00012","TECHNICAL REPAIR STA ","STANDARD  ","REPAIR            ","   ","100503","751304","7","1","21316","0","21316","21316","08/10/2020","8","         ","            ","","",""
"485","86","    086-01-00013","POLLUTION ABATEMENT  ","MANUAL    ","POLLUTION         ","   ","100503","751304","8","1","4390","0","4390","4390","08/10/2020","8","         ","            ","","",""
"485","86","    086-01-00015","MOTORS MANUALS       ","MANUALS   ","MOTOR             ","   ","100503","751304","9","1","4390","0","4390","4390","08/10/2020","8","         ","            ","","",""
"485","86","    086-01-00016","MACHINE TOOLS AND SP ","TOOL      ","EQUIPMENT         ","   ","100503","751304","10","1","4390","0","4390","4390","08/10/2020","8","         ","            ","","",""
"485","86","    086-01-00018","HVAC/COLLECTIVE PROT ","MANUAL    ","SYSTEM            ","   ","100503","751304","11","1","4390","0","4390","4390","08/10/2020","8","         ","            ","","",""
"485","86","    086-01-00021","EQUIPMENT TECHNICAL  ","          ","                  ","   ","100503","751304","12","1","152637","0","152637","152637","08/10/2020","8","         ","            ","","",""
"485","86","    086-25-00001","ACQUISITION MAINTENA ","          ","                  ","   ","100503","751321","1","1","10000","0","10000","10000","12/31/2018","8","         ","            ","","",""
"SWBS: ","86","086M - INSTRUCTION","BOOKS              ","          ","                  ","   ","      ","      ","    ","     Total","for SWBS      "," 086 :      366373.00","","","","","","","","",""
"485","110","    11-13M040T40","PLATE, 4MM X 96"" X 4 ","PLATE     ","                  ","   ","105550","766016","1","1594.95","134","0","134","213723.3","09/01/2017","8","         ","            ","","",""
"485","110","   12-16E0302520","BAR, FLAT, 2-1/2"" X  ","BAR       ","FLAT              ","   ","104757","766038","3","27.4","27","0","27","739.8","06/03/2017","8","         ","            ","","",""
"SWBS: ","110","110M - HULL STEEL","GENERAL             ","          ","                  ","   ","      ","      ","    ","     Total","for SWBS      "," 110 :      214463.10","","","","","","","","",""
"485","127","    127-01-51401","TANK, CHILLED WATER  ","TANK      ","EXPANSION         ","   ","22079","940948","1","7304","1","0","1","7304","08/31/2018","8","         ","            ","","",""
"485","127","127-01-51401-L11","CERTIFICATES, REGULA ","CERTIFICAT","REGULATORY        ","   ","22079","940948","2","0","1","0","1","0","08/31/2018","8","         ","            ","","",""
"485","127","127-01-51401-L26","CERTIFICATE, IDENTIC ","CERTIFICAT","IDENTICALITY      ","   ","22079","940948","3","0","1","0","1","0","08/31/2018","8","         ","            ","","",""
"485","127","127-01-51401-L68","CERTIFICATES, VENDOR ","CERTIFICAT","VENDOR            ","   ","22079","940948","4","0","1","0","1","0","08/31/2018","8","         ","            ","","",""
"485","127","    127-01-53301","TANK, BATTLE DRESSIN ","TANK      ","                  ","   ","100979","941010","1","15508","1","0","1","15508","08/03/2018","8","         ","            ","","",""
"485","127","127-01-53301-L68","CERTIFICATES, VENDOR ","CERTIFICAT","VENDOR            ","   ","100979","941010","2","0","1","0","1","0","08/03/2018","8","         ","            ","","",""
"485","127","127-01-53301-L11","CERTIFICATES, REGULA ","CERTIFICAT","REGULATORY        ","   ","100979","941010","3","0","1","0","1","0","08/03/2018","8","         ","            ","","",""
"485","127","127-01-53301-800","SIGHT GLASS, LEVEL I ","SIGHT GLAS","INDICATOR         ","   ","100979","941010","4","0","1","0","1","0","08/03/2018","8","         ","            ","","",""
"485","127","127-01-53301-801","MANHOLE COVER KIT, C ","COVER     ","MANHOLE           ","   ","100979","941010","5","0","1","0","1","0","08/03/2018","8","         ","            ","","",""
