"Proj","SWBS","Item","Description","Noun 1","Noun 2","NRE","Vendor","PO","Line","Unit Price","Order Qty","Delivered Qty","Pending Qty","Pending Amnt","Delv.date","Payment Terms","Ledger Account","CLIN","Effort"
"473","2","  HPR-0001317-03","TRIM BALANCE BOLT -  ","BOLT      ","TRIM              ","   ","104945","621352","170","0","2","0","2","0","01/24/2017","8","         ","            ",""
"473","2","  HPR-0001317-02","TRIM BALANCE WASHER  ","WASHER    ","TRIM              ","   ","104945","621352","171","0","2","0","2","0","01/24/2017","8","         ","            ",""
"473","2","  HPR-0001317-04","INSTALLATION BLOCK   ","BLOCK     ","INSTALLATION      ","   ","104945","621352","172","0","12","0","12","0","01/24/2017","8","         ","            ",""
"473","2","  HPR-0001317-01","TRIM BALANCE NUT - 3 ","NUT       ","TRIM              ","   ","104945","621352","173","0","2","0","2","0","01/24/2017","8","         ","            ",""
"473","2","  HPR-0001317-05","ATTACHMENT BOLT      ","BOLT      ","                  ","   ","104945","621352","174","0","72","0","72","0","01/24/2017","8","         ","            ",""
"473","2","  HPR-0001294-01","SYSTEM COOLING, ESS. ","SYSTEM    ","COOLING           ","   ","104945","621352","175","0","6","0","6","0","02/02/2017","8","         ","            ",""
"473","2","  HPR-0001473-01","MOUNT, SHOCK         ","MOUNT     ","SHOCK             ","   ","104945","621352","176","0","4","0","4","0","03/26/2017","8","         ","            ",""
"473","2","  HPR-0001514-01","FADC, MT30 GTME      ","          ","                  ","   ","104945","621352","177","0","1","0","1","0","04/08/2017","8","         ","            ",""
"473","2","  HPR-0001674-01","FLEX JOINT, GT INLET ","FLEX      ","JOINT             ","   ","104945","621352","178","0","40","0","40","0","05/15/2017","8","         ","            ",""
"473","2","  HPR-0001674-02","FLEX JOINT, GT INLET ","FLEX      ","JOINT             ","   ","104945","621352","179","0","2","0","2","0","05/15/2017","8","         ","            ",""
"473","2","  HPR-0001559-01","POSITION FEEDBACK AS ","ASSEMBLY  ","POSITION FEEDBACK ","   ","104945","621354","130","0","2","0","2","0","05/15/2017","8","         ","            ",""
"473","2","  HPR-0001559-02","POSITION FEEDBACK AS ","ASSEMBLY  ","POSITION FEEDBACK ","   ","104945","621354","131","0","2","0","2","0","05/15/2017","8","         ","            ",""
"473","2","  HPR-0001710-01","STEERING/REVERSING H ","SKID      ","HYDRAULIC         ","   ","104945","621354","132","0","1","0","1","0","05/07/2017","8","         ","            ",""
