"Proj","SWBS","Item","Description","Noun 1","Noun 2","NRE","Vendor","PO","Line","Unit Price","Order Qty","Delivered Qty","Pending Qty","Pending Amnt","Delv.date","Payment Terms","Ledger Account","CLIN","Effort","ECP/REA"
"475","110","15-16M0800640","BEAM, 8"" X 6.5# X 40 ","BEAM      ","M SHAPE           ","   ","107601","540126","1","129.3","264","263","1","129.3","02/10/2014","6","         ","            ","             ",""
"475","110","A2LB1-X1-000-102","15M120 (EH36)        ","          ","                  ","   ","100979","540266","2","0","1","0","1","0","10/30/2015","8","         ","            ","             ",""
"475","110","A2LB1-X1-000-103","15M120 (EH36)        ","          ","                  ","   ","100979","540266","3","0","1","0","1","0","10/30/2015","8","         ","            ","             ",""
"475","110","A2LB1-X1-000-104","15M120 (EH36)        ","          ","                  ","   ","100979","540266","4","0","1","0","1","0","10/30/2015","8","         ","            ","             ",""
"475","110","A2LB1-X1-000-105","15M120 (EH36)        ","          ","                  ","   ","100979","540266","5","0","1","0","1","0","10/30/2015","8","         ","            ","             ",""
"475","110","A2LB1-X1-000-106","15M120 (EH36)        ","          ","                  ","   ","100979","540266","6","0","1","0","1","0","10/30/2015","8","         ","            ","             ",""
"475","110","A2LB1-X1-000-107","15M120 (EH36)        ","          ","                  ","   ","100979","540266","7","0","1","0","1","0","10/30/2015","8","         ","            ","             ",""
"475","110","A2LB1-X2-000-107","15M120 (EH36)        ","          ","                  ","   ","100979","540266","8","0","1","0","1","0","10/30/2015","8","         ","            ","             ",""
"475","110","A2LB1-X2-000-106","15M120 (EH36)        ","          ","                  ","   ","100979","540266","9","0","1","0","1","0","10/30/2015","8","         ","            ","             ",""
"475","110","A2LB1-X2-000-105","15M120 (EH36)        ","          ","                  ","   ","100979","540266","10","0","1","0","1","0","10/30/2015","8","         ","            ","             ",""
"475","110","A2LB1-X2-000-104","15M120 (EH36)        ","          ","                  ","   ","100979","540266","11","0","1","0","1","0","10/30/2015","8","         ","            ","             ",""
"475","110","A2LB1-X2-000-103","15M120 (EH36)        ","          ","                  ","   ","100979","540266","12","0","1","0","1","0","10/30/2015","8","         ","            ","             ",""
"475","110","A2LB1-X2-000-102","15M120 (EH36)        ","          ","                  ","   ","100979","540266","13","0","1","0","1","0","10/30/2015","8","         ","            ","             ",""
"475","110","110-00-0S004","TEE MT 4 X 3.25 LB X ","TEE       ","MT                ","   ","1","606549","1","0","348","208","140","0","07/05/2014","1","         ","            ","             ",""
"475","110","110-00-0S005","TEE, MT 5 X 4.5 LB X ","TEE       ","MT                ","   ","1","606549","2","0","103","22","81","0","07/05/2014","1","         ","            ","             ",""
"475","110","110-00-0S006","TEE MT 6 X 5.9 LB X  ","TEE       ","MT                ","   ","1","606549","3","0","120","110","10","0","07/05/2014","1","         ","            ","             ",""
"475","110","110-00-0S007","TEE WT 6 X 7 LB X 40 ","TEE       ","WT                ","   ","1","606549","4","0","102","40","62","0","07/05/2014","1","         ","            ","             ",""
"475","110","110-00-0S008","TEE WT 6 X 8 LB X 40 ","TEE       ","WT                ","   ","1","606549","5","0","30","22","8","0","07/05/2014","1","         ","            ","             ",""
"475","110","110-00-0S009","TEE MT 3 X 2.2 LB X  ","TEE       ","MT                ","   ","1","606549","6","0","275","112","163","0","07/05/2014","1","         ","            ","             ",""
"475","110","110-00-MS005","TEE, MT 5 X 4.5 LB X ","TEE       ","MT                ","   ","1","606549","10","0","9","0","9","0","07/05/2014","1","         ","            ","             ",""
"475","110","110-00-MS105","TEE, MT 8.5 X 6.3LB  ","TEE       ","MT                ","   ","1","606549","11","0","13","2","11","0","07/05/2014","1","         ","            ","             ",""
"475","110","110-00-0S013","TEE WT 155 X 16.35 X ","TEE       ","WT                ","   ","1","606549","16","0","63","28","35","0","07/05/2014","1","         ","            ","             ",""
"475","110","110-00-WS109","TEE MT 3 X 2.2 LB X  ","TEE       ","MT                ","   ","1","606549","17","0","89","70","19","0","07/05/2014","1","         ","            ","             ",""
"475","110","110-00-WS206","TEE, MT 6 X 5.9 LB X ","TEE       ","MT                ","   ","1","606549","18","0","64","41","23","0","07/05/2014","1","         ","            ","             ",""
"475","110","110-00-0S011","TEE WT 6 X 13 LB X 4 ","TEE       ","WT                ","   ","1","606549","21","0","8","3","5","0","07/05/2014","1","         ","            ","             ",""
"475","110","110-00-0S017","TEE, 7"" X 13 X 40',  ","TEE       ","WT SHAPE          ","   ","1","606549","22","0","3","0","3","0","03/27/2016","1","         ","            ","             ",""
"475","110","110-00-MS005","TEE, MT 5 X 4.5 LB X ","TEE       ","MT                ","   ","1","606549","23","0","9","0","9","0","07/05/2014","1","         ","            ","             ",""
"475","110","110-00-MS107","TEE WT 6 X 7 LB X 40 ","TEE       ","WT                ","   ","1","606549","25","0","1","0","1","0","07/05/2014","1","         ","            ","             ",""
"475","110","110-00-MS305","TEE, MT 8.5 X 6.3LB  ","TEE       ","MT                ","   ","1","606549","26","0","3","2","1","0","07/05/2014","1","         ","            ","             ",""
"475","110","110-00-WS307","TEE, WT 6 X 7 LB X 4 ","TEE       ","WT                ","   ","1","606549","28","0","1","0","1","0","07/05/2014","1","         ","            ","             ",""
"475","110","110-00-WS206","TEE, MT 6 X 5.9 LB X ","TEE       ","MT                ","   ","1","606549","30","0","9","0","9","0","07/05/2014","1","         ","            ","             ",""
"475","110","110-00-MS207","TEE WT 6X7LBX40'ABS  ","TEE       ","WT                ","   ","1","606549","33","0","1","0","1","0","12/16/2014","1","         ","            ","             ",""
"475","110","110-00-WS304","TEE, MT 4 X 3.25LB X ","TEE       ","MT                ","   ","1","606549","34","0","18","4","14","0","12/16/2014","1","         ","            ","             ",""
"475","110","110-00-0S006","TEE MT 6 X 5.9 LB X  ","TEE       ","MT                ","   ","1","606549","37","0","19","0","19","0","03/27/2016","1","         ","            ","             ",""
"475","110","110-00-0S012","TEE WT 4 X 10.5 LB X ","TEE       ","WT                ","   ","1","606549","38","0","2","0","2","0","03/27/2016","1","         ","            ","             ",""
"475","110","110-00-MS105","TEE, MT 8.5 X 6.3LB  ","TEE       ","MT                ","   ","1","606549","39","0","1","0","1","0","03/27/2016","1","         ","            ","             ",""
"475","110","110-00-MS205","TEE, MT 8.5 X 6.3LB  ","TEE       ","MT                ","   ","1","606549","40","0","2","0","2","0","03/27/2016","1","         ","            ","             ",""
"475","110","110-00-MS305","TEE, MT 8.5 X 6.3LB  ","TEE       ","MT                ","   ","1","606549","41","0","9","0","9","0","07/01/2016","1","         ","            ","             ",""
"475","110","110-00-MS405","TEE, MT 5 X 4.5 LB X ","TEE       ","MT                ","   ","1","606549","42","0","2","0","2","0","07/01/2016","1","         ","            ","             ",""
"475","110","13-1630300320","ANGLE, 3"" X 3"" X 3/1 ","ANGLE     ","                  ","   ","104715","606592","55","37.28","20","19","1","37.28","03/10/2014","8","         ","            ","             ",""
"475","110","04-167-06-0010A","PLATE                ","          ","                  ","   ","100876","607152","7","0","1","0","1","0","03/31/2015","8","         ","            ","             ",""
"475","110","DP-33M050T09","DR PL,AL5083,5MM X 8 ","          ","                  ","   ","100876","607152","13","0","1","0","1","0","03/31/2015","8","         ","            ","             ",""
"475","110","DP-33M050T09","DR PL,AL5083,5MM X 8 ","          ","                  ","   ","100876","607152","17","0","1","0","1","0","03/31/2015","8","         ","            ","             ",""
"475","110","DP-33M060T05","DR PL, AL5083,6MM X  ","          ","                  ","   ","100876","607152","22","0","1","0","1","0","03/31/2015","8","         ","            ","             ",""
"475","110","DP-33M095H08","DR PL,AL5083,9.5MM X ","          ","                  ","   ","100876","607152","26","0","1","0","1","0","03/31/2015","8","         ","            ","             ",""
"475","110","DP-33M095N09","DR PL,AL5083,9.5MM X ","          ","                  ","   ","100876","607152","27","0","1","0","1","0","03/31/2015","8","         ","            ","             ",""
"475","110","DP-33M095N08","DR PL,AL5083,9.5MM X ","          ","                  ","   ","100876","607152","29","0","1","0","1","0","03/31/2015","8","         ","            ","             ",""
"475","110","DP-33M095T09","DR PL,AL5083,9.5MM X ","          ","                  ","   ","100876","607152","30","0","1","0","1","0","03/31/2015","8","         ","            ","             ",""
"475","110","DP-33M130N13","DR PL, AL5083, 13MM  ","          ","                  ","   ","100876","607152","32","0","1","0","1","0","03/31/2015","8","         ","            ","             ",""
"475","110","DP-13M100T05","DR PL, DH36, 10MM X  ","          ","                  ","   ","100876","607152","60","0","1","0","1","0","03/31/2015","8","         ","            ","             ",""
"475","110","DP-13M250T11","DR PL, DH36, 25MM X  ","          ","                  ","   ","100876","607152","63","0","1","0","1","0","03/31/2015","8","         ","            ","             ",""
"475","110","15-16S0601220","BEAM, 6"" X 12.5# X 2 ","BEAM      ","S SHAPE           ","   ","104757","766047","1","387.8","1","0","1","387.8","06/20/2017","8","         ","            ","             ","CF 2491-S1"
"475","110","13-1620200320","ANGLE, 2"" X 2"" X 3/1 ","ANGLE     ","                  ","   ","104757","766080","4","38.53","1","0","1","38.53","07/17/2017","8","         ","            ","             ","CF 2406-S1"
"475","110","13-1620200320","ANGLE, 2"" X 2"" X 3/1 ","ANGLE     ","                  ","   ","104757","766083","4","38.53","1","0","1","38.53","07/22/2017","8","         ","            ","             ","CF 2276-S1"
"475","110","13-1630300320","ANGLE, 3"" X 3"" X 3/1 ","ANGLE     ","                  ","   ","104757","766086","4","58.68","1","0","1","58.68","07/22/2017","8","         ","            ","             ","CF 2276-S1"
"475","110","11-14M560T26","PLATE, 56MM X 96"" X  ","PLATE     ","                  ","   ","104553","786685","2","39700","2","1","1","39700","01/10/2017","8","         ","            ","             ",""
