"Proj","SWBS","Item","Description","Noun 1","Noun 2","NRE","Vendor","PO","Line","Unit Price","Order Qty","Delivered Qty","Pending Qty","Pending Amnt","Delv.date","Payment Terms","Ledger Account","CLIN","Effort","ECP/REA"
"475","002","HPR-0002229-01","HANGAR DOOR, PERIPHE ","DOOR      ","HANGER            ","   ","108207","921542","1","469.23","1","0","1","469.23","09/18/2017","8","         ","            ","             ",""
"475","002","HPR-0000835-01","LOKRING SS-3300 CPLG ","          ","                  ","   ","106891","930400","1","211.74","1","0","1","211.74","10/21/2016","8","         ","            ","             ",""
"475","002","HPR-0001689-05","VALVE, GATE, 1/4"" IP ","VALVE     ","GATE              ","   ","101589","930618","14","0","-4","0","-4","0","07/28/2017","8","         ","            ","             ",""
"475","002","HPR-0001511-01","VALVE, BALL, 3 WAY,  ","VALVE     ","BALL              ","   ","100900","930710","2","0","-1","0","-1","0","06/05/2017","8","         ","            ","             ",""
"475","002","HPR-0001724-02","CABLE, ELECTRIC, FXW ","CABLE     ","LIGHTWEIGHT       ","   ","5884","930711","1","1.08","150","142","8","8.64","04/06/2017","8","         ","            ","             ",""
"475","002","HPR-0001732-01","PENETRATOR, 1/2"" IPS ","          ","                  ","   ","106891","930714","2","0","-1","0","-1","0","04/12/2017","8","         ","            ","             ",""
"475","002","HPR-0001749-01","V,.5,FLOW CONT,CU SW ","VALVE     ","FLOW CONTROL      ","   ","102017","930736","1","23.66","2","0","2","47.32","04/20/2017","8","         ","            ","             ",""
"475","002","HPR-0001689-01","FLOW METER, .92 TO 1 ","METER     ","FLOW              ","   ","107500","930754","2","0","-2","0","-2","0","05/12/2017","8","         ","            ","             ",""
"475","002","HPR-0001787-05","VALVE, GLOBE, 1/4"" O ","          ","                  ","   ","23101","930759","1","100.61","1","0","1","100.61","05/14/2017","8","         ","            ","             ",""
"475","002","HPR-0001787-05","VALVE, GLOBE, 1/4"" O ","          ","                  ","   ","23101","930759","2","0","-1","0","-1","0","05/14/2017","8","         ","            ","             ",""
"475","002","HPR-0001708-01","VALVE, GLOBE, 1/4"",  ","VALVE     ","GLOBE             ","   ","106506","930764","2","0","-2","0","-2","0","06/02/2017","8","         ","            ","             ",""
"475","002","HPR-0001795-01","VALVE, BALL, 1/4"" IP ","VALVE     ","BALL              ","   ","105715","930796","2","0","-2","0","-2","0","06/25/2017","8","         ","            ","             ",""
"475","002","HPR-0001537-02","VALVE, RELIEF, 1/2""  ","VALVE     ","                  ","   ","104947","930821","1","2095.19","1","0","1","2095.19","09/26/2017","1","         ","            ","             ",""
"475","002","HPR-0001537-02","VALVE, RELIEF, 1/2""  ","VALVE     ","                  ","   ","104947","930821","2","0","-1","0","-1","0","09/26/2017","1","         ","            ","             ",""
"475","002","HPR-0001429-02","VALVE, FLOW CONTROL, ","VALVE     ","FLOW CONTROL      ","   ","101993","930835","1","146","1","0","1","146","05/25/2017","8","         ","            ","             ",""
"475","002","HPR-0001429-02","VALVE, FLOW CONTROL, ","VALVE     ","FLOW CONTROL      ","   ","101993","930835","2","0","-1","0","-1","0","05/25/2017","8","         ","            ","             ",""
"475","002","HPR-0001878-01","VALVE, 3/8"" IPS, SPR ","VALVE     ","CHECK             ","   ","100538","930863","1","547.96","1","0","1","547.96","09/22/2017","8","         ","            ","             ",""
"475","002","HPR-0001878-01","VALVE, 3/8"" IPS, SPR ","VALVE     ","CHECK             ","   ","100538","930863","2","0","-1","0","-1","0","09/22/2017","8","         ","            ","             ",""
"475","002","HPR-0001880-01","GASKET, MANHOLE, 15"" ","GASKET    ","MANHOLE           ","   ","100612","930864","2","0","-1","0","-1","0","06/24/2017","18","         ","            ","             ",""
"475","002","HPR-06602-01","VALVE, BUTTERFLY, 5"" ","VALVE     ","BUTTERFLY         ","   ","105551","930873","2","1491","1","0","1","1491","08/11/2017","8","         ","            ","             ",""
"475","002","HPR-06602-01","VALVE, BUTTERFLY, 5"" ","VALVE     ","BUTTERFLY         ","   ","105551","930873","3","1491","1","0","1","1491","08/11/2017","8","         ","            ","             ",""
"475","002","HPR-0001969-01","CABLE HARNESS SET, S ","SET       ","HARNESS           ","   ","101404","930875","1","2978","1","0","1","2978","08/06/2017","8","         ","            ","             ",""
"475","002","HPR-0002034-01","VALVE, GATE, 1/4"" NO ","VALVE, GAT","RISING STEM       ","   ","101589","930890","3","35.36","5","0","5","176.8","08/13/2017","8","         ","            ","             ",""
"475","002","HPR-0002093-01","VALVE, BALL, 1/4"" IP ","VALVE     ","BALL              ","   ","105715","930898","2","0","-2","0","-2","0","10/14/2017","8","         ","            ","             ",""
"475","002","HPR-0002120-01","VALVE, VACUUM RELIEF ","          ","                  ","   ","104947","930901","1","270.74","2","0","2","541.48","08/18/2017","1","         ","            ","             ",""
"475","002","HPR-0002054-01","VALVE, SWING CHECK,  ","VALVE     ","SWING CHECK       ","   ","106195","930902","1","2419","1","0","1","2419","11/06/2017","8","         ","            ","             ",""
"475","002","HPR-0002082-01","VALVE, RELIEF, 4"" IN ","VALVE     ","ANGLE             ","   ","105047","930904","1","100","1","0","1","100","07/19/2017","8","         ","            ","             ",""
"475","002","HPR-0002082-01","VALVE, RELIEF, 4"" IN ","VALVE     ","ANGLE             ","   ","104946","930925","1","100","1","0","1","100","07/27/2017","8","         ","            ","             ",""
"475","002","HPR-0001399-01","INTELLIGENT DEVICE I ","INTERFACE ","                  ","   ","101139","950553","1","0","1","0","1","0","03/03/2017","8","         ","            ","             ",""
"475","002","HPR-0000932-01","UNIT, CONTROL, AFD P ","UNIT      ","CONTROL           ","   ","104359","950570","1","91728","1","0","1","91728","05/14/2018","8","         ","            ","             ",""
"475","002","HPR-0001622-01","TRANSFORMER, COMMERC ","TRANSFORME","COMMERCIAL        ","   ","100397","950577","1","4664","1","0","1","4664","10/23/2017","8","         ","            ","             ",""
"475","002","HPR-0001634-01","TRANSFORMER, COMMERC ","TRANSFORME","COMMERCIAL        ","   ","100397","950577","2","4664","1","0","1","4664","10/23/2017","8","         ","            ","             ",""
"475","002","HPR-0001191-23","DISCHARGE HOSE, 1-1/ ","HOSE      ","DISCHARGE         ","   ","40535","970192","1","984.6","1","0","1","984.6","04/19/2017","1","         ","            ","             ",""
"475","002","HPR-0001535-01","NO-FLOW DEVICE, EXCE ","ADAPTER   ","FLOW-RESTRICTOR   ","   ","100158","970241","1","217.5","169","0","169","36757.5","04/13/2017","8","         ","            ","             ",""
"475","002","HPR-0001541-06","HATCH, STL, 762 MM X ","HATCH     ","                  ","   ","6908","970270","5","39.5","10","0","10","395","04/23/2017","1","         ","            ","             ",""
"475","002","HPR-0002040-01","WELD, LUG, HATCH STA ","LUG       ","WELD              ","   ","108207","970393","1","573.65","1","0","1","573.65","07/11/2017","8","         ","            ","             ",""
"475","002","HPR-0002127-01","HATCH, AVIATION MISS ","HATCH     ","                  ","   ","108207","970467","1","0","1","0","1","0","08/19/2017","8","         ","            ","             ",""
"475","086","086-01-00003","SHIP INFORMATION BOO ","BOOK      ","INFORMATION       ","   ","100503","690839","1","1","69781.32","57746.57","12034.75","12034.75","09/01/2015","8","         ","            ","             ",""
"475","086","086-01-00004","DAMAGE CONTROL BOOK  ","BOOK      ","CONTROL           ","   ","100503","690839","2","1","17774.96","17214.91","560.05","560.05","09/01/2015","8","         ","            ","             ",""
"475","086","086-01-00005","DAMAGE CONTROL DIAGR ","DIAGRAM   ","CONTROL           ","   ","100503","690839","3","1","43385.77","28542.02","14843.75","14843.75","09/01/2015","8","         ","            ","             ",""
"475","086","086-01-00006","BOAT HANDLING AND ST ","MANUAL    ","STORAGE           ","   ","100503","690839","4","1","4389.73","65.85","4323.88","4323.88","09/01/2015","8","         ","            ","             ",""
"475","086","086-01-00010","OFFBOARD ORGANIC VEH ","SERVICE   ","SUPPORT           ","   ","100503","690839","5","1","19624.05","4197.59","15426.46","15426.46","09/01/2015","8","         ","            ","             ",""
"475","086","086-01-00011","UNDERWAY REPLENISHME ","UNDERWAY  ","REPLENISHMENT     ","   ","100503","690839","6","1","4389.73","1349.85","3039.88","3039.88","09/01/2015","8","         ","            ","             ",""
"475","086","086-01-00012","TECHNICAL REPAIR STA ","STANDARD  ","REPAIR            ","   ","100503","690839","7","1","21316.39","4005.32","17311.07","17311.07","09/01/2015","8","         ","            ","             ",""
"475","086","086-01-00013","POLLUTION ABATEMENT  ","MANUAL    ","POLLUTION         ","   ","100503","690839","8","1","4389.73","2157.55","2232.18","2232.18","09/01/2015","8","         ","            ","             ",""
"475","086","086-01-00015","MOTORS MANUALS       ","MANUALS   ","MOTOR             ","   ","100503","690839","9","1","4389.73","759.42","3630.31","3630.31","09/01/2015","8","         ","            ","             ",""
"475","086","086-01-00016","MACHINE TOOLS AND SP ","TOOL      ","EQUIPMENT         ","   ","100503","690839","10","1","4389.73","680.42","3709.31","3709.31","09/01/2015","8","         ","            ","             ",""
"475","086","086-01-00018","HVAC/COLLECTIVE PROT ","MANUAL    ","SYSTEM            ","   ","100503","690839","11","1","4389.73","114.13","4275.6","4275.6","09/01/2015","8","         ","            ","             ",""
"475","086","086-15-00006","PROVIDE TECHNICAL MA ","          ","                  ","   ","100503","750976","6","1","6294.4","266.88","6027.52","6027.52","12/15/2015","8","         ","            ","             ",""
"475","086","086-15-00009","PROVIDE TECHNICAL MA ","          ","                  ","   ","100503","751277","1","1","26781","25368.75","1412.25","1412.25","12/31/2016","8","         ","            ","             ",""
"475","086","086-15-00011","ACQUISITION MAINTENA ","MAINTENANC","                  ","   ","100503","751310","1","1","10000","3675","6325","6325","12/31/2017","8","         ","            ","             ",""
"475","086","086-01-00001-S00","CF 2002 UPDATE SHIP  ","SHOCK     ","SHIP              ","   ","100503","751327","1","675","1","0","1","675","06/30/2018","8","         ","            ","             ","CF 2202-S1"
"475","086","086-01-00001-S01","CF 2029 UPDATE SHIP  ","SHOCK     ","SHIP              ","   ","100503","751327","2","750","1","0","1","750","06/30/2018","8","         ","            ","             ","CF 2029-S1"
"475","086","086-01-00001-S02","CF 2159 UPDATE SHIP  ","SHOCK     ","SHIP              ","   ","100503","751327","3","1350","1","0","1","1350","06/30/2018","8","         ","            ","             ","CF 2159-S1"
"475","086","086-01-00001-S03","CF 2203 UPDATE MOTOR ","SHOCK     ","MOTOR             ","   ","100503","751327","4","375","1","0","1","375","06/30/2018","8","         ","            ","             ","CF 2203-S1"
"475","086","086-01-00001-S04","CF 2258 UPDATE SHIP  ","SHOCK     ","SHIP              ","   ","100503","751327","5","2100","1","0","1","2100","06/30/2018","8","         ","            ","             ","CF 2258-S1"
"475","086","086-01-00001-S05","CF 2318 UPDATE SHIP  ","SHOCK     ","SHIP              ","   ","100503","751327","6","675","1","0","1","675","06/30/2018","8","         ","            ","             ","CF 2318-S1"
"475","086","086-01-00001-S06","CF 2360 UPDATE SHIP  ","SHOCK     ","SHIP              ","   ","100503","751327","7","1500","1","0","1","1500","06/30/2018","8","         ","            ","             ","CF 2360-S1"
"475","086","086-01-00001-S07","CF 2382 UPDATE SHIP  ","SHOCK     ","SHIP              ","   ","100503","751327","8","675","1","0","1","675","06/30/2018","8","         ","            ","             ","CF 2382-S1"
"475","086","086-01-00001-S08","CF 2415 UPDATE SHIP  ","SHOCK     ","SHIP              ","   ","100503","751327","9","2025","1","0","1","2025","06/30/2018","8","         ","            ","             ","CF 2415-S1"
"475","086","086-01-00001-S09","CF 2427 UPDATE SHIP  ","SHOCK     ","SHIP              ","   ","100503","751327","10","675","1","0","1","675","06/30/2018","8","         ","            ","             ","CF 2427-S1"
"475","086","086-01-00001-S10","CF 2507 UPDATE SHIP  ","SHOCK     ","SHIP              ","   ","100503","751327","11","1500","1","0","1","1500","06/30/2018","8","         ","            ","             ","CF 2507-S1"
"475","092","092-99-NDT00","NDT VENDOR SERVICE   ","          ","                  ","   ","100847","553281","8","1","5000","897.75","4102.25","4102.25","10/31/2017","8","         ","            ","             ",""
