"Proj","SWBS","Item","Description","Noun 1","Noun 2","NRE","Vendor","PO","Line","Unit Price","Order Qty","Delivered Qty","Pending Qty","Pending Amnt","Delv.date","Payment Terms","Ledger Account","CLIN","Effort","","","","","","","","",""
"471","2","    HPR-08631-01","HVAC ADDITIONAL COMP ","HVAC      ","COMPONENTS        ","   ","103406","510016","1","1155","1","0","1","1155","04/27/2016","8","         ","            ","","","","","","","","","",""
"471","2","  HPR-0000228-01","VALVE, CHILL WATER C ","VALVE     ","CONTROL           ","   ","103406","510016","3","273.07","1","0","1","273.07","09/10/2016","8","         ","            ","","","","","","","","","",""
"471","2","  HPR-0000230-01","VANEAXIAL AND TUBEAX ","FAN       ","VANEAXIAL         ","   ","103406","510016","4","144.29","1","0","1","144.29","09/10/2016","8","         ","            ","","","","","","","","","",""
"471","2","  HPR-0000488-01","CONTROLLER, HEATER,  ","CONTROLLER","HEATER            ","   ","103406","510016","5","3985","1","0","1","3985","09/23/2016","8","         ","            ","","","","","","","","","",""
"471","2","  HPR-0000488-02","UNIT HEATERS         ","HEATER    ","UNIT              ","   ","103406","510016","8","265.54","1","0","1","265.54","01/08/2017","8","         ","            ","","","","","","","","","",""
"471","2","  HPR-0000488-03","UNIT HEATERS         ","HEATER    ","UNIT              ","   ","103406","510016","9","393.93","1","0","1","393.93","01/08/2017","8","         ","            ","","","","","","","","","",""
"471","2","    HPR-09894-01","ELECTRICAL CABLE ASS ","ASSEMBLY  ","CABLE             ","   ","103406","510016","10","550","1","0","1","550","03/31/2017","8","         ","            ","","","","","","","","","",""
"471","2","  HPR-0001155-01","FIRST AID BOX, SHALL ","FIRST AID ","                  ","   ","1","510026","6","0","1","0","1","0","12/22/2016","100","         ","            ","","","","","","","","","",""
"471","2","  HPR-0001405-01","PIPE GUARD           ","PIPE      ","GUARD             ","   ","104597","510148","2","0","1","0","1","0","03/31/2017","8","         ","            ","","","","","","","","","",""
"471","2","  HPR-0000754-01","EXTERNAL CORNER PROF ","CORNER PRO","EXTERNAL          ","   ","104597","510148","3","47","1","0","1","47","03/31/2017","8","         ","            ","","","","","","","","","",""
"471","2","  HPR-0002037-01","VALVE, VENT, WATERTI ","VALVE     ","VENTILATION       ","   ","107544","510163","11","1687","1","0","1","1687","09/25/2017","8","         ","            ","","","","","","","","","",""
"471","2","  HPR-0002037-02","VALVE, VENTILATION,  ","VALVE     ","VENTILATION       ","   ","107544","510163","12","1687","1","0","1","1687","09/25/2017","8","         ","            ","","","","","","","","","",""
"471","2","  HPR-0001631-01","UNIT HEATERS         ","HEATER    ","UNIT              ","   ","3400","510187","4","1909","1","0","1","1909","07/17/2017","8","         ","            ","","","","","","","","","",""
"471","2","  HPR-0001631-02","UNIT HEATERS         ","HEATER    ","UNIT              ","   ","3400","510187","5","1909","1","0","1","1909","07/17/2017","8","         ","            ","","","","","","","","","",""
"471","2","    HPR-06229-01","PIPE 8"" IPS, SCH 10S ","PIPE      ","SCHEDULE 10S      ","   ","104261","522317","1","89.45","20","19","1","89.45","03/06/2015","8","         ","            ","","","","","","","","","",""
"471","2","    HPR-04137-01","MATERIAL LABOR SUPPL ","SUPPLY    ","MATERIAL          ","   ","104597","531121","1","0","1","0","1","0","04/01/2016","8","         ","            ","","","","","","","","","",""
"471","2","    HPR-09758-01","MXL FIRE ALARM CONT  ","PANEL     ","CONTROL           ","   ","101139","567084","1","0","1","0","1","0","06/14/2016","8","         ","            ","","","","","","","","","",""
"471","2","  HPR-0001831-01","4"" X 4"" OFFSET CENTE ","BENCHMARK ","COVER             ","   ","105094","583581","1","667","1","0","1","667","06/24/2017","8","         ","            ","","","","","","","","","",""
"471","2","    HPR-08321-01","WINDLASS/CAPSTAN, AN ","ANCHOR    ","WINDLASS          ","   ","104915","621418","6","3148","1","0","1","3148","10/17/2015","8","         ","            ","","","","","","","","","",""
"471","2","  HPR-0001380-01","UNIT, NAVIGATIONAL,  ","UNIT      ","NAVIGATION        ","   ","104945","639355","11","0","1","0","1","0","03/02/2017","8","         ","            ","","","","","","","","","",""
"471","2","  HPR-0001380-02","UNIT, NAVIGATIONAL,  ","UNIT      ","NAVIGATION        ","   ","104945","639355","12","0","1","0","1","0","03/02/2017","8","         ","            ","","","","","","","","","",""
"471","2","  HPR-0000809-01","TSCE ENCLOSURE-3     ","ENCLOSURE ","EQUIPMENT         ","   ","104945","639398","28","0","1","0","1","0","12/16/2016","8","         ","            ","","","","","","","","","",""
"471","2","  HPR-0000809-02","TSCE ENCLOSURE-7     ","ENCLOSURE ","EQUIPMENT         ","   ","104945","639398","29","0","1","0","1","0","12/16/2016","8","         ","            ","","","","","","","","","",""
"471","2","  HPR-0001652-01","POWER SUPPLY, UNINTE ","POWER SUPP","UPS               ","   ","104945","639405","64","0","1","0","1","0","04/17/2017","8","         ","            ","","","","","","","","","",""
"471","2","  HPR-0001707-01","ENCLOSURE, NDS2 07-3 ","ENCLOSURE ","                  ","   ","104945","639405","65","0","1","0","1","0","05/14/2017","8","         ","            ","","","","","","","","","",""
"471","2","  HPR-0002065-01","REPEATER, DTR 600, S ","REPEATER  ","                  ","   ","104945","639410","77","0","1","0","1","0","07/17/2017","8","         ","            ","","","","","","","","","",""
"471","2","  HPR-0000888-01","EXCOMM ENCLOSURE-6,  ","ENCLOSURE ","EXCOMM            ","   ","104945","639414","215","0","1","0","1","0","11/13/2016","8","         ","            ","","","","","","","","","",""
"471","2","  HPR-0001856-01","EXCOMM ENCLOSURE-3,  ","ENCLOSURE ","EXCOMM            ","   ","104945","639414","220","0","1","0","1","0","06/15/2017","8","         ","            ","","","","","","","","","",""
"471","2","  HPR-0000292-01","ANTENNA, PRF/IFF, EA ","ANTENNA   ","                  ","   ","104945","639419","263","0","1","0","1","0","11/27/2016","8","         ","            ","","","","","","","","","",""
"471","2","  HPR-0000292-02","ANTENNA, PRF/IFF, EA ","ANTENNA   ","                  ","   ","104945","639419","264","0","1","0","1","0","11/27/2016","8","         ","            ","","","","","","","","","",""
"471","2","  HPR-0000292-03","ANTENNA, PRF/IFF, EA ","ANTENNA   ","                  ","   ","104945","639419","265","0","1","0","1","0","11/27/2016","8","         ","            ","","","","","","","","","",""
"471","2","  HPR-0000924-01","CABINET 2, SIGNAL AN ","CABINET   ","PROCESSOR         ","   ","104945","639419","266","0","1","0","1","0","11/30/2016","8","         ","            ","","","","","","","","","",""
