V51	postgres	FutureEtc			
n	n	n	d	n	n
ElemID	PeriodID	UnitID	EndDate	Bcws	Etc
62	12	16	2017-09-30	309550	209437
63	12	16	2017-09-30	10603	4175
64	12	16	2017-09-30	169763	51486
68	12	16	2017-09-30	5148	3311
69	12	16	2017-09-30	784	784
70	12	16	2017-09-30	22927	10210
73	12	16	2017-09-30	3805	6778
75	12	16	2017-09-30	47865	15162
77	12	16	2017-09-30	1523	4453
78	12	16	2017-09-30	39313	14647
80	12	16	2017-09-30	2707	4675
88	12	16	2017-09-30	38449	20547
91	12	16	2017-09-30	579	579
92	12	16	2017-09-30	4628	2409
93	12	16	2017-09-30	15697	6546
97	12	16	2017-09-30	1782	847
99	12	16	2017-09-30	7500	0
101	12	16	2017-09-30	3061	2327
106	12	16	2017-09-30	2438	2438
107	12	16	2017-09-30	39281	19998
108	12	16	2017-09-30	133804	73449
109	12	16	2017-09-30	9036	0
