V51	postgres	EarnedValue										
n	n	n	n	n	n	n	n	n	n	n	n	n
ElemID	PeriodID	UnitID	BcwsCum	BcwpCum	AcwpCum	Bac	Lre	BcwsAdj	BcwpAdj	AcwpAdj	ReprogCost	ReprogBudg
62	12	18	0	0	0	14930	15108	0	0	0	0	0
68	12	18	6736	6736	0	7581	844	0	0	0	0	0
69	12	18	32001	32001	0	32587	586	0	0	0	0	0
70	12	18	0	0	0	17134	7630	0	0	0	0	0
73	12	18	4368	4368	0	7212	5066	0	0	0	0	0
75	12	18	0	0	0	35771	11331	0	0	0	0	0
77	12	18	6813	6813	0	7951	3328	0	0	0	0	0
78	12	18	0	0	0	29380	10946	0	0	0	0	0
80	12	18	5885	5885	0	7908	3494	0	0	0	0	0
88	12	18	0	0	0	28734	15355	0	0	0	0	0
92	12	18	5618	5618	0	9076	1800	0	0	0	0	0
93	12	18	0	0	0	10043	4027	0	0	0	0	0
97	12	18	979	979	0	2311	633	0	0	0	0	0
99	12	18	0	0	0	5605	0	0	0	0	0	0
106	12	18	29880	29880	0	31702	1822	0	0	0	0	0
108	12	18	0	0	0	6554	4076	0	0	0	0	0
5	12	17	37738	37738	0	39119	1381	0	0	0	0	0
6	12	17	35057	35057	0	40679	5622	0	0	0	0	0
7	12	17	0	0	0	35600	14858	0	0	0	0	0
11	12	17	38939	38939	0	40685	1746	0	0	0	0	0
17	12	17	16239	16239	0	17112	873	0	0	0	0	0
19	12	17	0	0	0	2205	1976	0	0	0	0	0
23	12	17	58003	58003	0	62910	4907	0	0	0	0	0
26	12	17	0	0	0	22210	10976	0	0	0	0	0
28	12	17	51405	51405	0	57718	6313	0	0	0	0	0
30	12	17	0	0	0	34913	13956	0	0	0	0	0
32	12	17	9791	9791	0	9914	123	0	0	0	0	0
33	12	17	3331	3331	0	7027	3696	0	0	0	0	0
35	12	17	0	0	0	527	276	0	0	0	0	0
36	12	17	0	0	0	4052	827	0	0	0	0	0
38	12	17	40072	40072	0	41373	1302	0	0	0	0	0
41	12	17	0	0	0	4110	2911	0	0	0	0	0
45	12	17	19601	19601	0	21882	2281	0	0	0	0	0
47	12	17	0	0	0	10128	5161	0	0	0	0	0
51	12	17	14012	14012	0	16292	2281	0	0	0	0	0
55	12	17	0	0	0	10323	5161	0	0	0	0	0
58	12	17	107540	107540	0	114644	7104	0	0	0	0	0
62	12	17	0	0	0	15703	15890	0	0	0	0	0
68	12	17	7085	7085	0	7973	888	0	0	0	0	0
69	12	17	33658	33658	0	34274	616	0	0	0	0	0
70	12	17	0	0	0	18022	8025	0	0	0	0	0
73	12	17	4594	4594	0	7585	5328	0	0	0	0	0
75	12	17	0	0	0	37623	11918	0	0	0	0	0
77	12	17	7166	7166	0	8363	3500	0	0	0	0	0
78	12	17	0	0	0	30901	11513	0	0	0	0	0
80	12	17	6189	6189	0	8317	3675	0	0	0	0	0
88	12	17	0	0	0	30221	16150	0	0	0	0	0
92	12	17	5909	5909	0	9546	1893	0	0	0	0	0
93	12	17	0	0	0	10563	4235	0	0	0	0	0
97	12	17	1030	1030	0	2431	665	0	0	0	0	0
99	12	17	0	0	0	5895	0	0	0	0	0	0
106	12	17	31427	31427	0	33344	1917	0	0	0	0	0
108	12	17	0	0	0	6893	4287	0	0	0	0	0
5	12	16	64303	64303	65888	67173	68758	0	0	0	0	0
6	12	16	89411	89411	73589	101340	85517	0	0	0	0	0
7	12	16	0	0	235	68875	28675	0	0	0	0	0
11	12	16	49539	49539	57102	51760	59323	0	0	0	0	0
12	12	16	8822	8822	0	8822	0	0	0	0	0	0
13	12	16	1059	1059	0	1059	0	0	0	0	0	0
16	12	16	6885	6885	5825	44177	21131	0	0	0	0	0
17	12	16	20660	20660	23425	21770	24535	0	0	0	0	0
18	12	16	1946	1946	0	1946	0	0	0	0	0	0
19	12	16	0	0	0	2806	2513	0	0	0	0	0
23	12	16	73793	73793	94151	80035	100394	0	0	0	0	0
25	12	16	24869	24869	0	24869	0	0	0	0	0	0
26	12	16	0	0	0	28256	13964	0	0	0	0	0
28	12	16	65399	65399	85004	73431	93036	0	0	0	0	0
29	12	16	27344	27344	0	27344	0	0	0	0	0	0
30	12	16	0	0	0	44418	17755	0	0	0	0	0
32	12	16	12457	12457	10605	12613	10762	0	0	0	0	0
33	12	16	4238	4238	3831	8940	8533	0	0	0	0	0
35	12	16	0	0	0	670	351	0	0	0	0	0
36	12	16	0	0	0	5156	1052	0	0	0	0	0
38	12	16	50981	50981	48428	52636	50084	0	0	0	0	0
41	12	16	0	0	0	46974	24576	0	0	0	0	0
42	12	16	92391	92391	92595	106445	103866	0	0	0	0	0
45	12	16	24937	24937	23535	27839	26437	0	0	0	0	0
47	12	16	0	0	0	96375	49007	0	0	0	0	0
48	12	16	89446	89446	85266	134530	128402	0	0	0	0	0
51	12	16	17826	17826	17725	20728	20626	0	0	0	0	0
52	12	16	29898	29898	28872	141218	74792	0	0	0	0	0
55	12	16	0	0	0	13133	6566	0	0	0	0	0
58	12	16	161395	161395	151754	178080	164567	0	0	0	0	0
62	12	16	0	0	0	309550	209437	0	0	0	0	0
63	12	16	570	570	645	11173	4820	0	0	0	0	0
64	12	16	21804	21804	22234	191567	73719	0	0	0	0	0
68	12	16	29704	29704	30153	34851	33464	0	0	0	0	0
69	12	16	44830	44830	46264	45613	47047	0	0	0	0	0
70	12	16	0	0	0	22927	10210	0	0	0	0	0
73	12	16	5845	5845	5695	9650	12473	0	0	0	0	0
75	12	16	0	0	0	47865	15162	0	0	0	0	0
77	12	16	9117	9117	9012	10640	13465	0	0	0	0	0
78	12	16	0	0	0	39313	14647	0	0	0	0	0
80	12	16	7874	7874	8270	10581	12945	0	0	0	0	0
88	12	16	0	0	0	38449	20547	0	0	0	0	0
91	12	16	1182	1182	1428	1761	2007	0	0	0	0	0
92	12	16	7517	7517	6882	12145	9291	0	0	0	0	0
93	12	16	0	0	0	15697	6546	0	0	0	0	0
97	12	16	1311	1311	1809	3093	2656	0	0	0	0	0
99	12	16	0	0	0	7500	0	0	0	0	0	0
101	12	16	14898	14898	15126	17960	17453	0	0	0	0	0
106	12	16	40215	40215	37265	42653	39703	0	0	0	0	0
107	12	16	13970	13970	12862	53251	32860	0	0	0	0	0
108	12	16	0	0	3520	133804	76970	0	0	0	0	0
109	12	16	4240	4240	0	13275	0	0	0	0	0	0
114	12	1	0	0	0	1306729	0	0	0	0	0	0
113	12	1	0	0	0	0	0	0	0	0	0	0
