"Project","Part Number","ETC","WP"
"469",""," $ 11,376 ","MATL-304-001"
"469",""," $ 100,038 ","MATL-072-NRE"
"469","089-600-01-00001"," $ 12,812 ","MATL-089-014"
"469","202-01-00056"," $ 1,099 ","MATL-202-999"
"469",""," $ 2,500 ","MATL-507-999"
"469","HPR-0000204-01","0","MATL-002-999"
"469","HPR-0000217-01","0","MATL-002-999"
"469","HPR-0000290-01","0","MATL-002-999"
"469","HPR-0000371-01","0","MATL-002-999"
"469","HPR-0000420-01","0","MATL-002-999"
"469","HPR-0000430-01","0","MATL-002-999"
"469","HPR-0000434-01","0","MATL-002-999"
"469","HPR-0000437-01","0","MATL-002-999"
"469","HPR-0000437-02","0","MATL-002-999"
"469","HPR-0000445-01","0","MATL-002-999"
"469","HPR-0000445-02","0","MATL-002-999"
"469","HPR-0000447-01","0","MATL-002-999"
"469","HPR-0000686-01","0","MATL-002-999"
"469","HPR-0000688-01","0","MATL-002-999"
"469","HPR-0000791-01","0","MATL-002-999"
"469","HPR-0000818-01","0","MATL-002-999"
"469","HPR-0000909-01","0","MATL-002-999"
"469","HPR-0000931-04","0","MATL-002-999"
"469","HPR-0000947-01","0","MATL-002-999"
"469","HPR-0000969-01","0","MATL-002-999"
"469","HPR-0001024-01","0","MATL-002-999"
"469","HPR-0001062-01","0","MATL-002-999"
"469","HPR-0001068-01","0","MATL-002-999"
"469","HPR-0001077-01","0","MATL-002-999"
"469","HPR-0001128-01","0","MATL-002-999"
"469","HPR-0001158-01","0","MATL-002-999"
"469","HPR-0001173-01","0","MATL-002-999"
"469","HPR-0001174-01","0","MATL-002-999"
"469","HPR-0001178-01","0","MATL-002-999"
"469","HPR-0001208-01","0","MATL-002-999"
"469","HPR-0001212-02","0","MATL-002-999"
"469","HPR-0001277-01","0","MATL-002-999"
"469","HPR-0001379-01","0","MATL-002-999"
"469","HPR-0001402-01","0","MATL-002-999"
"469","HPR-0001414-01","0","MATL-002-999"
"469","HPR-0001427-01","0","MATL-002-999"
"469","HPR-0001555-01","0","MATL-002-999"
"469","HPR-0001909-01","0","MATL-002-999"
"469","HPR-0002073-01","0","MATL-002-999"
"469","HPR-0002136-01","0","MATL-002-999"
"469","HPR-0002156-01","0","MATL-002-999"
"469","HPR-000398-01","0","MATL-002-999"
"469","HPR-02965-25","0","MATL-002-999"
"469","HPR-02965-26","0","MATL-002-999"
"469","HPR-02965-27","0","MATL-002-999"
"469","HPR-02965-28","0","MATL-002-999"
"469","HPR-02965-29","0","MATL-002-999"
"469","HPR-02965-30","0","MATL-002-999"
"469","HPR-02965-31","0","MATL-002-999"
"469","HPR-04136-01","0","MATL-002-999"
"469","HPR-04288-01","0","MATL-002-999"
"469","HPR-05567-01","0","MATL-002-999"
"469","HPR-05567-02","0","MATL-002-999"
"469","HPR-05567-03","0","MATL-002-999"
"469","HPR-05874-08","0","MATL-002-999"
"469","HPR-06547-01","0","MATL-002-999"
"469","HPR-08025-01","0","MATL-002-999"
"469","HPR-08125-03","0","MATL-002-999"
"469","HPR-08196-01","0","MATL-002-999"
"469","HPR-08196-02","0","MATL-002-999"
"469","HPR-08202-01","0","MATL-002-999"
"469","HPR-08320-01","0","MATL-002-999"
"469","HPR-08535-01","0","MATL-002-999"
"469","HPR-08614-01","0","MATL-002-999"
"469","HPR-08622-01","0","MATL-002-999"
"469","HPR-08722-01","0","MATL-002-999"
"469","HPR-08744-01","0","MATL-002-999"
"469","HPR-08746-01","0","MATL-002-999"
"469","HPR-08756-03","0","MATL-002-999"
"469","HPR-08980-01","0","MATL-002-999"
"469","HPR-09020-01","0","MATL-002-999"
"469","HPR-09071-01","0","MATL-002-999"
"469","HPR-09071-02","0","MATL-002-999"
"469","HPR-09241-01","0","MATL-002-999"
"469","HPR-09273-01","0","MATL-002-999"
"469","HPR-09509-01","0","MATL-002-999"
"469","HPR-09522-01","0","MATL-002-999"
"469","HPR-09544-01","0","MATL-002-999"
"469","HPR-09552-01","0","MATL-002-999"
"469","HPR-09620-01","0","MATL-002-999"
"469","HPR-09736-01","0","MATL-002-999"
"469","HPR-09949-01","0","MATL-002-999"
"469","HPR-09955-02","0","MATL-002-999"
"469","HPR-10002-01","0","MATL-002-999"
"469","HPR-10004-01","0","MATL-002-999"
"469","HPR-10017-01","0","MATL-002-999"
"469","042-01-00003","0","MATL-042-999"
"469","086-01-00001-S00","0","MATL-086-001"
"469","086-01-00001-S01","0","MATL-086-001"
"469","086-01-00001-S02","0","MATL-086-001"
"469","086-01-00001-S03","0","MATL-086-001"
"469","086-01-00001-S04","0","MATL-086-001"
"469","086-01-00001-S05","0","MATL-086-001"
"469","086-01-00001-S06","0","MATL-086-001"
"469","086-01-00001-S07","0","MATL-086-001"
"469","086-01-00001-S08","0","MATL-086-001"
"469","086-01-00001-S09","0","MATL-086-001"
"469","086-01-00001-S10","0","MATL-086-001"
"469","110-00-0S010","0","MATL-110-999"
"469","110-00-MS106","0","MATL-110-999"
"469","110-00-MS204","0","MATL-110-999"
"469","12-22E0217520","0","MATL-110-999"
"469","15-16S0601220","0","MATL-110-999"
"469","16-16W0701140","0","MATL-110-999"
"469","D1SD2-00-E01","0","MATL-110-999"
"469","D2SD1-00-D01","0","MATL-110-999"
"469","D2SD1-00-D02","0","MATL-110-999"
"469","D2SD1-00-D08","0","MATL-110-999"
"469","D2SD1-00-D09","0","MATL-110-999"
"469","D2SD1-00-D12","0","MATL-110-999"
"469","D2SD1-00-D13","0","MATL-110-999"
"469","D2SD1-00-D14","0","MATL-110-999"
"469","D2SD1-00-D15","0","MATL-110-999"
"469","D2SD1-00-D18","0","MATL-110-999"
"469","D2SD1-00-D19","0","MATL-110-999"
"469","D2SD1-00-D20","0","MATL-110-999"
"469","D2SD1-00-D21","0","MATL-110-999"
"469","D2SD1-00-E03","0","MATL-110-999"
"469","D2SD1-00-E04","0","MATL-110-999"
"469","D2SD2-00-D11","0","MATL-110-999"
"469","D2SD2-00-D16","0","MATL-110-999"
"469","D2SD2-00-D17","0","MATL-110-999"
"469","D2SD2-00-D31","0","MATL-110-999"
"469","D2SD2-00-D32","0","MATL-110-999"
"469","D2SD2-00-D33","0","MATL-110-999"
"469","D2SD2-00-D34","0","MATL-110-999"
"469","D2SD2-00-D35","0","MATL-110-999"
"469","D2SD2-00-E01","0","MATL-110-999"
"469","D2SD2-00-E02","0","MATL-110-999"
"469","D2SD2-00-E03","0","MATL-110-999"
"469","D2SD2-00-E04","0","MATL-110-999"
"469","D3SD1-00-D03","0","MATL-110-999"
"469","D3SD1-00-D04","0","MATL-110-999"
"469","D3SD1-00-D05","0","MATL-110-999"
"469","D3SD1-00-D06","0","MATL-110-999"
"469","D3SD1-00-D08","0","MATL-110-999"
"469","D3SD1-00-D09","0","MATL-110-999"
"469","D3SD1-00-D10","0","MATL-110-999"
"469","D3SD1-00-D11","0","MATL-110-999"
"469","D3SD1-00-D12","0","MATL-110-999"
"469","D3SD1-00-D13","0","MATL-110-999"
"469","D3SD1-00-D14","0","MATL-110-999"
"469","D3SD1-00-D15","0","MATL-110-999"
"469","D3SD1-00-D16","0","MATL-110-999"
"469","D3SD1-00-D17","0","MATL-110-999"
"469","D3SD1-00-D18","0","MATL-110-999"
"469","D3SD1-00-D19","0","MATL-110-999"
"469","D3SD1-00-D20","0","MATL-110-999"
"469","D3SD1-00-D21","0","MATL-110-999"
"469","D3SD1-00-D22","0","MATL-110-999"
"469","D3SD1-00-D23","0","MATL-110-999"
"469","D3SD1-00-D24","0","MATL-110-999"
"469","D3SD1-00-D26","0","MATL-110-999"
"469","D3SD1-00-D27","0","MATL-110-999"
"469","D3SD1-00-D28","0","MATL-110-999"
"469","D3SS1-00-D01","0","MATL-110-999"
"469","D3SS1-00-D02","0","MATL-110-999"
"469","D3SS1-00-D04","0","MATL-110-999"
"469","D3SS1-00-D07","0","MATL-110-999"
"469","D3SS1-00-D08","0","MATL-110-999"
"469","D3SS1-00-D11","0","MATL-110-999"
"469","D3SS1-00-D12","0","MATL-110-999"
"469","D3SS1-00-D13","0","MATL-110-999"
"469","D3SS1-00-D14","0","MATL-110-999"
"469","D3SS1-00-D15","0","MATL-110-999"
"469","D3SS1-00-D16","0","MATL-110-999"
"469","D3SS1-00-D17","0","MATL-110-999"
"469","D3SS1-00-D18","0","MATL-110-999"
"469","D3SS2-00-D01","0","MATL-110-999"
"469","D3SS2-00-D03","0","MATL-110-999"
"469","D3SS2-00-D04","0","MATL-110-999"
"469","D3SS2-00-D10","0","MATL-110-999"
"469","D4SS1-00-D05","0","MATL-110-999"
"469","E2U00-03-000-237","0","MATL-110-999"
"469","E2U00-03-000-238","0","MATL-110-999"
"469","F2U00-02-000-171","0","MATL-110-999"
"469","127-01-51401-L11","0","MATL-127-999"
"469","127-01-51401-L26","0","MATL-127-999"
"469","127-01-51401-L68","0","MATL-127-999"
"469","150-00-VS003","0","MATL-150-008"
"469","150-00-VS005","0","MATL-150-008"
"469","150-DC-00002","0","MATL-150-999"
"469","161-02-SEG0A-L11","0","MATL-161-001"
"469","161-02-SEG0A-L26","0","MATL-161-001"
"469","161-02-SEG0A-L47","0","MATL-161-001"
"469","161-02-SEG0A-L51","0","MATL-161-001"
"469","161-02-SEG0B-L11","0","MATL-161-002"
"469","161-02-SEG0B-L26","0","MATL-161-002"
"469","161-02-SEG0B-L47","0","MATL-161-002"
"469","161-02-SEG0B-L51","0","MATL-161-002"
"469","161-02-SEG0C-L11","0","MATL-161-003"
"469","161-02-SEG0C-L26","0","MATL-161-003"
"469","161-02-SEG0C-L47","0","MATL-161-003"
"469","161-02-SEG0C-L51","0","MATL-161-003"
"469","161-02-SEG0C-L68","0","MATL-161-003"
"469","161-02-SEG0D-L11","0","MATL-161-004"
"469","161-02-SEG0D-L26","0","MATL-161-004"
"469","161-02-SEG0D-L47","0","MATL-161-004"
"469","161-02-SEG0D-L51","0","MATL-161-004"
"469","161-02-SEG0D-L68","0","MATL-161-004"
"469","161-10-0001A-L11","0","MATL-161-007"
"469","161-10-0001A-L26","0","MATL-161-007"
"469","161-10-0001A-L47","0","MATL-161-007"
"469","161-10-0001B-L11","0","MATL-161-008"
"469","161-10-0001B-L26","0","MATL-161-008"
"469","161-10-0001B-L47","0","MATL-161-008"
"469","161-10-0001C-L11","0","MATL-161-009"
"469","161-10-0001C-L26","0","MATL-161-009"
"469","161-10-0001C-L47","0","MATL-161-009"
"469","161-10-0002A-L11","0","MATL-161-010"
"469","161-10-0002A-L26","0","MATL-161-010"
"469","161-10-0002A-L47","0","MATL-161-010"
"469","161-10-0002B-L11","0","MATL-161-011"
"469","161-10-0002B-L26","0","MATL-161-011"
"469","161-10-0002B-L47","0","MATL-161-011"
"469","161-10-0002C-L11","0","MATL-161-012"
"469","161-10-0002C-L26","0","MATL-161-012"
"469","161-10-0002C-L47","0","MATL-161-012"
"469","161-10-0003A-L11","0","MATL-161-013"
"469","161-10-0003A-L26","0","MATL-161-013"
"469","161-10-0003A-L47","0","MATL-161-013"
"469","161-10-0003B-L11","0","MATL-161-014"
"469","161-10-0003B-L26","0","MATL-161-014"
"469","161-10-0003B-L47","0","MATL-161-014"
