"Proj","SWBS","Item","Description","Noun 1","Noun 2","NRE","Vendor","PO","Line","Unit Price","Order Qty","Delivered Qty","Pending Qty","Pending Amnt","Delv.date","Payment Terms","Ledger Account","CLIN","Effort","","","","","","","","",""
"467","2","    HPR-08218-04","COLLAR               ","COLLAR    ","                  ","   ","104945","652158","219","0","2","0","2","0","10/11/2015","8","         ","            ","","","","","","","","","",""
"467","2","    HPR-09703-02","PIPE SUPPORT ASSY    ","PIPE      ","SUPPORT           ","   ","104945","652158","226","0","1","0","1","0","10/09/2016","8","         ","            ","","","","","","","","","",""
"467","2","    HPR-06803-01","GEAR UNIT BUSL 261 P ","UNIT      ","GEAR              ","   ","104945","652180","121","0","2","0","2","0","06/11/2015","8","         ","            ","","","","","","","","","",""
"467","2","    HPR-06803-02","GEAR UNIT BUSL 261 P ","UNIT      ","GEAR              ","   ","104945","652180","122","0","2","0","2","0","06/11/2015","8","         ","            ","","","","","","","","","",""
"467","2","    HPR-06803-03","GEAR UNIT BUSL 261 P ","UNIT      ","GEAR              ","   ","104945","652180","123","0","2","0","2","0","06/11/2015","8","         ","            ","","","","","","","","","",""
"467","2","    HPR-06803-04","GEAR UNIT BUSL 261 P ","UNIT      ","GEAR              ","   ","104945","652180","124","0","2","0","2","0","07/24/2015","8","         ","            ","","","","","","","","","",""
"467","2","    HPR-06803-05","GEAR UNIT BUSL 261 P ","UNIT      ","GEAR              ","   ","104945","652180","125","0","2","0","2","0","07/24/2015","8","         ","            ","","","","","","","","","",""
"467","2","    HPR-08024-01","GEAR UNIT BUSL 261 P ","UNIT      ","GEAR              ","   ","104945","652180","126","0","3","0","3","0","08/24/2015","8","         ","            ","","","","","","","","","",""
"467","2","    HPR-08024-02","GEAR UNIT BUSL 261 S ","UNIT      ","GEAR              ","   ","104945","652180","127","0","3","0","3","0","08/24/2015","8","         ","            ","","","","","","","","","",""
"467","2","    HPR-08024-03","GEAR UNIT ASL 2-160  ","UNIT      ","GEAR              ","   ","104945","652180","128","0","1","0","1","0","08/24/2015","8","         ","            ","","","","","","","","","",""
"467","2","    HPR-09001-01","GEAR UNIT ASL 2-160  ","UNIT      ","GEAR              ","   ","104945","652180","130","0","2","0","2","0","01/21/2016","8","         ","            ","","","","","","","","","",""
"467","2","    HPR-08979-01","COMPLETE STERNTUBE S ","ASSEMBLY  ","SEAL              ","   ","104945","652181","118","0","7","1","6","0","01/17/2016","8","         ","            ","","","","","","","","","",""
"467","2","    HPR-07281-01","DRIVE SHAFT W/COMPON ","SHAFT     ","DRIVE             ","   ","106332","652366","189","0","2","1","1","0","10/01/2015","2","         ","            ","","","","","","","","","",""
"467","2","    HPR-09541-01","ASSEMBLY, BEAM, FWD  ","ASSEMBLY  ","BEAM              ","   ","106332","652366","193","0","2","0","2","0","05/20/2016","2","         ","            ","","","","","","","","","",""
"467","2","    HPR-09541-02","ASSEMBLY, BEAM, FWD  ","ASSEMBLY  ","BEAM              ","   ","106332","652366","194","0","2","0","2","0","05/20/2016","2","         ","            ","","","","","","","","","",""
"467","2","    HPR-09541-03","ASSEMBLY, BEAM, FWD  ","ASSEMBLY  ","BEAM              ","   ","106332","652366","195","0","1","0","1","0","05/20/2016","2","         ","            ","","","","","","","","","",""
"467","2","    HPR-08951-01","EMCOR RACK, W/SIDE & ","RACK      ","                  ","   ","101139","652547","1","482","1","0","1","482","05/12/2016","8","         ","            ","","","","","","","","","",""
"467","2","    HPR-08377-01","UNIT, CONTROL, AFD P ","UNIT      ","CONTROL           ","   ","104359","652597","1","0","1","0","1","0","07/02/2016","8","         ","            ","","","","","","","","","",""
"467","2","    HPR-09992-01","OVHD, FLUOR.LT.FIXTU ","FIXTURE   ","LIGHT             ","   ","5884","652682","1","0","110","0","110","0","09/28/2016","8","         ","            ","","","","","","","","","",""
"467","2","    HPR-09935-01","PRESSURE SWITCH, DUA ","SWITCH, PR","DUAL STAGE        ","   ","101628","652931","1","484.2","2","0","2","968.4","02/03/2017","8","         ","            ","","","","","","","","","",""
"467","2","   HPR-000543-01","KIT, PIPE SPOOLS MOD ","L3G20-5280","                  ","   ","106531","687301","1","0","1","0","1","0","11/15/2012","8","         ","            ","","","","","","","","","",""
"467","2","   HPR-000543-02","KIT, PIPE SPOOLS MOD ","L3G20-5280","                  ","   ","106531","687301","2","0","1","0","1","0","11/15/2012","8","         ","            ","","","","","","","","","",""
"467","2","   HPR-000543-03","KIT, PIPE SPOOLS MOD ","L3G40-5280","                  ","   ","106531","687301","3","0","1","0","1","0","11/15/2012","8","         ","            ","","","","","","","","","",""
"467","2","   HPR-000543-04","KIT, PIPE SPOOLS MOD ","L3G20-5280","                  ","   ","106531","687301","4","0","1","0","1","0","11/15/2012","8","         ","            ","","","","","","","","","",""
"467","2","   HPR-000543-05","KIT, PIPE SPOOLS MOD ","L3G40-5280","                  ","   ","106531","687301","5","0","1","0","1","0","11/15/2012","8","         ","            ","","","","","","","","","",""
"467","2","   HPR-000543-06","KIT, PIPE SPOOLS MOD ","L3G20-5280","                  ","   ","106531","687301","6","0","1","0","1","0","11/15/2012","8","         ","            ","","","","","","","","","",""
"467","2","   HPR-000543-07","KIT, PIPE SPOOLS, MO ","L3G50-5280","                  ","   ","106531","687301","7","0","1","0","1","0","11/15/2012","8","         ","            ","","","","","","","","","",""
"467","2","   HPR-000543-08","KIT, PIPE SPOOLS MOD ","L3G20-5330","                  ","   ","106531","687301","8","0","1","0","1","0","11/15/2012","8","         ","            ","","","","","","","","","",""
"467","2","   HPR-000543-09","KIT, PIPE SPOOLS MOD ","L3G20-5330","                  ","   ","106531","687301","9","0","1","0","1","0","11/15/2012","8","         ","            ","","","","","","","","","",""
"467","2","   HPR-000543-10","KIT, PIPE SPOOLS MOD ","L3G40-5330","                  ","   ","106531","687301","10","0","1","0","1","0","11/15/2012","8","         ","            ","","","","","","","","","",""
"467","2","   HPR-000543-11","KIT, PIPE SPOOLS MOD ","L3G20-5330","                  ","   ","106531","687301","11","0","1","0","1","0","11/15/2012","8","         ","            ","","","","","","","","","",""
"467","2","   HPR-000543-12","KIT, PIPE SPOOLS, MO ","L3G50-5280","                  ","   ","106531","687301","12","0","1","0","1","0","11/15/2012","8","         ","            ","","","","","","","","","",""
"467","2","   HPR-000543-13","KIT, PIPE SPOOLS, MO ","L3G50-5280","                  ","   ","106531","687301","13","0","1","0","1","0","11/15/2012","8","         ","            ","","","","","","","","","",""
"467","2","  HPR-0000173-02","BATTERY,NONRECHARGE  ","          ","                  ","   ","103230","737125","7","65.76","-2","0","-2","-131.52","02/14/2017","5","         ","            ","","","","","","","","","",""
"467","2","  HPR-0000173-02","BATTERY,NONRECHARGE  ","          ","                  ","   ","103230","737125","8","81.5","2","0","2","163","02/14/2017","5","         ","            ","","","","","","","","","",""
"467","2","    HPR-04151-01","COUPLING PGAV12LR    ","COUPLING  ","                  ","   ","104669","786179","8","0","1","0","1","0","10/24/2014","8","         ","            ","","","","","","","","","",""
"467","2","    HPR-04151-02","UNION - PGEV12LR-WD  ","UNION     ","                  ","   ","104669","786179","9","0","1","0","1","0","10/24/2014","8","         ","            ","","","","","","","","","",""
"467","2","    HPR-05854-01","MOTOR CONTROLLER     ","CONTROLLER","                  ","   ","104359","860253","4","0","1","0","1","0","02/20/2015","8","         ","            ","","","","","","","","","",""
"467","2","    HPR-05943-01","REFRIGERANT LEAK DET ","DETECTOR  ","LEAK              ","   ","105160","860265","1","0","1","0","1","0","04/01/2015","1","         ","            ","","","","","","","","","",""
"467","2","    HPR-05267-01","MOTOR CONTROLLER     ","CONTROLLER","                  ","   ","104359","860310","1","0","1","0","1","0","03/20/2015","8","         ","            ","","","","","","","","","",""
"467","2","    HPR-07274-01","CABINET, I/O 3A (2-8 ","CABINET   ","                  ","   ","104945","860390","3","0","-1","0","-1","0","10/01/2015","8","         ","            ","","","","","","","","","",""
"467","2","    HPR-07274-02","CABINET, I/O 4A (4-1 ","CABINET   ","                  ","   ","104945","860390","4","0","-1","0","-1","0","10/01/2015","8","         ","            ","","","","","","","","","",""
"467","2","    HPR-06303-01","MOTOR CONTROLLER     ","CONTROLLER","                  ","   ","104359","860588","1","0","1","0","1","0","12/31/2015","8","         ","            ","","","","","","","","","",""
