"Proj","SWBS","Item","Description","Noun 1","Noun 2","NRE","Vendor","PO","Line","Unit Price","Order Qty","Delivered Qty","Pending Qty","Pending Amnt","Delv.date","Payment Terms","Ledger Account","CLIN","Effort","","","","","","","","",""
"485","86","    086-01-00003","SHIP INFORMATION BOO ","BOOK      ","INFORMATION       ","   ","100503","751304","1","1","75296","0","75296","75296","08/10/2020","8","         ","            ","","","","","","","","","",""
"485","86","    086-01-00004","DAMAGE CONTROL BOOK  ","BOOK      ","CONTROL           ","   ","100503","751304","2","1","17775","0","17775","17775","08/10/2020","8","         ","            ","","","","","","","","","",""
"485","86","    086-01-00005","DAMAGE CONTROL DIAGR ","DIAGRAM   ","CONTROL           ","   ","100503","751304","3","1","43385","0","43385","43385","08/10/2020","8","         ","            ","","","","","","","","","",""
"485","86","    086-01-00006","BOAT HANDLING AND ST ","MANUAL    ","STORAGE           ","   ","100503","751304","4","1","4390","0","4390","4390","08/10/2020","8","         ","            ","","","","","","","","","",""
"485","86","    086-01-00010","OFFBOARD ORGANIC VEH ","SERVICE   ","SUPPORT           ","   ","100503","751304","5","1","19624","0","19624","19624","08/10/2020","8","         ","            ","","","","","","","","","",""
"485","86","    086-01-00011","UNDERWAY REPLENISHME ","UNDERWAY  ","REPLENISHMENT     ","   ","100503","751304","6","1","4390","0","4390","4390","08/10/2020","8","         ","            ","","","","","","","","","",""
"485","86","    086-01-00012","TECHNICAL REPAIR STA ","STANDARD  ","REPAIR            ","   ","100503","751304","7","1","21316","0","21316","21316","08/10/2020","8","         ","            ","","","","","","","","","",""
"485","86","    086-01-00013","POLLUTION ABATEMENT  ","MANUAL    ","POLLUTION         ","   ","100503","751304","8","1","4390","0","4390","4390","08/10/2020","8","         ","            ","","","","","","","","","",""
"485","86","    086-01-00015","MOTORS MANUALS       ","MANUALS   ","MOTOR             ","   ","100503","751304","9","1","4390","0","4390","4390","08/10/2020","8","         ","            ","","","","","","","","","",""
"485","86","    086-01-00016","MACHINE TOOLS AND SP ","TOOL      ","EQUIPMENT         ","   ","100503","751304","10","1","4390","0","4390","4390","08/10/2020","8","         ","            ","","","","","","","","","",""
"485","86","    086-01-00018","HVAC/COLLECTIVE PROT ","MANUAL    ","SYSTEM            ","   ","100503","751304","11","1","4390","0","4390","4390","08/10/2020","8","         ","            ","","","","","","","","","",""
"485","86","    086-01-00021","EQUIPMENT TECHNICAL  ","          ","                  ","   ","100503","751304","12","1","152637","0","152637","152637","08/10/2020","8","         ","            ","","","","","","","","","",""
"SWBS: ","86","086M - INSTRUCTION","BOOKS              ","          ","                  ","   ","      ","      ","    ","     Total","for SWBS      "," 086 :      356373.00","","","","","","","","","","","","","","","",""
"SWBS: ","150","150M - SUPERSTRUCTURES&DECKHSE","       ","          ","                  ","   ","      ","      ","    ","     Total","for SWBS      "," 150 :        ","0","","","","","","","","","","","","","","",""
"SWBS: ","180","180M - FOUNDATIONS","                   ","          ","                  ","   ","      ","      ","    ","     Total","for SWBS      "," 180 :        ","0","","","","","","","","","","","","","","",""
"SWBS: ","202","202M - MACH PLNT","CTRL&MON SYST        ","          ","                  ","   ","      ","      ","    ","     Total","for SWBS      "," 202 :        ","0","","","","","","","","","","","","","","",""
"485","234","    234-01-00002","FAN, GAS TURBINE MOD ","FAN       ","AIR               ","   ","103406","510129","1","0","1","0","1","0","03/03/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00002-P03","PROGRESS PAYMENT     ","PROGRESS P","                  ","   ","103406","510129","4","318000","1","0","1","318000","03/03/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00002-P04","PROGRESS PAYMENT     ","PROGRESS P","                  ","   ","103406","510129","5","95400","1","0","1","95400","03/03/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00002-801","FLEXIBLE CONNECTOR,  ","CONNECTOR ","FLEXIBLE          ","   ","103406","510129","6","0","4","0","4","0","03/03/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00002-803","VIBRATION SENSOR     ","SENSOR    ","VIBRATION         ","   ","103406","510129","7","0","4","0","4","0","03/03/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00002-804","FAN, PN 500899-81, 8 ","FAN       ","COOLING           ","   ","103406","510129","8","0","4","0","4","0","03/03/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00002-L26","CERTIFICATE, IDENTIC ","CERTIFICAT","IDENTICALITY      ","   ","103406","510129","9","0","1","0","1","0","03/03/2018","8","         ","            ","","","","","","","","","",""
"485","234","    234-01-00001","TURBINE, PROPULSION  ","TURBINE   ","GAS               ","   ","104945","970182","1","0","1","0","1","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","    234-01-000A1","SERVICES, ALIGNMENT, ","SERVICE   ","ALIGNMENT         ","   ","104945","970182","2","0","1","0","1","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","    234-01-000M1","VEND SVS TO MACH GAS ","VENDOR    ","SERVICE           ","   ","104945","970182","3","0","1","0","1","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","    234-01-000S1","SPACER, HSCS, MACHIN ","SERVICE   ","MACHINING         ","   ","104945","970182","4","0","2","0","2","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-800","FADC CONTROL CABINET ","CABINET   ","                  ","   ","104945","970182","7","0","1","0","1","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-801","GAS TURBINE PACKAGE, ","TURBINE   ","GAS               ","   ","104945","970182","8","0","1","0","1","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-802","GAS TURBINE PACKAGE, ","TURBINE   ","GAS               ","   ","104945","970182","9","0","1","0","1","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-803","FLEX JOINT, EXHAUST  ","FLEX      ","JOINT             ","   ","104945","970182","10","0","2","0","2","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-804","GASKET               ","GASKET    ","                  ","   ","104945","970182","11","0","2","0","2","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-805","SCREW                ","SCREW     ","                  ","   ","104945","970182","12","0","136","0","136","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-806","NUT                  ","NUT       ","                  ","   ","104945","970182","13","0","136","0","136","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-807","WASHER               ","WASHER    ","                  ","   ","104945","970182","14","0","272","0","272","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-808","FLEX JOINT, GT INLET ","FLEX      ","JOINT             ","   ","104945","970182","15","0","2","0","2","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-809","GASKET               ","GASKET    ","                  ","   ","104945","970182","16","0","2","0","2","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-810","SCREW                ","SCREW     ","                  ","   ","104945","970182","17","0","136","0","136","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-811","NUT                  ","NUT       ","                  ","   ","104945","970182","18","0","136","0","136","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-812","WASHER               ","WASHER    ","                  ","   ","104945","970182","19","0","272","0","272","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-814","FLEX JOINT, VENTILAT ","FLEX      ","JOINT             ","   ","104945","970182","20","0","4","0","4","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-815","GASKET               ","GASKET    ","                  ","   ","104945","970182","21","0","4","0","4","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-816","DAMPER, VENTILATION  ","DAMPER    ","VENTILATION       ","   ","104945","970182","22","0","4","0","4","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-817","GASKET               ","GASKET    ","                  ","   ","104945","970182","23","0","4","0","4","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-818","SCREW                ","SCREW     ","                  ","   ","104945","970182","24","0","144","0","144","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-819","NUT                  ","NUT       ","                  ","   ","104945","970182","25","0","304","0","304","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-820","SCREW                ","SCREW     ","                  ","   ","104945","970182","26","0","160","0","160","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-821","WASHER               ","WASHER    ","                  ","   ","104945","970182","27","0","608","0","608","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-822","FADC, MT30 GTME      ","          ","                  ","   ","104945","970182","28","0","2","0","2","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-827","HFP NOZZLE, 180 DEG  ","HFP NOZZLE","                  ","   ","104945","970182","29","0","8","0","8","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-828","HFP NOZZLE, 360 DEG  ","HFP NOZZLE","                  ","   ","104945","970182","30","0","2","0","2","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-829","SUPPORT ASSY, FADC   ","ASSEMBLY  ","SUPPORT           ","   ","104945","970182","31","0","2","0","2","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-830","SCREW                ","SCREW     ","                  ","   ","104945","970182","32","0","24","0","24","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-831","SCREW                ","SCREW     ","                  ","   ","104945","970182","33","0","16","0","16","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-832","WASHER               ","WASHER    ","                  ","   ","104945","970182","34","0","16","0","16","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-833","ESS DRIVE CABINET    ","DRIVE     ","CABINET           ","   ","104945","970182","35","0","2","0","2","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-834","PIPE SPOOL           ","PIPE      ","                  ","   ","104945","970182","36","0","4","0","4","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-839","PIPE SPOOL           ","PIPE      ","                  ","   ","104945","970182","37","0","2","0","2","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-842","PIPE SPOOL           ","PIPE      ","                  ","   ","104945","970182","38","0","2","0","2","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-843","PERFORATED SHEET     ","SHEET     ","                  ","   ","104945","970182","39","0","4","0","4","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-844","PIPE SUPPORT ASSY    ","PIPE      ","SUPPORT           ","   ","104945","970182","40","0","20","0","20","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-845","PIPE SUPPORT ASSY    ","PIPE      ","SUPPORT           ","   ","104945","970182","41","0","4","0","4","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-846","PIPE SUPPORT ASSY    ","PIPE      ","SUPPORT           ","   ","104945","970182","42","0","2","0","2","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-848","PIPE SUPPORT ASSY    ","PIPE      ","SUPPORT           ","   ","104945","970182","43","0","6","0","6","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-849","GASKET               ","GASKET    ","                  ","   ","104945","970182","44","0","54","0","54","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-851","SCREW                ","SCREW     ","                  ","   ","104945","970182","45","0","32","0","32","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-852","HOSE ASSY, C-STUB    ","ASSEMBLY  ","HOSE              ","   ","104945","970182","46","0","6","0","6","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-853","HOSE ASSY, C-STUB    ","ASSEMBLY  ","HOSE              ","   ","104945","970182","47","0","14","0","14","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-854","NUT                  ","NUT       ","                  ","   ","104945","970182","48","0","216","0","216","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-855","SCREW                ","SCREW     ","                  ","   ","104945","970182","49","0","48","0","48","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-856","NUT                  ","NUT       ","                  ","   ","104945","970182","50","0","32","0","32","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-857","MOUNT, SHOCK         ","MOUNT     ","SHOCK             ","   ","104945","970182","51","0","56","0","56","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-862","SCREW                ","SCREW     ","                  ","   ","104945","970182","52","0","64","0","64","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-870","WASHER, SPHERICAL    ","WASHER    ","                  ","   ","104945","970182","53","0","224","0","224","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-871","SCREW                ","SCREW     ","                  ","   ","104945","970182","54","0","150","0","150","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-880","HIGH SPEED COUPLING  ","COUPLING  ","ASSEMBLY          ","   ","104945","970182","55","0","2","0","2","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-881","TRIM BALANCE NUT - 3 ","NUT       ","TRIM              ","   ","104945","970182","56","0","2","0","2","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-882","TRIM BALANCE WASHER  ","WASHER    ","TRIM              ","   ","104945","970182","57","0","2","0","2","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-883","TRIM BALANCE BOLT -  ","BOLT      ","TRIM              ","   ","104945","970182","58","0","2","0","2","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-884","INSTALLATION BLOCK   ","BLOCK     ","INSTALLATION      ","   ","104945","970182","59","0","12","0","12","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-885","ATTACHMENT BOLT      ","BOLT      ","                  ","   ","104945","970182","60","0","72","0","72","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-886","SHIELD TERMINATION   ","TERMINATIO","SHIELD            ","   ","104945","970182","61","0","8","0","8","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-887","TERMINAL #10         ","TERMINAL  ","                  ","   ","104945","970182","62","0","8","0","8","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-888","WIRE, SHIELD         ","WIRE      ","                  ","   ","104945","970182","63","0","600","0","600","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-889","WASHER, 0.25 NEOPREN ","WASHER    ","                  ","   ","104945","970182","64","0","16","0","16","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-890","PLATE, CAMERA        ","PLATE     ","CAMERA            ","   ","104945","970182","65","0","4","0","4","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-891","WASHER, FLAT, 0.25   ","WASHER    ","FLAT              ","   ","104945","970182","66","0","36","0","36","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-892","SCREW                ","SCREW     ","                  ","   ","104945","970182","67","0","4","0","4","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-893","SCREW                ","SCREW     ","                  ","   ","104945","970182","68","0","16","0","16","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-894","NUT                  ","NUT       ","                  ","   ","104945","970182","69","0","16","0","16","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-895","ADAPTER              ","ADAPTER   ","                  ","   ","104945","970182","70","0","2","0","2","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-896","PIPE ASSY            ","ASSEMBLY  ","PIPE              ","   ","104945","970182","71","0","2","0","2","0","01/05/2018","8","         ","            ","","","","","","","","","",""
"485","234","234-01-00001-897","O-RING               ","O-RING    ","                  ","   ","104945","970182","72","0","2","0","2","0","01/05/2018","8","         ","            ","","","","","","","","","",""
