"Proj","SWBS","Item","Description","Noun 1","Noun 2","NRE","Vendor","PO","Line","Unit Price","Order Qty","Delivered Qty","Pending Qty","Pending Amnt","Delv.date","Payment Terms","Ledger Account","CLIN","Effort","","","","","","","","","","",""
"469","2","  HPR-0000688-01","PHONE, GLOBAL        ","PHONE     ","IP                ","   ","104945","639393","141","0","1","0","1","0","10/28/2016","8","         ","            ","","","","","","","","","","","",""
"469","2","    HPR-09522-01","TSCE ENCLOSURE-8     ","ENCLOSURE ","EQUIPMENT         ","   ","104945","639397","26","0","1","0","1","0","05/04/2016","8","         ","            ","","","","","","","","","","","",""
"469","2","  HPR-0001077-01","TSCE ENCLOSURE-2     ","ENCLOSURE ","EQUIPMENT         ","   ","104945","639397","28","0","1","0","1","0","12/18/2016","8","         ","            ","","","","","","","","","","","",""
"469","2","  HPR-0000818-01","TSCE ENCLOSURE-7     ","ENCLOSURE ","EQUIPMENT         ","   ","104945","639397","29","0","1","0","1","0","12/15/2016","8","         ","            ","","","","","","","","","","","",""
"469","2","  HPR-0001174-01","ENCLOSURE, NDS1      ","ENCLOSURE ","                  ","   ","104945","639404","58","0","1","0","1","0","12/18/2016","8","         ","            ","","","","","","","","","","","",""
"469","2","  HPR-0000507-01","RACK, ECDIS-N, 07-24 ","RACK      ","ECDIS-N           ","   ","104945","639409","77","0","1","0","1","0","11/30/2016","8","         ","            ","","","","","","","","","","","",""
"469","2","  HPR-0001068-01","RACK, ECDIS-N, 07-24 ","RACK      ","ECDIS-N           ","   ","104945","639409","78","0","2","0","2","0","11/30/2016","8","         ","            ","","","","","","","","","","","",""
"469","2","  HPR-0001208-01","WORKSTATION, VOYAGE  ","WORKSTATIO","PLANNING          ","   ","104945","639409","79","0","1","0","1","0","12/17/2016","8","         ","            ","","","","","","","","","","","",""
"469","2","  HPR-0000430-01","TCDL RACK ASSEMBLY,  ","ASSEMBLY  ","RACK              ","   ","104945","639411","214","0","1","0","1","0","11/27/2016","8","         ","            ","","","","","","","","","","","",""
"469","2","  HPR-0000953-01","ANTENNA, VHF, OMNI,  ","ANTENNA   ","VHF               ","   ","104945","639411","215","0","1","0","1","0","11/30/2016","8","         ","            ","","","","","","","","","","","",""
"469","2","  HPR-0001178-01","EXCOMM ENCLOSURE-8,  ","ENCLOSURE ","EXCOMM            ","   ","104945","639411","217","0","1","0","1","0","12/18/2016","8","         ","            ","","","","","","","","","","","",""
"469","2","  HPR-0000371-01","GSI MATING CONNECTOR ","KIT       ","INSTALLATION      ","   ","104945","639428","72","0","1","0","1","0","09/21/2016","8","         ","            ","","","","","","","","","","","",""
