"SWBS","Item#","Desc.","UOM","Qty","Unit Cost","Ext. Cost","","","","","","",""
"042","042-02-00004","CHAIR, DESK, ADJUSTABLE       ","EA ","2","$0.01","$0.02","","","","","","",""
"042","042-02-00005","PHONES, OFFICE, COMPATIBLE    ","EA ","2","$0.01","$0.02","","","","","","",""
"073","073-01-00002","SERVICES, AIRBORNE NOISE &    ","LO ","1","$126,750.00","$126,750.00","","","","","","",""
"073","073-01-00003","RENTAL EQUIPMENT FOR NOISE    ","EA ","1","$10,444.20","$10,444.20","","","","","","",""
"073","073-01-M0001","MOUNTS, SHOCK AND VIBRATION   ","EA ","8","$1,807.58","$14,460.62","","","","","","",""
"076","076-01-00001","RELIABILITY, MAINTAINABILITY  ","EA ","0","$2,670.58","$0.00","","","","","","",""
"076","076-01-00002","FAILURE MODES AND EFFECTS     ","EA ","0","$41,667.14","$0.00","","","","","","",""
"076","076-01-00003","RELIABILITY, MAINTAINABILITY  ","EA ","0","$2,670.58","$0.00","","","","","","",""
"076","076-01-00004","RELIABILITY, MAINTAINABILITY  ","EA ","0","$2,670.58","$0.00","","","","","","",""
"076","076-01-00005","DATA COLLECTION               ","EA ","0","$15,023.98","$0.00","","","","","","",""
"080","080-01-00001","INTEGRATED SUPPORT PLAN       ","EA ","0","$8,012.79","$0.00","","","","","","",""
"080","080-01-00002","PROGRAM MANAGEMENT            ","EA ","0","$416,671.36","$0.00","","","","","","",""
"081","081-01-00001","LIFE CYCLE SUPPORT PLAN       ","EA ","0","$5,342.21","$0.00","","","","","","",""
"081","081-01-00002","CLASS MAINTENANCE PLAN        ","EA ","0","$27,778.44","$0.00","","","","","","",""
"081","081-01-00003","MAINTENANCE PROCEDURE CARDS   ","EA ","0","$133,214.73","$0.00","","","","","","",""
"083","083-01-00001","EQUIPMENT LOGISTIC SUPPORT    ","EA ","0","$20,833.05","$0.00","","","","","","",""
"083","083-01-00002","SUBCONTRACT SERVICES FOR      ","EA ","0","$104,442.00","$0.00","","","","","","",""
"083","083-02-00001","HAYSTACK GOLD LICENSES        ","EA ","0","$0.01","$0.00","","","","","","",""
"083","083-02-00002","ILS IT SUPPORT SERVICES       ","LO ","0","$5,222.10","$0.00","","","","","","",""
"086","086-01-00001","TECHNICAL MANUAL PLAN         ","EA ","0","$2,670.58","$0.00","","","","","","",""
"086","086-01-00002","TECHNICAL MANUAL STATUS RPT   ","EA ","0","$5,007.99","$0.00","","","","","","",""
"086","086-01-00003","SHIP INFORMATION BOOK         ","EA ","1","$68,817.88","$68,817.88","","","","","","",""
"086","086-01-00004","DAMAGE CONTROL BOOK           ","EA ","1","$17,529.55","$17,529.55","","","","","","",""
"086","086-01-00005","DAMAGE CONTROL DIAGRAMS       ","EA ","1","$42,786.75","$42,786.75","","","","","","",""
"086","086-01-00006","BOAT HANDLING AND STORAGE     ","EA ","1","$4,329.12","$4,329.12","","","","","","",""
"086","086-01-00007","ENGINEERING CONTROL SYSTEM    ","EA ","1","$14,345.11","$14,345.11","","","","","","",""
"086","086-01-00008","SHIP CONTROL SYSTEM OPERATION ","EA ","1","$14,345.11","$14,345.11","","","","","","",""
"086","086-01-00009","PROPULSION OPERATING GUIDE    ","EA ","1","$5,248.21","$5,248.21","","","","","","",""
"086","086-01-00010","OFFBOARD ORGANIC VEHICLE      ","EA ","1","$19,353.10","$19,353.10","","","","","","",""
"086","086-01-00011","UNDERWAY REPLENISHMENT AND    ","EA ","1","$4,329.12","$4,329.12","","","","","","",""
"086","086-01-00012","TECHNICAL REPAIR STANDARDS    ","EA ","1","$21,022.09","$21,022.09","","","","","","",""
"086","086-01-00013","POLLUTION ABATEMENT MANUAL    ","EA ","1","$4,329.12","$4,329.12","","","","","","",""
"086","086-01-00014","CENTRALIZED MACHINERY CONTROL ","EA ","0","$14,345.11","$0.00","","","","","","",""
"086","086-01-00015","MOTORS MANUALS                ","EA ","1","$4,329.12","$4,329.12","","","","","","",""
"086","086-01-00016","MACHINE TOOLS AND SPECIAL SHIP","EA ","1","$4,329.12","$4,329.12","","","","","","",""
"086","086-01-00017","MACHINERY PLANT MAINTENANCE   ","EA ","1","$4,329.12","$4,329.12","","","","","","",""
"086","086-01-00018","HVAC/COLLECTIVE PROTECTION    ","EA ","1","$4,329.12","$4,329.12","","","","","","",""
"086","086-01-00019","TECHNICAL MANUAL VALIDATION   ","EA ","0","$78,485.03","$0.00","","","","","","",""
"086","086-01-00020","TECHNICAL MANUAL INDEX        ","EA ","0","$4,673.78","$0.00","","","","","","",""
"086","086-01-00021","EQUIPMENT TECHNICAL MANUALS   ","EA ","0","$448,058.27","$0.00","","","","","","",""
"086","086-01-CH002","GUN/DECOY CHANGE 6-12-09      ","EA ","0","$10,140.00","$0.00","","","","","","",""
"089","089-01-00001","NAVY TRAINING SYSTEM PLAN     ","EA ","0","$5,342.21","$0.00","","","","","","",""
"089","089-01-00002","FAMILIARIZATION TRAINING      ","EA ","0","$224,669.36","$0.00","","","","","","",""
"089","089-01-00003","TOTAL SHIPBOARD TRAINING      ","EA ","0","$8,475.47","$0.00","","","","","","",""
"089","089-01-00004","TRAINING CONDUCT SUPPORT      ","EA ","0","$98,091.93","$0.00","","","","","","",""
"089","089-01-00005","TOTAL SHIPBOARD TRAINING      ","EA ","0","$2,670.58","$0.00","","","","","","",""
"089","089-01-00006","TOTAL SHIPBOARD TRAINING      ","EA ","0","$2,670.58","$0.00","","","","","","",""
"089","089-01-00007","TOTAL SHIPBOARD TRAINING      ","EA ","0","$8,012.79","$0.00","","","","","","",""
"089","089-01-00008","FACTORY TRAINING COORDINATION ","EA ","0","$6,676.98","$0.00","","","","","","",""
"089","089-01-00009","HUMAN SYSTEM INTEGRATION      ","EA ","0","$2,670.58","$0.00","","","","","","",""
"089","089-01-00010","MANNING CONCEPT               ","EA ","0","$2,670.58","$0.00","","","","","","",""
"089","089-01-00011","SYSTEM MANPOWER, PERSONNEL    ","EA ","0","$2,670.58","$0.00","","","","","","",""
"089","089-01-00012","HUMAN MACHINE INTERFACE DESIGN","EA ","0","$2,670.58","$0.00","","","","","","",""
"089","089-01-00013","RENK FACTORY TRAINING (LM)    ","EA ","1","$60,840.00","$60,840.00","","","","","","",""
"089","089-01-00014","FME FACTORY TRAINING (LM)     ","EA ","1","$18,759.00","$18,759.00","","","","","","",""
"089","089-01-00015","MT-30 GAS TURBINE FACTORY TRNG","EA ","1","$117,117.00","$117,117.00","","","","","","",""
"089","089-01-00016","SSDG FACTORY TRAINING         ","EA ","1","$18,671.80","$18,671.80","","","","","","",""
"089","089-01-00017","RIDE CONTROL FACTORY TRNG     ","EA ","1","$5,399.55","$5,399.55","","","","","","",""
"089","089-01-00018","WATERJET FACTORY TRAINING     ","EA ","1","$50,193.00","$50,193.00","","","","","","",""
"089","089-01-00019","HVAC PLANT FACTORY TRAINING   ","EA ","1","$11,154.00","$11,154.00","","","","","","",""
"089","089-01-00020","CCTV FACTORY TRAINING         ","EA ","1","$1,521.00","$1,521.00","","","","","","",""
"089","089-01-00021","MORIA WIND SYSTEM FACTORY TRNG","EA ","1","$5,070.00","$5,070.00","","","","","","",""
"089","089-01-00022","FIRE DETECTION SYS FACTORY TRN","EA ","1","$10,140.00","$10,140.00","","","","","","",""
"089","089-01-00023","DESALINATION PLANT FACTORY TRN","EA ","1","$2,535.00","$2,535.00","","","","","","",""
"089","089-01-00024","CATHODIC PROTECTION FACT TRNG ","EA ","1","$1,521.00","$1,521.00","","","","","","",""
"089","089-01-00025","FAM TRINING STUDENT GUIDES    ","EA ","1","$5,577.00","$5,577.00","","","","","","",""
"089","089-01-00026","LHRS - CRANE SAFETY TRNG      ","EA ","1","$4,056.00","$4,056.00","","","","","","",""
"089","089-01-00027","LRHS - OPERATION TRAINING     ","EA ","1","$12,168.00","$12,168.00","","","","","","",""
"089","089-01-00028","LRHS - WEIGHT HANDLING TRNG   ","EA ","1","$26,949.08","$26,949.08","","","","","","",""
"089","089-01-00029","LRHS - OLDENBURG TRNG         ","EA ","1","$6,451.07","$6,451.07","","","","","","",""
"089","089-01-00030","LHRS - WALZ & KRENZER TRNG    ","EA ","1","$2,940.60","$2,940.60","","","","","","",""
"089","089-01-00031","LHRS - CONT. MOBILIZATION TRNG","EA ","1","$18,656.59","$18,656.59","","","","","","",""
"089","089-01-00032","LRHS - STUDENT GUIDES         ","EA ","1","$3,351.27","$3,351.27","","","","","","",""
"092","092-00-AIS01","PIPE INSPECTION               ","EA ","1","$1,297.17","$1,297.17","","","","","","",""
"092","092-00-AIS03","PIPE PT INSPECTION            ","EA ","1","$9,131.32","$9,131.32","","","","","","",""
"092","092-00-GLT01","GREAT LAKES TESTING, NDI X-RA ","EA ","1","$356,928.00","$356,928.00","","","","","","",""
"101","101-01-00001","PLACE HOLDER FOR WELD SUPPLIES","LO ","1","$536,714.26","$536,714.26","","","","","","",""
"102","102-01-00001","PLACE HOLDER FOR WELD GASES-BU","LO ","1","$396,679.84","$396,679.84","","","","","","",""
"104","104-01-00001","ALLOCATION PLACE HOLDER       ","LO ","1","$1,201,146.88","$1,201,146.88","C","","","","","",""
"104","104-01-CH001","J15/J16 PCW CHANGES           ","EA ","1","$0.01","$0.01","","","","","","",""
"110","110-00-00001","CHANGES PER PCW-395 AXIAL FLOW","LO ","1","$20,280.00","$20,280.00","","","","","","",""
"110","110-00-0S001","PIPE, 4""SCH 80, ASTM A106 GR  ","LF ","40","$11.66","$466.44","","","","","","",""
"110","110-00-0S004","TEE, MT 4 X 3.25LB X 20'      ","EA ","830","$17.64","$14,644.19","","","","","","",""
"110","110-00-0S005","TEE, MT 5 X 4.5LB X 20'       ","EA ","196","$17.64","$3,458.15","","","","","","",""
"110","110-00-0S006","TEE, MT 6 X 5.9LB X 20'       ","EA ","253","$18.10","$4,579.27","","","","","","",""
"110","110-00-0S007","TEE, WT 6"" X 7LB X 20'        ","EA ","192","$18.10","$3,475.18","","","","","","",""
"110","110-00-0S008","TEE, WT 6"" X 8LB X 20'        ","EA ","66","$18.10","$1,194.59","","","","","","",""
"110","110-00-0S009","TEE, MT 3 X 2.2LB X 20'       ","EA ","683","$17.24","$11,773.55","","","","","","",""
"110","110-00-0S010","TEE, WT 9 X 17.5LB X 20'      ","EA ","0","$21.43","$0.00","","","","","","",""
"110","110-00-0S011","WT 6 X 13 LB X 20' ABS GRADE  ","EA ","185","$18.10","$3,348.48","","","","","","",""
"110","110-00-0S012","TEE WT 4 X 10.5 LB X 20', ABS ","EA ","17","$17.64","$299.94","","","","","","",""
"110","110-00-0S013","TEE WT 155 X 16.35 X 20; ABS G","EA ","0","$0.00","$0.00","","","","","","",""
"110","110-00-0S015","FB, 1-3/4"" X 1/8"" X 20'       ","EA ","415","$10.32","$4,283.85","","","","","","",""
"110","110-00-0S121","FLATBAR, 2-1/2""X 1/4""X 20',   ","EA ","273","$35.06","$9,572.50","","","","","","",""
"110","110-00-0S122","FLATBAR, 3""X 1/4""X 20', ABS   ","EA ","71","$42.06","$2,986.31","","","","","","",""
"110","110-00-0S200","ANGLE,3/16""X1-1/2""X1-1/2""X20',","EA ","1","$20.46","$20.46","","","","","","",""
"110","110-00-0S202","ANGLE, 2 X 2 X 1/8"", 20'      ","EA ","3","$50.70","$152.10","","","","","","",""
"110","110-00-0S203","ANGLE, 2 X 2 X 3/16"", 20'     ","EA ","47","$40.26","$1,892.02","","","","","","",""
"110","110-00-0S204","ANGLE, 2 X 2 X 1/4"", 20' LG   ","EA ","34","$52.63","$1,789.30","","","","","","",""
"110","110-00-0S206","ANGLE, 2 1/2 X 2 X 3/16"", 20' ","EA ","7","$45.37","$317.56","","","","","","",""
"110","110-00-0S207","ANGLE, 2 1/2 X 2 X 1/4"", 20'  ","EA ","8","$59.71","$477.72","","","","","","",""
"110","110-00-0S208","ANGLE,2 1/2 X 2 1/2 X 3/16"",  ","EA ","32","$50.65","$1,620.78","","","","","","",""
"110","110-00-0S209","ANGLE,2-1/2"" X 2-1/2"" X 1/4""  ","EA ","26","$67.64","$1,758.74","","","","","","",""
"110","110-00-0S210","ANGLE,2 1/2 X 2 1/2 X 5/16"",  ","EA ","1","$82.49","$82.49","","","","","","",""
"110","110-00-0S211","ANGLE, 3 X 2 X 3/16"", 20'     ","EA ","26","$50.64","$1,316.62","","","","","","",""
"110","110-00-0S212","ANGLE,3"" X 2"" X 1/4""          ","EA ","27","$67.64","$1,826.39","","","","","","",""
"110","110-00-0S213","ANGLE,3"" X 2"" X 1/2""          ","EA ","3","$76.05","$228.15","","","","","","",""
"110","110-00-0S217","ANGLE, 3 X 3 X 3/16"", 20'     ","EA ","44","$61.21","$2,693.02","","","","","","",""
"110","110-00-0S218","ANGLE, 3"" X 3"" X 1/4""         ","EA ","51","$80.84","$4,122.64","","","","","","",""
"110","110-00-0S219","ANGLE,3"" X 3"" X 3/8""          ","EA ","40","$118.78","$4,751.20","","","","","","",""
"110","110-00-0S220","ANGLE,3"" X 3"" X 1/2""          ","EA ","8","$155.08","$1,240.65","","","","","","",""
"110","110-00-0S221","ANGLE, 4 X 2 X 3/8"", 20' LENGT","EA ","0","$0.00","$0.00","","","","","","",""
"110","110-00-0S223","ANGLE, 4 X 3 X 1/4"", 20'      ","EA ","17","$95.68","$1,626.58","","","","","","",""
"110","110-00-0S224","ANGLE, 4""X3""X3/8"", 20'LENGTHS ","EA ","10","$140.24","$1,402.36","","","","","","",""
"110","110-00-0S226","ANGLE, 4 X 4 X 3/8"", 20'      ","EA ","4","$161.67","$646.69","","","","","","",""
"110","110-00-0S227","ANGLE, 4 X 4 X 1/2"", 20'      ","EA ","10","$211.16","$2,111.55","","","","","","",""
"110","110-00-0S228","ANGLE, 3-1/2"" X 2-1/2"" X 1/4"",","EA ","3","$111.54","$334.62","","","","","","",""
"110","110-00-0S229","ANGLE,5"" X 3"" X 1/4""          ","EA ","1","$108.87","$108.87","","","","","","",""
"110","110-00-0S230","ANGLE, 5 X 3 X 1/2"", 20'      ","EA ","3","$211.16","$633.47","","","","","","",""
"110","110-00-0S231","ANGLE,5"" X 3"" X 3/8""          ","EA ","1","$161.67","$161.67","","","","","","",""
"110","110-00-0S232","ANGLE, 3-1/2"" X 3"" X 1/4"", 20'","EA ","0","$111.54","$0.00","","","","","","",""
"110","110-00-0S251","PIPE,STL,4"",PL,SCH 80 IPS 4.50","LF ","225","$12.12","$2,726.39","","","","","","",""
"110","110-00-0S252","PIPE,STL,5"",PL,SCH 80 IPS 5.56","LF ","245","$11.68","$2,861.91","","","","","","",""
"110","110-00-0S253","PIPE,STL,5"",PL,SCH 40 IPS 5.56","LF ","80","$6.07","$485.91","","","","","","",""
"110","110-00-0S254","PIPE,STL,2"",PL,SCH 40 IPS 2.37","LF ","1","$2.94","$2.94","","","","","","",""
"110","110-00-0S255","FLATBAR, 3/8"" x 1"" x 96"" LONG ","EA ","2","$9.13","$18.25","","","","","","",""
"110","110-00-0S261","ROUND BAR, 1"" DIA, STEEL      ","LF ","0","$7.83","$0.00","","","","","","",""
"110","110-00-0S400","ROUND BAR, 1-1/2"" DIA,STEEL, A","EA ","0","$0.00","$0.00","","","","","","",""
"110","110-00-0S504","BAR, ROUND, STEEL, ASTM A36, H","LF ","2","$1.72","$3.45","","","","","","",""
"110","110-00-0S506","PIPE,STL,8"",PL,SCH 40 IPS 8.62","LF ","3","$13.17","$39.52","","","","","","",""
"110","110-00-0S507","BAR, ROUND, MEDIUM CARBON STEE","EA ","1","$32.24","$32.24","","","","","","",""
"110","110-00-0S508","PIPE, PLAIN END STEEL, 3"", DOU","LF ","13","$27.53","$357.89","","","","","","",""
"110","110-00-0S509","PIPE,STL,10"",PL,SCH 40 IPS 10.","LF ","1","$22.75","$22.75","","","","","","",""
"110","110-00-0S510","PIPE,STL,12"",PL,SCH 40 IPS 12.","LF ","2","$96.27","$192.54","","","","","","",""
"110","110-00-0S511","ROUND BAR, 1-1/2"" DIA,STEEL, A","EA ","2","$201.05","$402.09","","","","","","",""
"110","110-00-0S512","PIPE,STL,6"",PL,SCH 80 IPS 6.62","LF ","17","$16.83","$286.15","","","","","","",""
"110","110-00-IC516","PLATE, INCONEL 625, ASTM B443,","EA ","1","$45,249.75","$45,249.75","","","","","","",""
"110","110-00-MC018","BULB FLAT, 6MM X 120 MM, ABS G","EA ","1","$465.01","$465.01","","","","","","",""
"110","110-00-MS004","TEE, MT 4 X 3.25 LB X 20', ABS","EA ","2","$27.18","$54.35","","","","","","",""
"110","110-00-MS005","TEE, MT 5 X 4.5 LB X 20', ABS ","EA ","16","$24.69","$395.05","","","","","","",""
"110","110-00-MS009","TEE, MT 5 X 4.5 LB X 20', ABS ","EA ","0","$0.00","$0.00","","","","","","",""
"110","110-00-MS104","TEE MT 4 X 3.25 LB X 20', ABS ","EA ","2","$27.18","$54.35","","","","","","",""
"110","110-00-MS105","TEE, MT 8.5 X 6.3LB X 20', ABS","EA ","28","$18.10","$506.80","","","","","","",""
"110","110-00-MS106","MT 6 X 5.9LB X 20', ABS GRADE ","EA ","0","$0.00","$0.00","","","","","","",""
"110","110-00-MS107","TEE WT 6 X 7 LB X 20', ABS GRA","EA ","0","$0.00","$0.00","","","","","","",""
"110","110-00-MS108","TEE, WT 6 X 8 LB X 20'LONG, AB","EA ","0","$0.00","$0.00","","","","","","",""
"110","110-00-MS204","TEE MT 4 X 3.25 LB X 20', ABS ","EA ","0","$0.00","$0.00","","","","","","",""
"110","110-00-MS205","TEE, MT 8.5 X 6.3LB X 20', ABS","EA ","16","$25.25","$403.98","","","","","","",""
"110","110-00-MS206","TEE, MT 6 X 5.9 LB X 20'      ","EA ","0","$0.00","$0.00","","","","","","",""
"110","110-00-MS305","TEE, MT 8.5 X 6.3LB X 20', ABS","EA ","52","$24.84","$1,291.84","","","","","","",""
"110","110-00-MS405","TEE, MT 5 X 4.5 LB X 20', ABS ","EA ","2","$27.18","$54.35","","","","","","",""
"110","110-00-RB091","ROUND BAR, 3-1/2""DIA (91MM) x ","EA ","0","$0.00","$0.00","","","","","","",""
"110","110-00-SS004","M8 X 6.5LB X 40', ABS GRADE AH","EA ","209","$174.84","$36,542.40","","","","","","",""
"110","110-00-SS005","M10 X 9LB X 40', ABS GRADE AH-","EA ","102","$243.82","$24,869.26","","","","","","",""
"110","110-00-SS006","M 12 X 11.8LB X 40', ABS GRADE","EA ","64","$382.14","$24,456.71","","","","","","",""
"110","110-00-SS007","W12 X 14LB X 40', ABS GRADE AH","EA ","48","$356.70","$17,121.84","","","","","","",""
"110","110-00-SS008","W12 X 16LB X 40', ABS GRADE AH","EA ","17","$492.21","$8,367.50","","","","","","",""
"110","110-00-SS009","M6 X 4.4LB X 40', ABS GRADE AH","EA ","171","$166.73","$28,511.18","","","","","","",""
"110","110-00-SS010","W18 X 35LB X 40', ABS GRADE AH","EA ","1","$1,076.70","$1,076.70","","","","","","",""
"110","110-00-SS011","W 12 X 26 LB X 50' ABS GRADE A","EA ","47","$562.60","$26,442.09","","","","","","",""
"110","110-00-SS012","S6 X 12.5# X 20', ABS GRADE AH","EA ","4","$292.79","$1,171.17","","","","","","",""
"110","110-00-SS013","W 8 X 21 LB X 40' ABS GRADE AH","EA ","5","$646.02","$3,230.10","","","","","","",""
"110","110-00-SS014","W6 X 16# X 20', ABS GRADE AH-3","EA ","2","$246.11","$492.22","","","","","","",""
"110","110-01-00003","SERVICE TO BURN NT #841L5601, ","LO ","1","$977.50","$977.50","","","","","","",""
"110","110-01-00004","SERVICES TO BURN NT#851L5601, ","LO ","1","$2,418.39","$2,418.39","","","","","","",""
"110","110-01-00005","SERVICES FOR ABS TO CERTIFY   ","LO ","1","$201.79","$201.79","","","","","","",""
"110","110-01-86601","SERVICES, PLUTCHAK FAB,       ","LO ","1","$1,069.07","$1,069.07","","","","","","",""
"110","110-01-86602","SERVICES, PLUTCHAK FAB,       ","LO ","1","$904.89","$904.89","","","","","","",""
"110","110-01-86603","SERVICES, PLUTCHAK FAB,       ","LO ","1","$904.89","$904.89","","","","","","",""
