"MMC Ship 3 Recurring BOM","","",""
"","","",""
"Sum of Ext. Cost","","",""
"SWBS Group","2-digit SWBS","3-digit SWBS","Total"
"000","000","002","$522,012.27 "
"","","008","$1,001,870.53 "
"","010","012","$0.00 "
"","040","041","$18,277.36 "
"","","042","$28,396.90 "
"","070","073","$151,654.82 "
"","","076","$0.00 "
"","080","080","$0.00 "
"","","081","$0.00 "
"","","083","$0.00 "
"","","086","$233,751.64 "
"","","089","$383,070.95 "
"","090","092","$367,356.49 "
"000 Total","","","$2,706,390.96 "
"100","100","101","$536,714.26 "
"","","102","$396,679.84 "
"","","104","$1,201,146.89 "
"","110","110","$4,570,636.71 "
"","120","127","$276,031.49 "
"","150","150","$2,618,630.54 "
"","160","160","$0.01 "
"","","161","$274,005.76 "
"","","164","$386,515.07 "
"","","167","$2,285,719.91 "
"","","169","$1,339,998.09 "
"","180","180","$550,574.37 "
"","","184","$330,766.80 "
"","190","192","$11,281.78 "
"100 Total","","","$14,778,701.52 "
"200","200","200","$2,255.96 "
"","","201","$89,110.58 "
"","","202","$293,526.47 "
"","230","233","$89,010.30 "
"","","234","$928,937.96 "
"","240","241","$733,869.29 "
"","","243","$729,369.00 "
"","","244","$222,781.97 "
"","","247","$261,330.87 "
"","250","251","$719,182.09 "
"","","252","$38,615.87 "
"","","256","$1,848,833.59 "
"","","259","$2,764,791.15 "
"","260","261","$939,346.70 "
"","","262","$770,409.95 "
"","","264","$0.00 "
"200 Total","","","$10,431,371.74 "
"300","300","300","$2,377.83 "
"","","302","$664,020.65 "
"","","304","$1,869,705.86 "
"","","305","$20,280.00 "
"","310","311","$3,100,530.52 "
"","","313","$242,509.86 "
"","","314","$585,243.03 "
"","320","320","$154,788.97 "
"","","321","$988,328.76 "
"","","324","$4,439,258.76 "
"","330","330","$531,208.28 "
"300 Total","","","$12,598,252.52 "
"400","400","400","$0.01 "
"","","407","$10,140.00 "
"","410","410","$1,678.13 "
"","","411","$0.44 "
"","","415","$31,662.13 "
"","420","420","$4,804.88 "
"","","421","$32,969.25 "
"","","422","$50,351.07 "
"","","423","$0.01 "
"","","424","$0.19 "
"","","426","$0.55 "
"","430","430","$632,221.37 "
"","","432","$109,201.65 "
"","","433","$265,989.06 "
"","","434","$23,115.52 "
"","","436","$124,991.73 "
"","","437","$111,395.56 "
"","","438","$0.70 "
"","","439","$363,086.17 "
"","440","441","$2,936.26 "
"","","443","$20,397.75 "
"","","446","$2,102.42 "
"","450","453","$7,710.53 "
"","","455","$0.34 "
"","470","472","$107.03 "
"","","474","$0.57 "
"","","475","$1,392,611.80 "
"","480","481","$2,617.28 "
"","490","491","$0.00 "
"","","492","$18,044.36 "
"","","493","$107.49 "
"","","494","$332,823.51 "
"400 Total","","","$3,541,067.76 "
"500","500","500","$0.01 "
"","","504","$1,356.82 "
"","","505","$1,816,501.93 "
"","","506","$337,974.38 "
"","","507","$141,944.27 "
"","","508","$66,268.33 "
"","","509","$28,593.99 "
"","510","512","$5,222,275.45 "
"","","513","$444.13 "
"","","514","$1,126,808.70 "
"","520","521","$1,322,448.49 "
"","","526","$37,707.18 "
"","","528","$319,620.41 "
"","","529","$520,727.90 "
"","530","531","$240,937.15 "
"","","533","$235,932.09 "
"","540","541","$926,058.46 "
"","","542","$380,828.02 "
"","","549","$149,605.94 "
"","550","551","$1,118,338.30 "
"","","555","$2,554,428.09 "
"","","556","$551,016.68 "
"","560","565","$2,987,264.94 "
"","570","571","$33,647.59 "
"","","572","$12,594.66 "
"","","573","$1,279,936.25 "
"","580","581","$940,333.25 "
"","","582","$491,737.30 "
"","","583","$541,645.94 "
"","","588","$156,269.71 "
"","590","593","$482,342.14 "
"500 Total","","","$24,025,588.48 "
"600","600","600","$7,173.79 "
"","","602","$64,485.73 "
"","","603","$16,745.99 "
"","","604","$34,031.14 "
"","","605","$2,080.47 "
"","610","610","$43,475.57 "
"","","611","$75,387.59 "
"","","612","$345,013.10 "
"","","613","$10,282.89 "
"","620","622","$288,476.35 "
"","","623","$186,561.89 "
"","","624","$13,536.92 "
"","","625","$247,862.01 "
"","630","630","$56,043.62 "
"","","631","$1,041,074.05 "
"","","633","$295,989.50 "
"","","634","$191,107.90 "
"","","635","$3,575,627.95 "
"","","637","$664,599.79 "
"","640","640","$884,714.08 "
"","","644","$387,865.79 "
"","650","651","$358,483.32 "
"","","652","$83,360.61 "
"","","655","$26,956.40 "
"","","656","$10,804.52 "
"","660","664","$224,025.31 "
"","","665","$291,716.24 "
"","670","670","$1,095.12 "
"","","671","$481,385.52 "
"","","672","$65,349.90 "
"600 Total","","","$9,975,313.06 "
"700","700","702","$12,151.29 "
"","710","711","$771.91 "
"","","712","$89,644.00 "
"","","713","$135.75 "
"","720","721","$8,876.09 "
"","760","763","$91,606.36 "
"","780","780","$231,522.08 "
"700 Total","","","$434,707.49 "
"800","800","800","$0.01 "
"","810","813","$0.02 "
"","820","829","$148,297.50 "
"","830","830","$405,600.00 "
"","","831","$3,042.00 "
"","840","845","$28,392.01 "
"","850","852","$55,980.92 "
"","","854","$204,827.80 "
"","890","894","$55,522.58 "
"","","897","$0.01 "
"800 Total","","","$901,662.85 "
"900","920","920","$546.16 "
"","980","982","$2,589,341.28 "
"","","984","$279,024.45 "
"","","986","$266,158.64 "
"","990","990","$382,493.98 "
"","","992","$155,253.62 "
"","","994","$273,780.00 "
"","","996","$202,815.12 "
"","","999","$11,465.67 "
"900 Total","","","$4,160,878.93 "
"Grand Total","","","$83,553,935.31 "
