"MMC Ship 2 Recurring BOM","","",""
"","","",""
"Sum of Ext. Cost","","",""
"SWBS Group","2-digit SWBS","3-digit SWBS","Total"
"000","000","002","$514,805.00 "
"","010","012","$0.00 "
"","040","041","$18,025.01 "
"","","042","$28,004.83 "
"","070","073","$149,560.97 "
"","","076","$0.00 "
"","080","080","$0.00 "
"","","081","$0.00 "
"","","083","$0.00 "
"","","086","$230,524.30 "
"","","089","$377,782.00 "
"","090","092","$362,284.51 "
"000 Total","","","$1,680,986.62 "
"100","100","101","$529,304.00 "
"","","102","$391,203.00 "
"","","104","$1,184,563.01 "
"","110","110","$4,507,531.27 "
"","120","127","$272,220.40 "
"","150","150","$2,582,475.88 "
"","160","160","$0.01 "
"","","161","$270,222.65 "
"","","164","$381,178.57 "
"","","167","$2,254,161.64 "
"","","169","$1,321,497.13 "
"","180","180","$542,940.90 "
"","","184","$326,200.00 "
"","190","192","$11,126.02 "
"100 Total","","","$14,574,624.48 "
"200","200","200","$2,224.81 "
"","","201","$87,880.26 "
"","","202","$289,473.83 "
"","230","233","$87,781.36 "
"","","234","$916,112.39 "
"","240","241","$723,736.97 "
"","","243","$719,298.82 "
"","","244","$219,706.08 "
"","","247","$257,722.75 "
"","250","251","$709,252.55 "
"","","252","$38,082.71 "
"","","256","$1,823,307.29 "
"","","259","$2,730,157.80 "
"","260","261","$926,377.41 "
"","","262","$759,773.13 "
"","","264","$0.00 "
"200 Total","","","$10,290,888.17 "
"300","300","300","$2,345.00 "
"","","302","$654,852.71 "
"","","304","$1,843,891.38 "
"","","305","$20,000.00 "
"","310","311","$2,950,956.47 "
"","","313","$239,161.60 "
"","","314","$577,162.75 "
"","320","320","$152,651.84 "
"","","321","$974,683.20 "
"","","324","$4,388,133.87 "
"","330","330","$523,874.04 "
"300 Total","","","$12,327,712.86 "
"400","400","400","$0.01 "
"","","407","$10,000.00 "
"","410","410","$1,654.96 "
"","","411","$0.43 "
"","","415","$31,224.98 "
"","420","420","$4,738.54 "
"","","421","$32,514.06 "
"","","422","$49,655.89 "
"","","423","$0.01 "
"","","424","$0.19 "
"","","426","$0.54 "
"","430","430","$623,492.48 "
"","","432","$107,693.93 "
"","","433","$262,316.63 "
"","","434","$22,796.37 "
"","","436","$123,266.01 "
"","","437","$109,857.56 "
"","","438","$0.69 "
"","","439","$358,073.15 "
"","440","441","$2,895.72 "
"","","443","$20,116.12 "
"","","446","$2,073.39 "
"","450","453","$7,604.07 "
"","","455","$0.34 "
"","470","472","$105.55 "
"","","474","$0.56 "
"","","475","$1,269,605.29 "
"","480","481","$2,581.14 "
"","490","491","$0.00 "
"","","492","$17,795.22 "
"","","493","$106.01 "
"","","494","$328,228.31 "
"400 Total","","","$3,388,398.15 "
"500","500","500","$28,092.64 "
"","","504","$1,338.08 "
"","","505","$1,792,078.02 "
"","","506","$304,746.68 "
"","","507","$139,984.48 "
"","","508","$65,353.38 "
"","","509","$28,199.20 "
"","510","512","$4,996,147.35 "
"","","513","$438.00 "
"","","514","$1,111,251.19 "
"","520","521","$1,304,189.84 "
"","","526","$37,186.57 "
"","","528","$315,207.50 "
"","","529","$513,538.36 "
"","530","531","$237,610.60 "
"","","533","$232,674.65 "
"","540","541","$913,272.64 "
"","","542","$375,570.04 "
"","","549","$147,540.37 "
"","550","551","$1,102,897.73 "
"","","555","$2,519,159.85 "
"","","556","$543,922.56 "
"","560","565","$2,848,255.28 "
"","570","571","$33,183.03 "
"","","572","$12,420.77 "
"","","573","$1,262,264.54 "
"","580","581","$927,350.34 "
"","","582","$484,948.03 "
"","","583","$534,167.59 "
"","","588","$154,112.14 "
"","590","593","$475,682.58 "
"500 Total","","","$23,442,784.04 "
"600","600","600","$7,074.74 "
"","","602","$63,595.39 "
"","","603","$16,514.78 "
"","","604","$33,561.28 "
"","","605","$2,051.75 "
"","610","610","$42,875.31 "
"","","611","$74,346.74 "
"","","612","$339,593.61 "
"","","613","$10,140.91 "
"","620","622","$284,493.44 "
"","","623","$183,986.08 "
"","","624","$13,350.02 "
"","","625","$244,426.85 "
"","630","630","$55,269.84 "
"","","631","$1,026,700.25 "
"","","633","$291,902.86 "
"","","634","$188,469.33 "
"","","635","$3,495,875.69 "
"","","637","$640,239.75 "
"","640","640","$851,131.01 "
"","","644","$373,662.76 "
"","650","651","$351,644.82 "
"","","652","$80,705.65 "
"","","655","$26,383.00 "
"","","656","$10,655.34 "
"","660","664","$220,932.26 "
"","","665","$283,218.22 "
"","670","670","$1,080.00 "
"","","671","$474,739.17 "
"","","672","$64,447.63 "
"600 Total","","","$9,753,068.51 "
"700","700","702","$11,983.52 "
"","710","711","$761.25 "
"","","712","$88,406.32 "
"","","713","$133.88 "
"","720","721","$8,753.54 "
"","760","763","$90,341.58 "
"","780","780","$228,325.52 "
"700 Total","","","$428,705.61 "
"800","800","800","$0.01 "
"","810","813","$0.01 "
"","820","829","$146,250.00 "
"","830","830","$400,000.00 "
"","","831","$3,000.00 "
"","840","845","$28,000.01 "
"","850","852","$55,208.01 "
"","","854","$201,999.80 "
"","890","897","$0.01 "
"800 Total","","","$834,457.85 "
"900","920","920","$538.62 "
"","980","982","$2,553,591.01 "
"","","984","$275,172.04 "
"","","986","$262,483.87 "
"","990","990","$377,213.00 "
"","","992","$153,110.08 "
"","","994","$270,000.00 "
"","","996","$200,014.91 "
"","","999","$11,307.37 "
"900 Total","","","$4,103,430.90 "
"001","001","001","$988,038.00 "
"001 Total","","","$988,038.00 "
"810","8102","810","$0.01 "
"810 Total","","","$0.01 "
"890","8902","890","$54,756.00 "
"890 Total","","","$54,756.00 "
"Grand Total","","","$81,867,851.20 "
