"MMC Ship 9 Recurring BOM","","",""
"","","",""
"Sum of Ext. Cost","","",""
"SWBS3","SWBS2","SWBS","Total"
"000","000","002","$544,245.16 "
"","","008","$1,044,540.94 "
"","010","012","$0.00 "
"","040","041","$19,055.81 "
"","","042","$29,606.34 "
"","070","073","$158,113.91 "
"","","076","$0.00 "
"","080","080","$0.00 "
"","","081","$0.00 "
"","","083","$0.00 "
"","","086","$243,707.30 "
"","","089","$399,386.22 "
"","090","092","$383,002.48 "
"000 Total","","","$2,821,658.17 "
"100","100","101","$559,573.32 "
"","","102","$413,574.73 "
"","","104","$1,252,304.63 "
"","110","110","$4,765,303.53 "
"","120","127","$287,787.87 "
"","150","150","$2,730,159.97 "
"","160","160","$0.01 "
"","","161","$285,675.87 "
"","","164","$402,977.03 "
"","","167","$2,383,070.42 "
"","","169","$1,397,069.61 "
"","180","180","$574,023.74 "
"","","184","$344,854.40 "
"","190","192","$11,762.28 "
"100 Total","","","$15,408,137.41 "
"200","200","200","$2,352.04 "
"","","201","$92,905.87 "
"","","202","$306,027.98 "
"","230","233","$92,801.31 "
"","","234","$968,502.12 "
"","240","241","$765,125.33 "
"","","243","$760,433.37 "
"","","244","$232,270.41 "
"","","247","$272,461.14 "
"","250","251","$749,812.59 "
"","","252","$40,260.55 "
"","","256","$1,927,576.79 "
"","","259","$2,918,932.15 "
"","260","261","$979,354.17 "
"","","262","$803,222.29 "
"","","264","$0.00 "
"200 Total","","","$10,912,038.12 "
"300","300","300","$2,479.10 "
"","","302","$692,301.78 "
"","","304","$1,949,338.02 "
"","","305","$21,143.74 "
"","310","311","$3,437,210.79 "
"","","313","$252,838.54 "
"","","314","$610,168.96 "
"","320","320","$161,381.54 "
"","","321","$1,030,422.42 "
"","","324","$4,112,205.08 "
"","330","330","$553,832.83 "
"300 Total","","","$12,823,322.81 "
"400","400","400","$0.01 "
"","","407","$10,571.87 "
"","410","410","$1,749.60 "
"","","411","$0.45 "
"","","415","$33,010.64 "
"","420","420","$5,009.52 "
"","","421","$34,373.44 "
"","","422","$52,495.56 "
"","","423","$0.01 "
"","","424","$0.20 "
"","","426","$0.57 "
"","430","430","$659,148.15 "
"","","432","$113,852.62 "
"","","433","$277,317.73 "
"","","434","$24,100.03 "
"","","436","$130,315.22 "
"","","437","$116,139.98 "
"","","438","$0.73 "
"","","439","$378,550.28 "
"","440","441","$3,061.32 "
"","","443","$21,266.50 "
"","","446","$2,191.96 "
"","450","453","$8,038.92 "
"","","455","$0.36 "
"","470","472","$111.59 "
"","","474","$0.59 "
"","","475","$1,561,496.53 "
"","480","481","$2,728.75 "
"","490","491","$0.00 "
"","","492","$18,812.88 "
"","","493","$112.07 "
"","","494","$346,998.71 "
"400 Total","","","$3,801,456.82 "
"500","500","500","$0.01 "
"","","504","$1,414.61 "
"","","505","$1,893,868.10 "
"","","506","$352,368.96 "
"","","507","$147,989.78 "
"","","508","$69,090.74 "
"","","509","$29,811.83 "
"","510","512","$5,890,150.73 "
"","","513","$463.05 "
"","","514","$1,174,800.32 "
"","520","521","$1,378,772.56 "
"","","526","$39,313.16 "
"","","528","$333,233.28 "
"","","529","$542,906.09 "
"","530","531","$251,198.85 "
"","","533","$245,980.62 "
"","540","541","$965,499.98 "
"","","542","$397,047.77 "
"","","549","$155,977.76 "
"","550","551","$1,165,969.16 "
"","","555","$2,663,223.08 "
"","","556","$574,484.89 "
"","560","565","$3,301,888.64 "
"","570","571","$35,080.66 "
"","","572","$13,131.08 "
"","","573","$1,334,449.68 "
"","580","581","$980,382.74 "
"","","582","$512,680.76 "
"","","583","$564,715.04 "
"","","588","$162,925.35 "
"","590","593","$502,885.45 "
"500 Total","","","$25,681,704.71 "
"600","600","600","$7,479.32 "
"","","602","$67,232.22 "
"","","603","$17,459.21 "
"","","604","$35,480.55 "
"","","605","$2,169.08 "
"","610","610","$45,327.22 "
"","","611","$78,598.41 "
"","","612","$359,707.47 "
"","","613","$10,720.84 "
"","620","622","$300,762.77 "
"","","623","$194,507.70 "
"","","624","$14,113.47 "
"","","625","$258,418.64 "
"","630","630","$58,430.56 "
"","","631","$1,085,414.17 "
"","","633","$308,595.91 "
"","","634","$199,247.33 "
"","","635","$3,829,309.77 "
"","","637","$763,049.92 "
"","640","640","$1,021,097.64 "
"","","644","$445,256.59 "
"","650","651","$382,473.21 "
"","","652","$93,860.93 "
"","","655","$29,029.68 "
"","","656","$11,264.69 "
"","660","664","$233,566.72 "
"","","665","$324,787.44 "
"","670","670","$1,141.76 "
"","","671","$501,888.09 "
"","","672","$68,133.20 "
"600 Total","","","$10,748,524.52 "
"700","700","702","$12,668.82 "
"","710","711","$804.78 "
"","","712","$93,462.01 "
"","","713","$141.54 "
"","720","721","$9,254.13 "
"","760","763","$95,507.95 "
"","780","780","$241,382.78 "
"700 Total","","","$453,222.01 "
"800","800","800","$0.01 "
"","810","813","$0.02 "
"","820","829","$154,613.60 "
"","830","830","$422,874.81 "
"","","831","$3,171.56 "
"","840","845","$29,601.25 "
"","850","852","$58,365.19 "
"","","854","$213,551.57 "
"","890","894","$57,887.33 "
"","","897","$0.01 "
"800 Total","","","$940,065.35 "
"900","920","920","$569.42 "
"","980","982","$2,699,623.26 "
"","","984","$290,908.31 "
"","","986","$277,494.53 "
"","990","990","$398,784.69 "
"","","992","$161,865.99 "
"","","994","$285,440.49 "
"","","996","$211,453.17 "
"","","999","$11,954.01 "
"900 Total","","","$4,338,093.87 "
"Grand Total","","","$87,928,223.79 "
