"Project","Provider","CLIN","Effort","Activity","ECP/REA","Swbs","Group","SOC","Owning Org","Resource","Planning Unit","Sequence","FM","Work Order","Item","Op","Scope","Task","Progress","BAC","Estimate","BCWP to BAC","BCWP to Est","ACWP","ETC","Target","Provider Target","Provider ACWP","EAC","CPI BAC","CPI Est","Baseline Start","Baseline Finish","Forecast Start","Forecast Finish","Parent - Operation","Previous ACWP","Previous Provider ACWP","Previous ETC","Previous EAC","EAC Growth"
"469","1","            ","            ","WEN","          ","830","8","13","523","523","900","900","0","942614","    L5230-000386","10","Q2-2015 JRC EFFORT            ","1509","100","0.00","104.00","0.00","104.00","417.07","0.00","0.00","0.00","0.00","417.07","0.000 ","0.249 ","3/30/2015","6/26/2015","3/30/2015","6/26/2015","    L5230-000386-10","417.07","0","0","417.07","0.00 "
"469","1","            ","            ","WEN","          ","830","8","13","523","523","900","900","0","942615","    L5230-000387","10","Q2-2015 MFG SUPPORT LCS 9/11  ","1509","100","0.00","208.00","0.00","208.00","210.46","0.00","0.00","0.00","0.00","210.46","0.000 ","0.988 ","3/30/2015","6/26/2015","3/30/2015","6/26/2015","    L5230-000387-10","210.46","0","0","210.46","0.00 "
"469","1","            ","            ","WEN","          ","830","8","13","523","523","900","900","0","942616","    L5230-000388","10","Q2-2015 PURCHASING SUPPORT    ","1510","100","0.00","104.00","0.00","104.00","61.38","0.00","0.00","0.00","0.00","61.38","0.000 ","1.694 ","3/30/2015","6/26/2015","3/30/2015","6/26/2015","    L5230-000388-10","61.38","0","0","61.38","0.00 "
"469","1","            ","            ","WEN","          ","830","8","13","523","523","900","900","0","942617","    L5230-000389","10","Q2-2015 FCN REVIEW/INCORP LCS ","1501","100","0.00","1352.00","0.00","1352.00","1195.92","0.00","0.00","0.00","0.00","1195.92","0.000 ","1.131 ","3/30/2015","6/26/2015","3/30/2015","6/26/2015","    L5230-000389-10","1195.92","0","0","1195.92","0.00 "
"469","1","            ","            ","WEN","          ","830","8","13","523","523","900","900","0","942618","    L5230-000390","10","Q2-2015 PLANNING SUPPORT      ","1534","100","0.00","104.00","0.00","104.00","2.58","0.00","0.00","0.00","0.00","2.58","0.000 ","40.310 ","3/30/2015","6/26/2015","3/30/2015","6/26/2015","    L5230-000390-10","2.58","0","0","2.58","0.00 "
"469","1","            ","            ","WEN","          ","830","8","13","523","523","900","900","0","942619","    L5230-000391","10","Q2-2015 CM SUPPORT LCS 9/11   ","1531","100","0.00","208.00","0.00","208.00","16.94","0.00","0.00","0.00","0.00","16.94","0.000 ","12.279 ","3/30/2015","6/26/2015","3/30/2015","6/26/2015","    L5230-000391-10","16.94","0","0","16.94","0.00 "
"469","1","            ","            ","WEN","          ","830","8","13","523","523","900","900","0","942620","    L5230-000392","10","Q2-2015 PROCESS EDR/MCR       ","1501","100","0.00","52.00","0.00","52.00","70.83","0.00","0.00","0.00","0.00","70.83","0.000 ","0.734 ","3/30/2015","6/26/2015","3/30/2015","6/26/2015","    L5230-000392-10","70.83","0","0","70.83","0.00 "
"469","1","            ","            ","WEN","          ","830","8","13","523","523","900","900","0","942621","    L5230-000393","10","Q2-2015 INCORP ECNS/DWG REVS  ","1525","100","0.00","780.00","0.00","780.00","542.48","0.00","0.00","0.00","0.00","542.48","0.000 ","1.438 ","3/30/2015","6/26/2015","3/30/2015","6/26/2015","    L5230-000393-10","542.48","0","0","542.48","0.00 "
"469","1","            ","            ","4CL","          ","830","8","13","523","523","900","900","0","943266","    L5230-000403","10","Q-FINAL JRC EFFORT            ","1509","99.8","0.00","208.00","0.00","207.58","115.36","1.00","0.00","0.00","0.00","116.36","0.000 ","1.799 ","6/29/2015","8/26/2016","6/29/2015","6/16/2017","    L5230-000403-10","115.36","0","1","116.36","0.00 "
"469","1","            ","            ","4CL","          ","830","8","13","523","523","900","900","0","943267","    L5230-000404","10","Q-FINAL MFG SUUPORT LCS 9/11  ","1509","99.8","0.00","208.00","0.00","207.58","1787.63","80.00","0.00","0.00","0.00","1867.63","0.000 ","0.116 ","6/29/2015","8/26/2016","6/29/2015","6/16/2017","    L5230-000404-10","1780.97","0","96","1876.97","(9.34)"
