"Project","Provider","CLIN","Effort","Activity","ECP/REA","Swbs","Group","SOC","Owning Org","Resource","Planning Unit","Sequence","FM","Work Order","Item","Op","Scope","Task","Progress","BAC","Estimate","BCWP to BAC","BCWP to Est","ACWP","ETC","Target","Provider Target","Provider ACWP","EAC","CPI BAC","CPI Est","Baseline Start","Baseline Finish","Forecast Start","Forecast Finish","1st Actual Charged Date","Completion Date"
"477","1","            ","            ","AMZ","          ","631","6","3","648","648","D4S  ","D4S   ","36","284546","    D4S00-631001","10","D4S PREP/MASK/DEGREASE        ","22","100","11","11.00 ","11.00 ","11.00 ","40.05 ","0.00 ","0.00 ","0.00 ","0.00 ","40.05 ","0.275 ","0.275 ","01/13/17","01/13/17","02/27/17","02/27/17","01/30/17","02/06/17"
"477","1","            ","            ","FAA","          ","180","1","2","TST","621","D4S  ","D4S   ","21","284130","    D4S00-180011","10","2C180C400 D4S 50CAL GUNMNT TST","8","100","6","8.00 ","6.00 ","8.00 ","8.00 ","0.00 ","0.00 ","0.00 ","0.00 ","8.00 ","0.750 ","1.000 ","12/20/16","12/23/16","02/20/17","02/24/17","01/30/17","02/06/17"
"477","1","            ","            ","EQJ","          ","992","9","2","62A","621","D2T  ","D2T   ","21","285362","    D2T00-992013","10","D2T INSTALL ERECT STRUCTURE   ","19","100","75","75.00 ","75.00 ","75.00 ","73.23 ","0.00 ","0.00 ","0.00 ","0.00 ","73.23 ","1.024 ","1.024 ","12/05/16","12/22/16","01/17/17","04/10/17","01/12/17","02/06/17"
"477","1","            ","            ","AHD","          ","625","6","4","625","625","D1S  ","D1S   ","60","283739","    D1S00-625001","10","D1S INSTALL 625 WND/WPRS-PH   ","33","100","45","213.00 ","45.00 ","213.00 ","199.00 ","0.00 ","0.00 ","0.00 ","0.00 ","199.00 ","0.226 ","1.070 ","12/21/16","02/07/17","12/14/16","02/17/17","12/15/16","02/06/17"
"477","1","            ","            ","ECE","          ","180","1","6","62S","621","F3   ","AF3   ","20","286242","    AF300-180001","10","AF3 INSTALL 180 FDNS          ","42","100","50","72.00 ","50.00 ","72.00 ","141.50 ","0.00 ","0.00 ","0.00 ","0.00 ","141.50 ","0.353 ","0.509 ","01/17/17","02/23/17","01/23/17","03/13/17","01/26/17","02/06/17"
"477","1","            ","            ","AKW","          ","150","1","5","62A","621","D2T  ","D2T   ","21","288021","    D2T00-150067","10","D2T CUT NOSE OFF              ","37","100","21","24.00 ","21.00 ","24.00 ","27.00 ","0.00 ","0.00 ","0.00 ","0.00 ","27.00 ","0.778 ","0.889 ","04/06/17","05/05/17","04/11/17","05/08/17","01/31/17","02/06/17"
"477","1","            ","            ","ALM","          ","150","1","2","62A","621","D2T  ","D2T   ","21","284569","    D2T00-150048","10","D2T STACK FIT BS 1            ","11","100","62","87.00 ","62.00 ","87.00 ","122.00 ","0.00 ","0.00 ","0.00 ","0.00 ","122.00 ","0.508 ","0.713 ","09/22/16","10/12/16","10/10/16","02/21/17","01/27/17","02/06/17"
"477","1","            ","            ","DSP","          ","602","6","6","62H","621","X    ","X02   ","40","287908","    X0000-602001","10","X02 INSTALL 602 HOTWORK       ","42","100","25","25.00 ","25.00 ","25.00 ","64.00 ","0.00 ","0.00 ","0.00 ","0.00 ","64.00 ","0.391 ","0.391 ","01/23/17","01/27/17","01/23/17","02/06/17","01/26/17","02/06/17"
"477","1","            ","            ","AMF","          ","631","6","3","648","648","D4S  ","D4S   ","36","284549","    D4S00-631003","10","D4S PAINT INT/EXT             ","22","100","73","52.00 ","73.00 ","52.00 ","16.00 ","0.00 ","0.00 ","0.00 ","0.00 ","16.00 ","4.562 ","3.250 ","01/16/17","01/17/17","02/28/17","03/01/17","01/31/17","02/06/17"
"477","1","            ","            ","AMT","          ","623","6","2","62W","621","D4S  ","D4S   ","21","285942","    D4S00-623001","10","D4S INSTALL 623 LADDERS       ","18","100","20","20.00 ","20.00 ","20.00 ","34.00 ","0.00 ","0.00 ","0.00 ","0.00 ","34.00 ","0.588 ","0.588 ","12/05/16","01/09/17","01/16/17","02/24/17","01/26/17","02/06/17"
"477","1","            ","            ","AMX","          ","631","6","3","648","648","D4S  ","D4S   ","36","284548","    D4S00-631002","10","D4S BLAST INT/EXT             ","22","100","55","71.00 ","55.00 ","71.00 ","68.00 ","0.00 ","0.00 ","0.00 ","0.00 ","68.00 ","0.809 ","1.044 ","01/18/17","01/20/17","03/02/17","03/03/17","01/30/17","02/06/17"
"477","1","            ","            ","AEX","          ","167","1","2","62W","621","D4S  ","D4SS1 ","21","282546","    D4S00-167001","10","D4SS1 INSTALL 167 CLOSURES    ","18","100","79","40.00 ","79.00 ","40.00 ","36.00 ","0.00 ","0.00 ","0.00 ","0.00 ","36.00 ","2.194 ","1.111 ","02/29/16","03/21/16","10/17/16","02/17/17","01/25/17","02/06/17"
"477","1","            ","            ","DDH","BA-0119396","321","3","2","62H","621","S1U  ","S1U   ","68","284612","    L9900-X00220","10","106030 FAB/INSTL ELEC HW S1U  ","18","100","0","66.00 ","0.00 ","66.00 ","2.00 ","0.00 ","0.00 ","0.00 ","0.00 ","2.00 ","0.000 ","33.000 ","02/29/16","04/07/16","04/25/16","02/10/17","10/18/16","02/06/17"
"477","1","            ","            ","ALG","PCW 741   ","167","1","4","62W","621","D2T  ","D2T   ","21","287660","    L9900-X00276","10","PCW 741 105407 D2T INSTL 167  ","30","100","16","16.00 ","16.00 ","16.00 ","16.00 ","0.00 ","0.00 ","0.00 ","0.00 ","16.00 ","1.000 ","1.000 ","02/06/17","03/10/17","02/24/17","04/03/17","02/01/17","02/06/17"
"477","1","            ","            ","CKV","          ","512","5","2","62W","621","D3S  ","D3SS2 ","21","280207","    D3SS2-512002","10","D3SS2 INSTL 512 LOUVERS       ","18","100","16","30.00 ","16.00 ","30.00 ","20.00 ","0.00 ","0.00 ","0.00 ","0.00 ","20.00 ","0.800 ","1.500 ","01/16/17","02/06/17","01/23/17","02/10/17","08/11/16","02/06/17"
