"Project","Provider","CLIN","Effort","Activity","ECP/REA","Swbs","Group","SOC","Owning Org","Resource","Planning Unit","Sequence","FM","Work Order","Item","Op","Scope","Task","Progress","BAC","Estimate","BCWP to BAC","BCWP to Est","ACWP","ETC","Target","Provider Target","Provider ACWP","EAC","CPI BAC","CPI Est","Baseline Start","Baseline Finish","Forecast Start","Forecast Finish","1st Actual Charged Date","Completion Date"
"471","1","            ","            ","321","          ","573","5","8","TST","624","S    ","S00   ","47","282599","    S0000-573006","10","3C573C401 LRHS OVRHD CRANE TST","62","100","235","235.00 ","235.00 ","235.00 ","134.00 ","0.00 ","0.00 ","0.00 ","0.00 ","134.00 ","1.754 ","1.754 ","04/18/16","05/19/16","01/10/17","02/22/17","01/10/17","02/06/17"
"471","1","            ","            ","894","          ","551","5","8","TST","623","S    ","S00   ","23","276036","    S0000-551022","10","SW GROOM SYSTEM FOR 4C551C400 ","61","100","446","190.00 ","446.00 ","190.00 ","376.00 ","0.00 ","0.00 ","0.00 ","0.00 ","376.00 ","1.186 ","0.505 ","05/09/16","06/28/16","02/02/16","03/02/17","02/11/16","02/06/17"
"471","1","            ","            ","RAF","          ","167","1","6","621","621","D2   ","CD2   ","44","275389","    CD200-167001","10","CD2 INST 167 BERPS            ","42","100","26","27.00 ","26.00 ","27.00 ","61.00 ","0.00 ","0.00 ","0.00 ","0.00 ","61.00 ","0.426 ","0.443 ","10/12/15","10/29/15","01/25/16","02/08/17","01/19/16","02/06/17"
"471","1","            ","            ","RAR","          ","622","6","6","621","621","D3   ","HD3   ","44","266078","    HD300-622001","10","HD3 INST 622 STAN AT MEZ      ","42","100","42","48.00 ","42.00 ","48.00 ","155.00 ","0.00 ","0.00 ","0.00 ","0.00 ","155.00 ","0.271 ","0.310 ","03/18/15","04/16/15","03/18/15","02/16/17","03/26/15","02/06/17"
"471","1","            ","            ","RAU","          ","622","6","6","621","621","D4   ","HD4   ","44","261523","    HD400-622001","10","HD4 INST 622 STANCHIONS       ","42","100","12","24.00 ","12.00 ","24.00 ","29.50 ","0.00 ","0.00 ","0.00 ","0.00 ","29.50 ","0.407 ","0.814 ","10/12/15","10/29/15","05/04/15","02/16/17","12/22/16","02/06/17"
"471","1","            ","            ","RCZ","          ","622","6","6","621","621","A1   ","MA1   ","44","261099","    MA100-622002","10","MA1 INSTALL 622 FLRPLTS       ","42","100","382","848.00 ","382.00 ","848.00 ","2324.01 ","0.00 ","0.00 ","0.00 ","0.00 ","2324.01 ","0.164 ","0.365 ","10/08/14","11/18/14","11/24/14","02/02/17","11/05/14","02/06/17"
"471","1","            ","            ","PPU","          ","507","5","8","624","624","F3   ","MF3   ","105","277310","    MF300-507001","10","MF3 INSTALL 507 LABEL PLATES  ","54","100","13","13.00 ","13.00 ","13.00 ","0.50 ","0.00 ","0.00 ","0.00 ","0.00 ","0.50 ","26.000 ","26.000 ","08/26/16","09/15/16","01/03/17","02/16/17","01/06/17","02/06/17"
"471","1","            ","            ","RDZ","          ","631","6","8","648","648","B1   ","TB1   ","151","280640","    TB100-631002","10","TB1 PAINT COMPT CMPLT 3-2-0-W ","25","100","23","23.00 ","23.00 ","23.00 ","116.90 ","0.00 ","0.00 ","0.00 ","0.00 ","116.90 ","0.197 ","0.197 ","09/08/15","09/23/15","05/04/16","02/14/17","01/30/17","02/06/17"
"471","1","            ","            ","PMZ","          ","507","5","8","624","624","F3   ","LF3   ","105","276137","    LF300-507001","10","LF3 INSTALL 507 LABEL PLATES  ","54","100","13","13.00 ","13.00 ","13.00 ","0.50 ","0.00 ","0.00 ","0.00 ","0.00 ","0.50 ","26.000 ","26.000 ","11/02/15","11/19/15","01/26/17","03/13/17","01/13/17","02/06/17"
"471","1","            ","            ","904","          ","514","5","8","TST","623","S    ","S00   ","43","275937","    S0000-514006","10","SW 4C516C400 GROOM CHLD WATER ","61","100","37","126.00 ","37.00 ","126.00 ","145.40 ","0.00 ","0.00 ","0.00 ","0.00 ","145.40 ","0.254 ","0.867 ","07/28/16","09/16/16","03/02/16","03/20/17","01/16/17","02/06/17"
"471","1","            ","            ","HMP","104580","637","6","6","625","625","S    ","D1S   ","43","288187","    L9900-X02318","10","104580 D1S ADD BLK-OUT SHEATH ","40","100","0","48.00 ","0.00 ","48.00 ","34.25 ","0.00 ","0.00 ","0.00 ","0.00 ","34.25 ","0.000 ","1.401 ","06/27/16","08/01/16","08/03/16","02/24/17","01/31/17","02/06/17"
"471","1","            ","            ","903","          ","514","5","8","TST","623","S    ","S00   ","43","274549","    S0000-514007","10","SW 4C516C400 OPS TST REFRIG   ","61","100","40","126.00 ","40.00 ","126.00 ","96.00 ","0.00 ","0.00 ","0.00 ","0.00 ","96.00 ","0.417 ","1.312 ","03/04/16","04/22/16","02/02/16","03/20/17","02/25/16","02/06/17"
"471","1","            ","            ","PMR","          ","507","5","8","624","624","D2   ","AD2   ","105","276129","    AD200-507001","10","AD2 INSTALL 507 LABEL PLATES  ","54","100","19","19.00 ","19.00 ","19.00 ","8.50 ","0.00 ","0.00 ","0.00 ","0.00 ","8.50 ","2.235 ","2.235 ","05/06/16","05/25/16","02/17/17","03/08/17","02/03/17","02/06/17"
"471","1","            ","            ","RHK","          ","631","6","8","648","648","S2   ","WS2   ","151","282817","    WS200-631001","10","WS2 PAINT DECK COMPT 3-65-2-T ","25","100","56","4.00 ","56.00 ","4.00 ","16.00 ","0.00 ","0.00 ","0.00 ","0.00 ","16.00 ","3.500 ","0.250 ","01/12/16","03/10/16","01/03/17","03/21/17","01/10/17","02/06/17"
"471","1","            ","            ","RHP","          ","631","6","8","648","648","D2   ","LD2   ","151","278891","    LD200-631004","10","LD2 PAINT COMPT CMPLT03-30-0-C","25","100","145","136.00 ","145.00 ","136.00 ","369.50 ","0.00 ","0.00 ","0.00 ","0.00 ","369.50 ","0.392 ","0.368 ","11/03/15","01/18/16","12/01/15","03/27/17","06/06/16","02/06/17"
"471","1","            ","            ","322","          ","573","5","8","TST","624","S    ","S00   ","47","282601","    S0000-573007","10","3C573C404 LR&HS OVRHD CRN DYN ","62","100","235","235.00 ","235.00 ","235.00 ","102.50 ","0.00 ","0.00 ","0.00 ","0.00 ","102.50 ","2.293 ","2.293 ","05/20/16","06/23/16","01/03/17","02/22/17","01/13/17","02/06/17"
