"Project","Provider","CLIN","Effort","Activity","ECP/REA","Swbs","Group","SOC","Owning Org","Resource","Planning Unit","Sequence","FM","Work Order","Item","Op","Scope","Task","Progress","BAC","Estimate","BCWP to BAC","BCWP to Est","ACWP","ETC","Target","Provider Target","Provider ACWP","EAC","CPI BAC","CPI Est","Baseline Start","Baseline Finish","Forecast Start","Forecast Finish","1st Actual Charged Date","Completion Date"
"475","1","            ","            ","KKS","          ","330","3","6","626","626","S    ","AD2   ","65","285713","    AD200-330001","10","AD2 H/U 330 LC (01-30-1)      ","41","100","80","22.00 ","80.00 ","22.00 ","142.57 ","0.00 ","0.00 ","0.00 ","0.00 ","142.57 ","0.561 ","0.154 ","08/05/16","10/20/16","11/07/16","04/03/17","12/05/16","02/06/17"
"475","1","            ","            ","UMG","          ","244","2","6","624","624","S    ","SS0   ","66","286354","    SS000-244010","10","SS0 INST LSB OIL SLS S/G IMP S","39","100","25","25.00 ","25.00 ","25.00 ","24.00 ","0.00 ","0.00 ","0.00 ","0.00 ","24.00 ","1.042 ","1.042 ","05/20/16","06/02/16","04/05/17","04/12/17","01/30/17","02/06/17"
"475","1","            ","            ","UME","          ","241","2","6","624","624","S    ","SS0   ","66","284854","    SS000-241027","10","SS0 INSTL S/G THRST STP SHM   ","39","100","34","34.00 ","34.00 ","34.00 ","32.00 ","0.00 ","0.00 ","0.00 ","0.00 ","32.00 ","1.062 ","1.062 ","05/31/16","06/10/16","03/27/17","04/12/17","02/01/17","02/06/17"
"475","1","            ","            ","UMD","          ","241","2","6","624","624","S    ","SS0   ","66","284797","    SS000-241025","10","SS0 MCH S/G THRST PD STP SHMS ","39","100","68","68.00 ","68.00 ","68.00 ","75.00 ","0.00 ","0.00 ","0.00 ","0.00 ","75.00 ","0.907 ","0.907 ","05/17/16","05/27/16","03/08/17","03/24/17","01/31/17","02/06/17"
"475","1","            ","            ","UKS","          ","243","2","6","624","624","S    ","SS0   ","66","286374","    SS000-243009","10","SS0 INSTL SHFTNG A2 STBD      ","39","100","149","149.00 ","149.00 ","149.00 ","146.00 ","0.00 ","0.00 ","0.00 ","0.00 ","146.00 ","1.021 ","1.021 ","03/29/16","04/11/16","12/05/16","02/21/17","12/14/16","02/06/17"
"475","1","            ","            ","LBP","INWP207401","671","6","6","625","625","S    ","S00   ","53","287537","    L9900-X00859","10","103173 INWP207401 F/S SPRK BRD","40","100","0","56.00 ","0.00 ","56.00 ","32.50 ","0.00 ","0.00 ","0.00 ","0.00 ","32.50 ","0.000 ","1.723 ","08/11/16","08/24/16","09/26/16","07/31/17","01/18/17","02/06/17"
"475","1","            ","            ","PZK","          ","505","5","6","624","624","A2   ","MA2   ","66","281203","    A2000-505001","10","MA2 INSTL 505 RCH ROD HRDWR   ","39","100","48","48.00 ","48.00 ","48.00 ","32.00 ","0.00 ","0.00 ","0.00 ","0.00 ","32.00 ","1.500 ","1.500 ","01/22/16","01/28/16","06/26/17","07/07/17","02/03/17","02/06/17"
"475","1","            ","            ","LMT","          ","631","6","6","648","648","S    ","S00   ","56","288068","    L9900-R00210","10","RWK-SW-ADDED HTWK ABOVE WTR LN","810","100","0","200.00 ","0.00 ","200.00 ","210.71 ","0.00 ","0.00 ","0.00 ","0.00 ","210.71 ","0.000 ","0.949 ","06/14/16","09/08/16","05/09/16","03/24/17","01/27/17","02/06/17"
"475","1","            ","            ","PZG","          ","505","5","6","624","624","F2   ","AF2   ","66","278387","    AF200-505003","10","AF2 INSTALL RCH ROD HRDWR     ","39","100","32","32.00 ","32.00 ","32.00 ","32.00 ","0.00 ","0.00 ","0.00 ","0.00 ","32.00 ","1.000 ","1.000 ","04/11/16","04/15/16","07/19/17","07/31/17","01/30/17","02/06/17"
"475","1","            ","            ","CYA","          ","180","1","2","621","621","F2U  ","F2U   ","20","288164","    L9900-R00212","10","RWK-F2U-RELOCATE FDN D11      ","800","100","0","40.00 ","0.00 ","40.00 ","61.00 ","0.00 ","0.00 ","0.00 ","0.00 ","61.00 ","0.000 ","0.656 ","08/17/15","09/23/15","11/02/15","02/02/17","01/30/17","02/06/17"
