"Project","Provider","CLIN","Effort","Activity","ECP/REA","Swbs","Group","SOC","Owning Org","Resource","Planning Unit","Sequence","FM","Work Order","Item","Op","Scope","Task","Progress","BAC","Estimate","BCWP to BAC","BCWP to Est","ACWP","ETC","Target","Provider Target","Provider ACWP","EAC","CPI BAC","CPI Est","Baseline Start","Baseline Finish","Forecast Start","Forecast Finish","Parent - Operation","Previous ACWP","Previous Provider ACWP","Previous ETC","Previous EAC","EAC Growth"
"475","1","            ","            ","WQC","          ","34","2","13","180","180","900","900","0","937593","    L1800-000002","10","Q3-2013 SECURITY              ","1531","100","55.00","55.00","55.00","55.00","57.33","0.00","0.00","0.00","0.00","57.33","0.959 ","0.959 ","7/1/2013","9/27/2013","7/1/2013","9/27/2013","    L1800-000002-10","57.33","0","0","57.33","0.00 "
"475","1","            ","            ","WQE","          ","34","2","13","180","180","900","900","0","938683","    L1800-000004","10","Q1-2014 SECURITY              ","1531","100","165.00","165.00","165.00","165.00","163.77","0.00","0.00","0.00","0.00","163.77","1.008 ","1.008 ","1/2/2014","3/28/2014","1/2/2014","3/28/2014","    L1800-000004-10","163.77","0","0","163.77","0.00 "
"475","1","            ","            ","WQD","          ","34","2","13","180","180","900","900","0","937594","    L1800-000003","10","Q4-2013 SECURITY              ","1531","100","45.00","45.00","45.00","45.00","41.30","0.00","0.00","0.00","0.00","41.30","1.090 ","1.090 ","9/30/2013","12/23/2013","9/30/2013","12/23/2013","    L1800-000003-10","41.3","0","0","41.3","0.00 "
"475","1","            ","            ","WQF","          ","34","2","13","180","180","900","900","0","938684","    L1800-000005","10","Q2-2014 SECURITY              ","1531","100","187.00","187.00","187.00","187.00","128.40","0.00","0.00","0.00","0.00","128.40","1.456 ","1.456 ","3/31/2014","6/27/2014","3/31/2014","6/27/2014","    L1800-000005-10","128.4","0","0","128.4","0.00 "
"475","1","            ","            ","WQB","          ","34","2","13","180","180","900","900","0","937592","    L1800-000001","10","Q2-2013 SECURITY              ","1531","100","35.00","35.00","35.00","35.00","15.00","0.00","0.00","0.00","0.00","15.00","2.333 ","2.333 ","5/6/2013","6/28/2013","5/6/2013","6/28/2013","    L1800-000001-10","15","0","0","15","0.00 "
"475","1","            ","            ","888","          ","34","2","13","180","180","900","900","0","938685","    L1800-000006","10","Q3-2014 SECURITY              ","1531","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753","    L1800-000006-10","0","0","0","0","0.00 "
"475","1","            ","            ","888","          ","34","2","13","180","180","900","900","0","938686","    L1800-000007","10","Q4-2014 SECURITY              ","1531","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753","    L1800-000007-10","0","0","0","0","0.00 "
"475","1","            ","            ","888","          ","34","2","13","180","180","900","900","0","938687","    L1800-000008","10","Q1-2015 SECURITY              ","1531","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753","    L1800-000008-10","0","0","0","0","0.00 "
"475","1","            ","            ","888","          ","34","2","13","180","180","900","900","0","938688","    L1800-000009","10","Q2-2015 SECURITY              ","1531","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753","    L1800-000009-10","0","0","0","0","0.00 "
"475","1","            ","            ","888","          ","34","2","13","180","180","900","900","0","938689","    L1800-000010","10","Q3-2015 SECURITY              ","1531","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753","    L1800-000010-10","0","0","0","0","0.00 "
