"Project","Provider","CLIN","Effort","Activity","ECP/REA","Swbs","Group","SOC","Owning Org","Resource","Planning Unit","Sequence","FM","Work Order","Item","Op","Scope","Task","Progress","BAC","Estimate","BCWP to BAC","BCWP to Est","ACWP","ETC","Target","Provider Target","Provider ACWP","EAC","CPI BAC","CPI Est","Baseline Start","Baseline Finish","Forecast Start","Forecast Finish"
"472","1","LCS11 CHIT  ","93","0","          ","234","2","6","624","624","900","900","9","261971","    L9900-V00002","10","VEN-SW-MMC TO ASSIST LMCO TO  ","890","100","0.00","80.00","0.00","80.00","19.02","0.00","0.00","0.00","0.00","19.02","0.00","4.21","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","93 Total","","","","","","","","","","","","","","","","","0.00","80.00","0.00","80.00","19.02","0.00","0.00","0.00","0.00","19.02","","","","","",""
"472","1","LCS11 CHIT  ","137","0","          ","243","2","6","624","624","940","940","66","259117","    L9900-V00001","10","VEN-940 MMC TO ASSIST SETTING ","890","100","0.00","158.00","0.00","158.00","162.00","0.00","0.00","0.00","0.00","162.00","0.00","0.98","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","137 Total","","","","","","","","","","","","","","","","","0.00","158.00","0.00","158.00","162.00","0.00","0.00","0.00","0.00","162.00","","","","","",""
"472","1","LCS11 CHIT  ","172","0","          ","241","2","6","624","624","900","900","66","263357","    L9900-V00003","10","VEN-SW-CLEAN AREA AROUND      ","890","100","0.00","20.00","0.00","20.00","18.00","0.00","0.00","0.00","0.00","18.00","0.00","1.11","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","172 Total","","","","","","","","","","","","","","","","","0.00","20.00","0.00","20.00","18.00","0.00","0.00","0.00","0.00","18.00","","","","","",""
"472","1","LCS11 CHIT  ","176","0","          ","241","2","6","624","624","940","940","66","265087","    L9900-V00004","10","VEN-940-PROVIDE INDUSTRIAL    ","890","100","0.00","180.00","0.00","180.00","160.00","0.00","0.00","0.00","0.00","160.00","0.00","1.12","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","176 Total","","","","","","","","","","","","","","","","","0.00","180.00","0.00","180.00","160.00","0.00","0.00","0.00","0.00","160.00","","","","","",""
"472","1","LCS11 CHIT  ","230","0","          ","301","3","6","626","626","D2   ","LD2   ","6","269933","    L9900-V00005","10","VEN-LD2-LM EQUIPMENT LATE     ","890","100","0.00","188.00","0.00","188.00","159.50","0.00","0.00","0.00","0.00","159.50","0.00","1.18","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","230 Total","","","","","","","","","","","","","","","","","0.00","188.00","0.00","188.00","159.50","0.00","0.00","0.00","0.00","159.50","","","","","",""
"472","1","LCS11 CHIT  ","248","0","          ","243","2","6","624","624","S    ","S00   ","110","271035","    L9900-V00006","10","VEN-SW-THRUST BEARING OPEN &  ","890","1","0.00","800.00","0.00","8.00","16.00","784.00","0.00","0.00","0.00","800.00","0.00","0.50","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","248 Total","","","","","","","","","","","","","","","","","0.00","800.00","0.00","8.00","16.00","784.00","0.00","0.00","0.00","800.00","","","","","",""
"472","1","LCS11 CHIT  ","249","0","          ","243","2","6","624","624","S    ","S00   ","110","271036","    L9900-V00007","10","VEN-SW-REPAIR & CLEANING OF   ","890","100","0.00","400.00","0.00","400.00","644.53","0.00","0.00","0.00","0.00","644.53","0.00","0.62","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","249 Total","","","","","","","","","","","","","","","","","0.00","400.00","0.00","400.00","644.53","0.00","0.00","0.00","0.00","644.53","","","","","",""
"472","1","LCS11 CHIT  ","251","0","          ","262","2","6","623","623","S    ","S00   ","999","273711","    L9900-V00008","10","VEN-SW-262 PERMANENT FIX 623  ","890","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"472","1","LCS11 CHIT  ","251","0","          ","262","2","6","623","623","S    ","S00   ","109","","    L9900-V00009","10","VEN-SW-262 PERMANENT FIX FOR  ","890","0","0.00","1500.00","0.00","0.00","0.00","1500.00","0.00","0.00","0.00","1500.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"472","1","LCS11 CHIT  ","251","0","          ","262","2","6","623","621","S    ","S00   ","9","271963","    L9900-V00010","10","VEN-SW-262 PERMANENT FIX 621  ","890","100","0.00","124.00","0.00","124.00","129.00","0.00","0.00","0.00","0.00","129.00","0.00","0.96","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"472","1","LCS11 CHIT  ","251","0","          ","262","2","6","623","624","S    ","S00   ","9","278801","    L9900-V00011","10","VEN-SW-262 PERMANENT FIX 624  ","890","100","0.00","24.00","0.00","24.00","16.00","0.00","0.00","0.00","0.00","16.00","0.00","1.50","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"472","1","LCS11 CHIT  ","251","0","          ","262","2","6","623","626","S    ","S00   ","9","","    L9900-V00012","10","VEN-SW-262 PERMANENT FIX 626  ","890","0","0.00","80.00","0.00","0.00","0.00","80.00","0.00","0.00","0.00","80.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"472","1","LCS11 CHIT  ","251","0","NO LABOR  ","262","2","6","623","623","S    ","S00   ","999","279560","    L9900-V00014","10","VEN-SW-262 PERM FIX GAUGE BRDS","890","100","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","251 Total","","","","","","","","","","","","","","","","","0.00","1728.00","0.00","148.00","145.00","1580.00","0.00","0.00","0.00","1725.00","","","","","",""
"472","1","LCS11 CHIT  ","383","0","          ","992","9","8","645","645","S    ","S00   ","94","278752","    L9900-V00013","10","VEN-SW-MOVE LMCO CONEX BOXES  ","890","100","0.00","8.00","0.00","8.00","0.00","0.00","0.00","0.00","0.00","0.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","383 Total","","","","","","","","","","","","","","","","","0.00","8.00","0.00","8.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","",""
"472","1","LCS11 CHIT  ","524","0","          ","565","5","8","623","623","S3LE2","S2L   ","109","283131","    L9900-V00016","10","VEN-S2L-PIPE DAMAGED SEA TRIAL","890","50","0.00","824.00","0.00","412.00","555.66","238.00","0.00","0.00","0.00","793.66","0.00","0.74","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","524 Total","","","","","","","","","","","","","","","","","0.00","824.00","0.00","412.00","555.66","238.00","0.00","0.00","0.00","793.66","","","","","",""
"472","1","LCS11 CHIT  ","527","0","CF 2210   ","262","2","8","623","623","S2   ","MS2   ","109","282394","    L9900-V00015","10","VEN-MS2-DARK SHIP LUBE OIL    ","890","40","0.00","1540.00","0.00","616.00","1510.02","143.00","0.00","0.00","0.00","1653.02","0.00","0.41","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","527 Total","","","","","","","","","","","","","","","","","0.00","1540.00","0.00","616.00","1510.02","143.00","0.00","0.00","0.00","1653.02","","","","","",""
"472","1","LCS11 CHIT  ","548","0","          ","712","7","8","624","621","S    ","S00   ","9","285130","    L9900-V00018","10","VEN-SW-WEAPONS COVER TEMPLATE ","890","0","0.00","400.00","0.00","0.00","0.00","400.00","0.00","0.00","0.00","400.00","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","548 Total","","","","","","","","","","","","","","","","","0.00","400.00","0.00","0.00","0.00","400.00","0.00","0.00","0.00","400.00","","","","","",""
"472","1","LCS11 CHIT  ","556","0","          ","243","2","8","624","624","A2   ","MA2   ","158","284576","    L9900-V00017","10","VEN-MA2-JAURE BOLT DISPOSITION","890","45","0.00","280.00","0.00","126.00","122.00","152.00","0.00","0.00","0.00","274.00","0.00","1.03","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","556 Total","","","","","","","","","","","","","","","","","0.00","280.00","0.00","126.00","122.00","152.00","0.00","0.00","0.00","274.00","","","","","",""
"472","1","LCS11 CHIT  ","592","0","          ","321","3","6","626","626","D1   ","LD1   ","30","285948","    L9900-V00019","10","VEN-LD1-FAB PLATE/CABNT #0592 ","890","100","0.00","20.00","0.00","20.00","0.50","0.00","0.00","0.00","0.00","0.50","0.00","40.00","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"","","","592 Total","","","","","","","","","","","","","","","","","0.00","20.00","0.00","20.00","0.50","0.00","0.00","0.00","0.00","0.50","","","","","",""
"","","","Grand Total","","","","","","","","","","","","","","","","","0.00","13232.00","0.00","4708.00","7023.96","6594.00","0.00","0.00","0.00","13617.96","0.000","0.670","","","",""
