"Project","Provider","CLIN","Effort","Activity","ECP/REA","Swbs","Group","SOC","Owning Org","Resource","Planning Unit","Sequence","FM","Work Order","Item","Op","Scope","Task","Progress","BAC","Estimate","BCWP to BAC","BCWP to Est","ACWP","ETC","Target","Provider Target","Provider ACWP","EAC","CPI BAC","CPI Est","Baseline Start","Baseline Finish","Forecast Start","Forecast Finish","1st Actual Charged Date","Completion Date"
"473","1","            ","            ","LPD","          ","631","6","8","648","648","D3   ","HD3   ","63","285628","    HD300-631005","10","HD3 PAINT COMPT CMPLT 1-54-2-Q","25","100","53","40.00 ","53.00 ","40.00 ","32.00 ","0.00 ","0.00 ","0.00 ","0.00 ","32.00 ","1.656 ","1.250 ","09/20/16","12/15/16","03/10/17","06/01/17","01/30/17","02/06/17"
"473","1","            ","            ","EGP","          ","622","6","6","62W","621","D4   ","HD4   ","107","273592","    HD400-622001","10","HD4 INSTALL 622 STANCHIONS    ","42","100","3","35.00 ","3.00 ","35.00 ","125.00 ","0.00 ","0.00 ","0.00 ","0.00 ","125.00 ","0.024 ","0.280 ","09/29/15","10/14/15","10/30/15","04/21/17","07/11/16","02/06/17"
"473","1","            ","            ","FBP","101700","583","5","6","625","625","D4   ","HD4   ","33","283542","    L9900-X00761","10","101700 HD4 583 LF RFT THIMBLES","40","100","0","44.00 ","0.00 ","44.00 ","40.50 ","0.00 ","0.00 ","0.00 ","0.00 ","40.50 ","0.000 ","1.086 ","09/17/15","10/02/15","01/27/17","01/30/17","01/20/17","02/06/17"
"473","1","            ","            ","LXM","          ","320","3","8","TST","626","S    ","S00   ","141","283691","    S0000-320004","10","3C320C400 MSN SYS IN/OUT P    ","56","100","241","150.00 ","241.00 ","150.00 ","580.58 ","0.00 ","0.00 ","0.00 ","0.00 ","580.58 ","0.415 ","0.258 ","05/23/16","06/23/16","11/11/16","02/01/17","11/10/16","02/06/17"
"473","1","            ","            ","KZT","          ","631","6","8","648","648","E1   ","GE1   ","63","278241","    GE100-631003","10","GE1 PAINT COMPT CMPLT 2-26-0-L","25","100","13","13.00 ","13.00 ","13.00 ","136.00 ","0.00 ","0.00 ","0.00 ","0.00 ","136.00 ","0.096 ","0.096 ","12/22/15","03/24/16","03/28/16","04/24/17","06/15/16","02/06/17"
"473","1","            ","            ","KZW","          ","631","6","8","648","648","E2   ","GE2   ","63","278351","    GE200-631009","10","GE2 PAINT COMPT CMPLT 2-43-1-Q","25","100","38","38.00 ","38.00 ","38.00 ","85.93 ","0.00 ","0.00 ","0.00 ","0.00 ","85.93 ","0.442 ","0.442 ","12/22/15","03/24/16","04/04/16","06/06/17","05/12/16","02/06/17"
"473","1","            ","            ","ECG","106415","180","1","6","621","621","A1   ","MA1   ","44","286402","    L9900-X00815","10","106415 MDFY SHFT BRNG FDNS    ","42","100","0","78.00 ","0.00 ","78.00 ","185.50 ","0.00 ","0.00 ","0.00 ","0.00 ","185.50 ","0.000 ","0.420 ","03/20/15","04/30/15","06/16/15","02/10/17","12/19/16","02/06/17"
"473","1","            ","            ","LNG","          ","631","6","8","648","648","A1   ","RA1   ","63","285656","    RA100-631005","10","RA1 PAINT COMPT CMPLT 3-46-2-L","25","100","5","48.00 ","5.00 ","48.00 ","32.00 ","0.00 ","0.00 ","0.00 ","0.00 ","32.00 ","0.156 ","1.500 ","05/16/16","08/10/16","02/01/17","03/24/17","02/01/17","02/06/17"
"473","1","            ","            ","KLQ","          ","304","3","6","626","626","D2   ","LD2   ","75","284330","    LD200-304005","10","LD2 PULL WAVE GUIDE CABLES    ","41","100","220","240.00 ","220.00 ","240.00 ","309.77 ","0.00 ","0.00 ","0.00 ","0.00 ","309.77 ","0.710 ","0.775 ","08/26/16","10/07/16","01/13/17","02/10/17","01/11/17","02/06/17"
"473","1","            ","            ","LNW","          ","631","6","8","648","648","D1   ","AD1   ","63","277499","    AD100-631006","10","AD1 PAINT COMPT CPLT 01-25-5-L","25","100","22","78.00 ","22.00 ","78.00 ","165.00 ","0.00 ","0.00 ","0.00 ","0.00 ","165.00 ","0.133 ","0.473 ","05/31/16","08/24/16","03/07/16","02/28/17","06/27/16","02/06/17"
"473","1","            ","            ","LNG","          ","631","6","8","648","648","A1   ","RA1   ","63","285657","    RA100-631006","10","RA1 PAINT COMPT CMPLT 3-47-2-C","25","100","51","80.00 ","51.00 ","80.00 ","58.00 ","0.00 ","0.00 ","0.00 ","0.00 ","58.00 ","0.879 ","1.379 ","05/16/16","08/10/16","02/01/17","03/24/17","01/30/17","02/06/17"
"473","1","            ","            ","237","          ","192","1","6","TST","621","D2   ","D2    ","154","276817","    D2000-192002","10","2C192C401/02 D2 COMPRTMNT TEST","45","100","234","234.00 ","234.00 ","234.00 ","487.38 ","0.00 ","0.00 ","0.00 ","0.00 ","487.38 ","0.480 ","0.480 ","01/18/16","02/17/16","09/06/16","02/03/17","09/09/16","02/06/17"
"473","1","            ","            ","LNT","          ","631","6","8","648","648","D2   ","OD2   ","63","287370","    OD200-631011","10","OD2 PAINT DECK COMPT 1-35-1-L ","25","100","27","2.00 ","27.00 ","2.00 ","8.00 ","0.00 ","0.00 ","0.00 ","0.00 ","8.00 ","3.375 ","0.250 ","03/24/16","06/17/16","01/13/17","02/24/17","01/31/17","02/06/17"
"473","1","            ","            ","LNT","          ","631","6","8","648","648","D2   ","OD2   ","63","287369","    OD200-631010","10","OD2 PAINT DECK COMPT 1-34-3-L ","25","100","27","2.00 ","27.00 ","2.00 ","8.00 ","0.00 ","0.00 ","0.00 ","0.00 ","8.00 ","3.375 ","0.250 ","03/24/16","06/17/16","01/13/17","02/24/17","01/30/17","02/06/17"
"473","1","            ","            ","LNT","          ","631","6","8","648","648","D2   ","OD2   ","63","287366","    OD200-631008","10","OD2 PAINT DECK COMPT 1-33-1-L ","25","100","27","2.00 ","27.00 ","2.00 ","0.52 ","0.00 ","0.00 ","0.00 ","0.00 ","0.52 ","51.923 ","3.846 ","03/24/16","06/17/16","01/13/17","02/24/17","01/30/17","02/06/17"
"473","1","            ","            ","LEL","          ","304","3","6","626","626","S    ","S00   ","41","288266","    L9900-R00342","10","RWK-SW-REMOVE DAMAGED CABLE   ","800","100","0","138.00 ","0.00 ","138.00 ","136.00 ","0.00 ","0.00 ","0.00 ","0.00 ","136.00 ","0.000 ","1.015 ","02/16/16","07/06/16","03/21/16","04/03/17","01/31/17","02/06/17"
"473","1","            ","            ","977","          ","542","5","6","TST","623","A2   ","MA2   ","12","277053","    MA200-542001","10","2C542C400 F/H JP-5 54-AFT SEG6","46","100","89","94.00 ","89.00 ","94.00 ","241.50 ","0.00 ","0.00 ","0.00 ","0.00 ","241.50 ","0.369 ","0.389 ","11/09/16","12/13/16","11/11/16","02/24/17","11/07/16","02/06/17"
"473","1","            ","            ","882","MULTI     ","555","5","8","TST","623","S    ","S00   ","23","269573","    L9900-X00344","10","MULTI AD SPLS SHLD AFFF SOPV  ","61","100","0","40.00 ","0.00 ","40.00 ","32.00 ","0.00 ","0.00 ","0.00 ","0.00 ","32.00 ","0.000 ","1.250 ","05/13/16","07/13/16","09/07/16","02/09/17","01/16/17","02/06/17"
"473","1","            ","            ","901","          ","529","5","8","TST","623","S    ","S00   ","23","281216","    S0000-529002","10","SW 4C528C400 OPS TST MD/SCDRY ","61","100","5","126.00 ","5.00 ","126.00 ","197.00 ","0.00 ","0.00 ","0.00 ","0.00 ","197.00 ","0.025 ","0.640 ","04/25/16","05/25/16","09/12/16","02/10/17","09/20/16","02/06/17"
"473","1","            ","            ","LNU","          ","631","6","8","648","648","D1   ","PD1   ","63","277526","    PD100-631003","10","PD1 PAINT COMPT CPLT 01-25-1-C","25","100","27","52.00 ","27.00 ","52.00 ","126.00 ","0.00 ","0.00 ","0.00 ","0.00 ","126.00 ","0.214 ","0.413 ","02/19/16","05/13/16","04/04/16","02/17/17","04/22/16","02/13/17"
"473","1","            ","            ","975","          ","542","5","6","TST","623","E2   ","ME2   ","12","281304","    ME200-542001","10","2C542C400 F/H JP-5 34-45 SEG 4","46","100","89","94.00 ","89.00 ","94.00 ","215.00 ","0.00 ","0.00 ","0.00 ","0.00 ","215.00 ","0.414 ","0.437 ","09/06/16","10/06/16","11/25/16","02/10/17","11/15/16","02/13/17"
"473","1","            ","            ","LPH","          ","631","6","8","648","648","D2   ","LD2   ","63","277843","    LD200-631005","10","LD2 PAINT COMPT CMPL 02-31-1-C","25","100","34","148.00 ","34.00 ","148.00 ","284.44 ","0.00 ","0.00 ","0.00 ","0.00 ","284.44 ","0.120 ","0.520 ","11/11/16","01/31/17","03/07/16","02/13/17","03/07/16","02/13/17"
