"Project","Provider","CLIN","Effort","Activity","ECP/REA","Swbs","Group","SOC","Owning Org","Resource","Planning Unit","Sequence","FM","Work Order","Item","Op","Scope","Task","Progress","BAC","Estimate","BCWP to BAC","BCWP to Est","ACWP","ETC","Target","Provider Target","Provider ACWP","EAC","CPI BAC","CPI Est","Baseline Start","Baseline Finish","Forecast Start","Forecast Finish","1st Actual Charged Date","Completion Date"
"469","1","            ","            ","ZDF","MULTI     ","321","3","8","626","626","S    ","S00   ","44","278385","    L9900-X02104","10","MULTI CN SW ELEC EQUIP        ","56","100","0","46.00 ","0.00 ","46.00 ","17.00 ","0.00 ","0.00 ","0.00 ","0.00 ","17.00 ","0.000 ","2.706 ","01/05/15","09/01/15","01/26/15","01/30/17","03/23/16","02/06/17"
"469","1","            ","            ","ZLW","MULTI     ","321","3","6","626","626","D3   ","LD3   ","44","284827","    L9900-X02211","10","105600 D3TD1 FAB/INST 321 HTWK","41","100","0","43.00 ","0.00 ","43.00 ","1.00 ","0.00 ","0.00 ","0.00 ","0.00 ","1.00 ","0.000 ","43.000 ","11/24/14","09/23/15","11/24/14","01/23/17","01/19/17","02/06/17"
"469","1","            ","            ","6EL","          ","990","9","10","625","625","S    ","S00   ","33","279069","    S0000-990027","10","SW INST MISSED 664 DATA HLDRS ","71","100","0","40.00 ","0.00 ","40.00 ","36.00 ","0.00 ","0.00 ","0.00 ","0.00 ","36.00 ","0.000 ","1.111 ","12/17/14","07/27/15","01/29/16","01/30/17","05/24/16","02/06/17"
"469","1","            ","            ","ZLY","BA-0119396","321","3","6","626","626","S1   ","S1U   ","160","284610","    L9900-X02206","10","106030 RO INST 321 HW S1U     ","34","100","0","87.00 ","0.00 ","87.00 ","65.00 ","0.00 ","0.00 ","0.00 ","0.00 ","65.00 ","0.000 ","1.338 ","11/24/14","09/23/15","12/22/14","01/10/17","10/20/16","02/13/17"
"469","1","            ","            ","HK5","          ","507","5","8","623","623","S3   ","WS3   ","51","274797","    WS300-507003","10","WS3 INST 623 LABELS & STENCILS","53","100","14","14.00 ","14.00 ","14.00 ","9.00 ","0.00 ","0.00 ","0.00 ","0.00 ","9.00 ","1.556 ","1.556 ","02/05/16","03/08/16","05/01/17","05/12/17","01/03/17","02/13/17"
"469","1","            ","            ","305","          ","241","2","6","TST","624","S    ","S00   ","157","274571","    S0000-241002","10","2C241C400 R/G OPEN & INSPECT  ","47","100","308","308.00 ","308.00 ","308.00 ","74.75 ","0.00 ","0.00 ","0.00 ","0.00 ","74.75 ","4.120 ","4.120 ","04/22/15","05/05/15","10/08/16","01/03/17","10/13/16","02/13/17"
"469","1","            ","            ","7AA","FCN-005505","321","3","4","626","626","D2T  ","D2T   ","44","281867","    L9900-X02143","10","FCN-005505 MOD CBLE HGRS D2T  ","34","100","0","10.00 ","0.00 ","10.00 ","1.50 ","0.00 ","0.00 ","0.00 ","0.00 ","1.50 ","0.000 ","6.667 ","07/18/14","08/26/16","09/22/14","01/09/17","01/18/17","02/13/17"
"469","1","            ","            ","6WJ","          ","990","9","10","624","624","S    ","S00   ","133","288008","    L9900-R00461","10","RWK-SW-INSPECT 12S/14S/16S/22S","820","100","0","72.00 ","0.00 ","72.00 ","35.01 ","0.00 ","0.00 ","0.00 ","0.00 ","35.01 ","0.000 ","2.057 ","05/09/16","05/27/16","12/19/16","05/14/17","02/01/17","02/13/17"
"469","1","            ","            ","6WJ","          ","990","9","10","624","624","S    ","MS2   ","113","287905","    L9900-V00042","10","VEN-MS2-SUPPORT DIVE CREW     ","890","100","168","168.00 ","168.00 ","168.00 ","0.00 ","0.00 ","0.00 ","0.00 ","0.00 ","0.00 ","","","05/09/16","05/27/16","12/19/16","05/14/17","1/1/1753","02/13/17"
"469","1","            ","            ","HKU","WFC-011   ","17","9","17","600","621","S    ","S00   ","44","284926","    L9900-W00009","10","WFC-011B FAB/INSTALL FDNS     ","56","100","66","66.00 ","66.00 ","66.00 ","0.00 ","0.00 ","0.00 ","0.00 ","0.00 ","0.00 ","","","01/05/16","06/30/16","01/05/16","02/21/17","1/1/1753","02/13/17"
"469","1","            ","            ","6HC","MULTI     ","990","9","10","623","623","S    ","S00   ","51","277327","    L9900-X02092","10","MULTI CHANGE WM PRSR SWCH A1U ","69","100","0","60.00 ","0.00 ","60.00 ","40.00 ","0.00 ","0.00 ","0.00 ","0.00 ","40.00 ","0.000 ","1.500 ","12/17/14","07/27/15","01/27/16","02/01/17","01/16/17","02/13/17"
