"Project","Provider","CLIN","Effort","Activity","ECP/REA","Swbs","Group","SOC","Owning Org","Resource","Planning Unit","Sequence","FM","Work Order","Item","Op","Scope","Task","Progress","BAC","Estimate","BCWP to BAC","BCWP to Est","ACWP","ETC","Target","Provider Target","Provider ACWP","EAC","CPI BAC","CPI Est","Baseline Start","Baseline Finish","Forecast Start","Forecast Finish"
"474","1","LCS13 CHIT  ","255","   ","255","897","9","14","620","620","900","900","0","943432","    L6200-000001","10","LN SHAFT/THRUST BRNG OP/INSP  ","6000","50","0.00","300.00","0.00","150.00","79.43","160.00","0.00","0.00","0.00","239.43","0.00","1.89","","","",""
"","","","255 Total","","","","","","","","","","","","","","","","","0.00","300.00","0.00","150.00","79.43","160.00","0.00","0.00","0.00","239.43","","","","","",""
"474","1","LCS13 CHIT  ","257","   ","257","897","9","14","620","620","900","900","0","943433","    L6200-000002","10","SALARY SUPPORT FOR 262 MOD    ","6000","25","0.00","160.00","0.00","40.00","7.50","120.00","0.00","0.00","0.00","127.50","0.00","5.33","","","",""
"","","","257 Total","","","","","","","","","","","","","","","","","0.00","160.00","0.00","40.00","7.50","120.00","0.00","0.00","0.00","127.50","","","","","",""
"474","1","LCS13 CHIT  ","525","   ","525","830","8","14","520","620","900","900","0","945198","    L5200-000001","10","INTERCEPTOR SALARY SUPPORT    ","1537","100","0.00","240.00","0.00","240.00","12.30","0.00","0.00","0.00","0.00","12.30","0.00","19.51","","","",""
"","","","525 Total","","","","","","","","","","","","","","","","","0.00","240.00","0.00","240.00","12.30","0.00","0.00","0.00","0.00","12.30","","","","","",""
"474","1","LCS13 CHIT  ","534","   ","534","830","8","14","520","520","900","900","0","945320","    L5200-000002","10","LCS CF 2210 REV A DARK SHIP   ","1537","54","0.00","120.00","0.00","64.80","214.23","54.00","0.00","0.00","0.00","268.23","0.00","0.30","","","",""
"","","","534 Total","","","","","","","","","","","","","","","","","0.00","120.00","0.00","64.80","214.23","54.00","0.00","0.00","0.00","268.23","","","","","",""
"","","","Grand Total","","","","","","","","","","","","","","","","","0.00","1520.00","0.00","924.80","412.69","614.00","0.00","0.00","0.00","1026.69","0.000","2.241","","","",""
