"Project","Provider","CLIN","Effort","Activity","ECP/REA","Swbs","Group","SOC","Owning Org","Resource","Planning Unit","Sequence","FM","Work Order","Item","Op","Scope","Task","Progress","BAC","Estimate","BCWP to BAC","BCWP to Est","ACWP","ETC","Target","Provider Target","Provider ACWP","EAC","CPI BAC","CPI Est","Baseline Start","Baseline Finish","Forecast Start","Forecast Finish"
"476","1","LCS15 CHIT  ","551","   ","551","830","8","14","520","520","900","900","0","945465","    L5200-000001","10","LCS CF 2210 REV A DARK SHIP   ","1537","50","0.00","120.00","0.00","60.00","151.80","50.00","0.00","0.00","0.00","201.80","0.00","0.40","","","",""
"","","","551 Total","","","","","","","","","","","","","","","","","0.00","120.00","0.00","60.00","151.80","50.00","0.00","0.00","0.00","201.80","","","","","",""
"","","","Grand Total","","","","","","","","","","","","","","","","","0.00","120.00","0.00","60.00","151.80","50.00","0.00","0.00","0.00","201.80","0.000","0.395","","","",""
