"Parent - Operation","Lock Date","Project","Provider","CLIN","Effort","Activity","ECP/REA","Swbs","Group","Owning Org","Resource","Planning Unit","Sequence","FM","Work Order","Item","Op","Scope","Task","Progress","BAC","Estimate","BCWP to BAC","BCWP to Est","ACWP","ETC","Target","Provider Target","Provider ACWP","EAC","CPI BAC","CPI Est","Baseline Start","Baseline Finish","Forecast Start","Forecast Finish"
"    L6000-000778-999","2/18/2017","481","1","          ","            ","778","          ","0","5","TST","600","A1   ","A1    ","0","","    L6000-000778","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","4/4/2018","5/1/2018","4/4/2018","5/1/2018"
"    L6000-000940-999","2/18/2017","481","999000","          ","            ","940","NO LABOR  ","0","3","TST","600","S    ","A1    ","999","","    L6000-000940","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","9/4/2018","10/26/2018","9/4/2018","10/26/2018"
"    L6000-000MZM-999","2/18/2017","481","1","          ","            ","MZM","          ","0","5","TST","600","A1   ","A1    ","0","","    L6000-000MZM","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","5/2/2018","5/30/2018","5/2/2018","5/30/2018"
"    L6000-000LXW-999","2/18/2017","481","1","          ","            ","LXW","          ","0","3","TST","600","A1   ","A1    ","0","","    L6000-000LXW","999","BUDGET FOR MFG                ","83","0","119","174","0","0","0","174","0","0","0","174","","","10/29/2018","12/3/2018","10/29/2018","12/3/2018"
"    L6000-000LXT-999","2/18/2017","481","1","          ","            ","LXT","          ","0","3","TST","600","A1   ","A1    ","0","","    L6000-000LXT","999","BUDGET FOR MFG                ","83","0","56","82","0","0","0","82","0","0","0","82","","","9/19/2018","10/19/2018","9/19/2018","10/19/2018"
"    L6000-000982-999","2/18/2017","481","1","          ","            ","982","          ","0","5","TST","600","A1   ","A1    ","0","","    L6000-000982","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","4/13/2018","5/10/2018","4/13/2018","5/10/2018"
"    L6000-000976-999","2/18/2017","481","1","          ","            ","976","          ","0","5","TST","600","A1   ","A1    ","0","","    L6000-000976","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","4/6/2018","5/3/2018","4/6/2018","5/3/2018"
"    L6000-000972-999","2/18/2017","481","1","          ","            ","972","          ","0","5","TST","600","A1   ","A1    ","0","","    L6000-000972","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","4/13/2018","5/10/2018","4/13/2018","5/10/2018"
"    L6000-000967-999","2/18/2017","481","1","          ","            ","967","          ","0","5","TST","600","A1   ","A1    ","0","","    L6000-000967","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","4/13/2018","5/10/2018","4/13/2018","5/10/2018"
"    L6000-000962-999","2/18/2017","481","1","          ","            ","962","          ","0","5","TST","600","A1   ","A1    ","0","","    L6000-000962","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","4/6/2018","5/3/2018","4/6/2018","5/3/2018"
"    L6000-000884-999","2/18/2017","481","1","          ","            ","884","          ","0","2","TST","600","A1   ","A1    ","0","","    L6000-000884","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","3/27/2018","4/23/2018","3/27/2018","4/23/2018"
"    L6000-000878-999","2/18/2017","481","1","          ","            ","878","          ","0","2","TST","600","A1   ","A1    ","0","","    L6000-000878","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","1/11/2018","2/7/2018","1/11/2018","2/7/2018"
"    L6000-000877-999","2/18/2017","481","1","          ","            ","877","          ","0","2","TST","600","A1   ","A1    ","0","","    L6000-000877","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","1/11/2018","2/7/2018","1/11/2018","2/7/2018"
"    L6000-000141-999","2/18/2017","481","1","          ","            ","141","          ","0","1","TST","600","A1   ","A1    ","0","","    L6000-000141","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","5/22/2018","7/20/2018","5/22/2018","7/20/2018"
"    L6000-000847-999","2/18/2017","481","1","          ","            ","847","          ","0","5","TST","600","A1   ","A1    ","0","","    L6000-000847","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","4/6/2018","5/3/2018","4/6/2018","5/3/2018"
"    L6000-000764-999","2/18/2017","481","1","          ","            ","764","          ","0","5","TST","600","A1   ","A1    ","0","","    L6000-000764","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","4/6/2018","5/3/2018","4/6/2018","5/3/2018"
"    L6000-000763-999","2/18/2017","481","1","          ","            ","763","          ","0","5","TST","600","A1   ","A1    ","0","","    L6000-000763","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","4/6/2018","5/3/2018","4/6/2018","5/3/2018"
"    L6000-000762-999","2/18/2017","481","1","          ","            ","762","          ","0","5","TST","600","A1   ","A1    ","0","","    L6000-000762","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","4/6/2018","5/3/2018","4/6/2018","5/3/2018"
"    L6000-000758-999","2/18/2017","481","1","          ","            ","758","          ","0","5","TST","600","A1   ","A1    ","0","","    L6000-000758","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","4/17/2018","5/15/2018","4/17/2018","5/15/2018"
"    L6000-000756-999","2/18/2017","481","1","          ","            ","756","          ","0","5","TST","600","A1   ","A1    ","0","","    L6000-000756","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","4/17/2018","5/15/2018","4/17/2018","5/15/2018"
"    L6000-000734-999","2/18/2017","481","1","          ","            ","734","          ","0","2","TST","600","A1   ","A1    ","0","","    L6000-000734","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","3/27/2018","4/23/2018","3/27/2018","4/23/2018"
"    L6000-000723-999","2/18/2017","481","1","          ","            ","723","          ","0","5","TST","600","A1   ","A1    ","0","","    L6000-000723","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","4/6/2018","5/3/2018","4/6/2018","5/3/2018"
"    L6000-000701-999","2/18/2017","481","1","          ","            ","701","          ","0","5","TST","600","A1   ","A1    ","0","","    L6000-000701","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","4/25/2018","5/23/2018","4/25/2018","5/23/2018"
"    L6000-000692-999","2/18/2017","481","1","          ","            ","692","          ","0","5","TST","600","A1   ","A1    ","0","","    L6000-000692","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","4/4/2018","5/1/2018","4/4/2018","5/1/2018"
"    L6000-000672-999","2/18/2017","481","1","          ","            ","672","          ","0","5","TST","600","A1   ","A1    ","0","","    L6000-000672","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","1/11/2018","2/7/2018","1/11/2018","2/7/2018"
"    L6000-000659-999","2/18/2017","481","1","          ","            ","659","          ","0","5","TST","600","A1   ","A1    ","0","","    L6000-000659","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","4/6/2018","5/3/2018","4/6/2018","5/3/2018"
"    L6000-000652-999","2/18/2017","481","1","          ","            ","652","          ","0","5","TST","600","A1   ","A1    ","0","","    L6000-000652","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","4/13/2018","5/10/2018","4/13/2018","5/10/2018"
"    L6000-000645-999","2/18/2017","481","1","          ","            ","645","          ","0","2","TST","600","A1   ","A1    ","0","","    L6000-000645","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","3/27/2018","4/23/2018","3/27/2018","4/23/2018"
"    L6000-000867-999","2/18/2017","481","1","          ","            ","867","          ","0","5","TST","600","A1   ","A1    ","0","","    L6000-000867","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","4/17/2018","5/15/2018","4/17/2018","5/15/2018"
"    L6000-000BMA-999","2/18/2017","481","1","          ","            ","BMA","          ","0","1","TST","600","A1DD1","A1DD1 ","0","","    L6000-000BMA","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","8/3/2017","8/9/2017","8/1/2017","8/7/2017"
"    L6000-000BVS-999","2/18/2017","481","1","          ","            ","BVS","          ","0","5","TST","600","A1DD1","A1DD1 ","0","","    L6000-000BVS","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","8/3/2017","8/9/2017","8/1/2017","8/7/2017"
"    L6000-000LAB-999","2/18/2017","481","1","          ","            ","LAB","          ","0","5","TST","600","A1L  ","A1L   ","0","","    L6000-000LAB","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","7/31/2017","8/4/2017","7/31/2017","8/4/2017"
"    L6000-000BPA-999","2/18/2017","481","1","          ","            ","BPA","          ","0","1","TST","600","A1L  ","A1L   ","0","","    L6000-000BPA","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","7/31/2017","8/4/2017","7/31/2017","8/4/2017"
