"Parent - Operation","Lock Date","Project","Provider","CLIN","Effort","Activity","ECP/REA","Swbs","Group","Owning Org","Resource","Planning Unit","Sequence","FM","Work Order","Item","Op","Scope","Task","Progress","BAC","Estimate","BCWP to BAC","BCWP to Est","ACWP","ETC","Target","Provider Target","Provider ACWP","EAC","CPI BAC","CPI Est","Baseline Start","Baseline Finish","Forecast Start","Forecast Finish"
"    L6000-000659-999","2/18/2017","485","1","          ","            ","659","          ","0","5","TST","600","A1   ","A1    ","0","","    L6000-000659","999","BUDGET FOR MFG                ","83","0","379","379","0","0","0","379","0","0","0","379","","","1/2/2019","1/31/2019","4/5/2019","5/16/2019"
"    L6000-000BTA-999","2/18/2017","485","1","          ","            ","BTA","          ","0","1","TST","600","A1U  ","A1U   ","0","","    L6000-000BTA","999","BUDGET FOR MFG                ","83","0","151","151","0","0","0","151","0","0","0","151","","","6/8/2018","6/14/2018","8/23/2018","8/30/2018"
"    L6000-000CAH-999","2/18/2017","485","999000","          ","            ","CAH","NO LABOR  ","0","1","TST","600","D1S  ","D1SD1 ","999","","    L6000-000CAH","999","BUDGET FOR MFG                ","83","0","18","18","0","0","0","18","0","0","0","18","","","5/3/2018","5/8/2018","5/10/2018","5/16/2018"
"    L6000-000CAY-999","2/18/2017","485","999000","          ","            ","CAY","NO LABOR  ","0","1","TST","600","D1S  ","D1SD2 ","999","","    L6000-000CAY","999","BUDGET FOR MFG                ","83","0","16","16","0","0","0","16","0","0","0","16","","","5/7/2018","5/10/2018","6/14/2018","6/20/2018"
"    L6000-000CBP-999","2/18/2017","485","999000","          ","            ","CBP","NO LABOR  ","0","1","TST","600","D1S  ","D1SD3 ","999","","    L6000-000CBP","999","BUDGET FOR MFG                ","83","0","16","16","0","0","0","16","0","0","0","16","","","6/20/2018","6/25/2018","7/3/2018","7/10/2018"
"    L6000-000CCD-999","2/18/2017","485","999000","          ","            ","CCD","NO LABOR  ","0","1","TST","600","D1S  ","D1SD4 ","999","","    L6000-000CCD","999","BUDGET FOR MFG                ","83","0","17","17","0","0","0","17","0","0","0","17","","","7/16/2018","7/19/2018","8/10/2018","8/16/2018"
"    L6000-000CCS-999","2/18/2017","485","999000","          ","            ","CCS","NO LABOR  ","0","1","TST","600","D1TD1","D1TD1 ","999","","    L6000-000CCS","999","BUDGET FOR MFG                ","83","0","40","40","0","0","0","40","0","0","0","40","","","10/3/2018","10/10/2018","11/27/2018","12/6/2018"
"    L6000-000CEA-999","2/18/2017","485","999000","          ","            ","CEA","NO LABOR  ","0","1","TST","600","D2MM1","D2MM1 ","999","","    L6000-000CEA","999","BUDGET FOR MFG                ","83","0","32","32","0","0","0","32","0","0","0","32","","","9/25/2018","10/1/2018","9/27/2018","10/5/2018"
"    L6000-000CEY-999","2/18/2017","485","999000","          ","            ","CEY","NO LABOR  ","0","1","TST","600","D2S  ","D2SD1 ","999","","    L6000-000CEY","999","BUDGET FOR MFG                ","83","0","16","16","0","0","0","16","0","0","0","16","","","4/26/2018","5/4/2018","5/30/2018","6/11/2018"
"    L6000-000CFN-999","2/18/2017","485","999000","          ","            ","CFN","NO LABOR  ","0","1","TST","600","D2S  ","D2SD2 ","999","","    L6000-000CFN","999","BUDGET FOR MFG                ","83","0","16","16","0","0","0","16","0","0","0","16","","","3/23/2018","4/2/2018","4/13/2018","4/25/2018"
"    L6000-000CGD-999","2/18/2017","485","999000","          ","            ","CGD","NO LABOR  ","0","1","TST","600","D2T  ","D2TD1 ","999","","    L6000-000CGD","999","BUDGET FOR MFG                ","83","0","16","16","0","0","0","16","0","0","0","16","","","10/15/2018","10/22/2018","11/15/2018","11/28/2018"
"    L6000-000CGW-999","2/18/2017","485","999000","          ","            ","CGW","NO LABOR  ","0","1","TST","600","D2T  ","D2TD2 ","999","","    L6000-000CGW","999","BUDGET FOR MFG                ","83","0","16","16","0","0","0","16","0","0","0","16","","","8/8/2018","8/14/2018","9/11/2018","9/19/2018"
"    L6000-000CLE-999","2/18/2017","485","999000","          ","            ","CLE","NO LABOR  ","0","1","TST","600","D3TD1","D3TD1 ","999","","    L6000-000CLE","999","BUDGET FOR MFG                ","83","0","16","16","0","0","0","16","0","0","0","16","","","8/3/2018","8/9/2018","8/14/2018","8/22/2018"
"    L6000-000CQZ-999","2/18/2017","485","1","          ","            ","CQZ","          ","0","1","TST","600","E2L  ","E2LB1 ","0","","    L6000-000CQZ","999","BUDGET FOR MFG                ","83","0","175","175","0","0","0","175","0","0","0","175","","","1/8/2018","1/16/2018","3/16/2018","3/28/2018"
"    L6000-000CYT-999","2/18/2017","485","1","          ","            ","CYT","          ","0","1","TST","600","F3L  ","F3LB1 ","0","","    L6000-000CYT","999","BUDGET FOR MFG                ","83","0","31","31","0","0","0","31","0","0","0","31","","","12/19/2017","1/4/2018","2/15/2018","2/27/2018"
"    L6000-000CZK-999","2/18/2017","485","1","          ","            ","CZK","          ","0","1","TST","600","F3L  ","F3LD1 ","0","","    L6000-000CZK","999","BUDGET FOR MFG                ","83","0","18","18","0","0","0","18","0","0","0","18","","","12/22/2017","1/4/2018","2/1/2018","2/7/2018"
"    L6000-000DAC-999","2/18/2017","485","1","          ","            ","DAC","          ","0","1","TST","600","F3U  ","F3UD1 ","0","","    L6000-000DAC","999","BUDGET FOR MFG                ","83","0","30","30","0","0","0","30","0","0","0","30","","","12/15/2017","12/21/2017","2/2/2018","2/9/2018"
"    L6000-000MEK-999","2/18/2017","485","1","          ","            ","MEK","          ","0","3","TST","600","A1   ","MA1   ","0","","    L6000-000MEK","999","BUDGET FOR MFG                ","83","0","125","125","0","0","0","125","0","0","0","125","","","2/17/2020","2/20/2020","3/24/2020","3/26/2020"
"    L6000-000MEL-999","2/18/2017","485","1","          ","            ","MEL","          ","0","3","TST","600","F3   ","MF3   ","0","","    L6000-000MEL","999","BUDGET FOR MFG                ","83","0","125","125","0","0","0","125","0","0","0","125","","","2/17/2020","2/20/2020","3/24/2020","3/26/2020"
"    L6000-000QFK-600","2/18/2017","485","1","          ","            ","QFK","          ","0","6","600","600","S    ","S00   ","0","","    L6000-000QFK","600","BUDGET FOR MFG                ","83","0","880","880","0","0","0","880","0","0","0","880","","","1/2/2018","12/21/2018","1/2/2018","12/21/2018"
"    L6000-000QBH-600","2/18/2017","485","1","          ","            ","QBH","          ","0","9","600","600","S    ","S00   ","0","","    L6000-000QBH","600","BUDGET FOR MFG                ","83","0","8904","8904","0","0","0","8904","0","0","0","8904","","","1/2/2019","12/23/2019","1/2/2019","12/23/2019"
"    L6000-000QBM-600","2/18/2017","485","1","          ","            ","QBM","          ","0","9","600","600","S    ","S00   ","0","","    L6000-000QBM","600","BUDGET FOR MFG                ","83","0","3586","3586","0","0","0","3586","0","0","0","3586","","","1/2/2020","8/7/2020","1/2/2020","8/7/2020"
"    L6000-000QBQ-999","2/18/2017","485","1","          ","            ","QBQ","          ","0","9","TST","600","S    ","S00   ","0","","    L6000-000QBQ","999","BUDGET FOR MFG                ","83","0","4257","4257","0","0","0","4257","0","0","0","4257","","","4/1/2019","12/23/2019","4/1/2019","12/23/2019"
"    L6000-000QEQ-600","2/18/2017","485","1","          ","            ","QEQ","          ","0","9","600","600","S    ","S00   ","0","","    L6000-000QEQ","600","BUDGET FOR MFG                ","83","0","800","800","0","0","0","800","0","0","0","800","","","1/2/2019","6/28/2019","1/2/2019","6/28/2019"
