"Parent - Operation","Lock Date","Project","Provider","CLIN","Effort","Activity","ECP/REA","Swbs","Group","Owning Org","Resource","Planning Unit","Sequence","FM","Work Order","Item","Op","Scope","Task","Progress","BAC","Estimate","BCWP to BAC","BCWP to Est","ACWP","ETC","Target","Provider Target","Provider ACWP","EAC","CPI BAC","CPI Est","Baseline Start","Baseline Finish","Forecast Start","Forecast Finish"
"    L6000-000867-999","2/18/2017","477","1","          ","            ","867","          ","0","5","TST","600","A1   ","A1    ","0","","    L6000-000867","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","5/31/2017","7/3/2017","6/6/2017","7/19/2017"
"    L6000-000943-999","2/18/2017","477","999000","          ","            ","943","NO LABOR  ","0","3","TST","600","A1   ","A1    ","999","","    L6000-000943","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","7/25/2017","8/22/2017","7/7/2017","8/10/2017"
"    L6000-000940-999","2/18/2017","477","999000","          ","            ","940","NO LABOR  ","0","3","TST","600","S    ","A1    ","999","","    L6000-000940","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","10/13/2017","12/20/2017","9/12/2017","11/15/2017"
"    L6000-000982-999","2/18/2017","477","1","          ","            ","982","          ","0","5","TST","600","A1   ","A1    ","0","","    L6000-000982","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","4/7/2017","5/10/2017","5/1/2017","6/13/2017"
"    L6000-000976-999","2/18/2017","477","1","          ","            ","976","          ","0","5","TST","600","A1   ","A1    ","0","","    L6000-000976","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","4/11/2017","5/12/2017","6/8/2017","7/21/2017"
"    L6000-000972-999","2/18/2017","477","1","          ","            ","972","          ","0","5","TST","600","A1   ","A1    ","0","","    L6000-000972","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","4/7/2017","5/10/2017","4/17/2017","5/30/2017"
"    L6000-000967-999","2/18/2017","477","1","          ","            ","967","          ","0","5","TST","600","A1   ","A1    ","0","","    L6000-000967","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","4/7/2017","5/10/2017","4/17/2017","5/30/2017"
"    L6000-000962-999","2/18/2017","477","1","          ","            ","962","          ","0","5","TST","600","A1   ","A1    ","0","","    L6000-000962","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","3/29/2017","5/1/2017","3/31/2017","5/12/2017"
"    L6000-000H80-999","2/18/2017","477","1","          ","            ","888","          ","0","5","TST","600","A1   ","A1    ","0","","    L6000-000H80","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
"    L6000-000H38-999","2/18/2017","477","1","          ","            ","888","          ","0","2","TST","600","A1   ","A1    ","0","","    L6000-000H38","999","BUDGET FOR MFG                ","83","100","0","0","0","0","0","0","0","0","0","0","","","1/1/1753","1/1/1753","1/1/1753","1/1/1753"
