"","SWBS","Item","Description","Noun 1","Noun 2","NRE","Vendor","PO","Line","Unit Price","Order Qty","Delivered Qty","Committed Qty","Commit Amnt","Delv.date","Acct /Proj /Dept","CLIN","Effort","ECP/REA"
"485","110","13-1225200420","ANGLE, 2-1/2"" X 2"" X 1/4"" X 20","ANGLE     ","                  ","   ","104757","766064","11","106.58","1","0","1","106.58","07/19/2017","       /    /    ","            ","            ",""
"485","110","13-1615150320","ANGLE, 3/16"" X 1-1/2"" X 1-1/2""","ANGLE     ","HOT ROLLED        ","   ","104757","766064","12","28.42","3","0","3","85.26","07/19/2017","       /    /    ","            ","            ",""
"485","110","13-1620200220","ANGLE, 2"" X 2"" X 1/8"" X 20', S","ANGLE     ","                  ","   ","104757","766064","13","29.36","3","0","3","88.08","07/19/2017","       /    /    ","            ","            ",""
"485","110","13-1620200420","ANGLE, 2"" X 2"" X 1/4"" X 20', S","ANGLE     ","                  ","   ","104757","766064","14","50.38","52","0","52","2619.76","07/19/2017","       /    /    ","            ","            ",""
"485","110","13-1625200320","ANGLE, 2 1/2"" X 2"" X 3/16"" X 2","ANGLE     ","                  ","   ","104757","766064","15","47.27","70","0","70","3308.9","07/19/2017","       /    /    ","            ","            ",""
"485","110","13-1625200420","ANGLE, 2 1/2"" X 2"" X 1/4"" X 20","ANGLE     ","                  ","   ","104757","766064","16","106.58","5","0","5","532.9","07/19/2017","       /    /    ","            ","            ",""
"485","110","13-1625250320","ANGLE, 2 1/2"" X 2 1/2"" X 3/16""","ANGLE     ","                  ","   ","104757","766064","17","46.65","60","0","60","2799","07/19/2017","       /    /    ","            ","            ",""
"485","110","13-1625250420","ANGLE, 2-1/2"" X 2-1/2"" X 1/4"" ","ANGLE     ","                  ","   ","104757","766064","18","64.73","35","0","35","2265.55","07/19/2017","       /    /    ","            ","            ",""
"485","110","13-1630200320","ANGLE, 3"" X 2"" X 3/16"" X 20', ","ANGLE     ","                  ","   ","104757","766064","19","48.47","43","0","43","2084.21","07/19/2017","       /    /    ","            ","            ",""
"485","110","13-1630200420","ANGLE, 3"" X 2"" X 1/4"" X 20', S","ANGLE     ","                  ","   ","104757","766064","20","69.66","37","0","37","2577.42","07/19/2017","       /    /    ","            ","            ",""
"485","110","13-1630300320","ANGLE, 3"" X 3"" X 3/16"" X 20', ","ANGLE     ","                  ","   ","104757","766064","21","58.68","20","0","20","1173.6","07/19/2017","       /    /    ","            ","            ",""
"485","110","13-1630300420","ANGLE, 3"" X 3"" X 1/4"" X 20', S","ANGLE     ","                  ","   ","104757","766064","22","77.37","66","0","66","5106.42","07/19/2017","       /    /    ","            ","            ",""
"485","110","13-1630300620","ANGLE, 3"" X 3"" X 3/8"" X 20', S","ANGLE     ","                  ","   ","104757","766064","23","122.33","27","0","27","3302.91","07/19/2017","       /    /    ","            ","            ",""
"485","110","13-1640300420","ANGLE, 4"" X 3"" X 1/4"" X  20', ","ANGLE     ","                  ","   ","104757","766064","24","91.58","27","0","27","2472.66","07/19/2017","       /    /    ","            ","            ",""
"485","110","13-1640300620","ANGLE, 4"" X 3"" X 3/8"" X 20', S","ANGLE     ","                  ","   ","104757","766064","25","151.21","1","0","1","151.21","07/19/2017","       /    /    ","            ","            ",""
"485","110","13-1640400420","ANGLE, 4"" X 4"" X 1/4"" X ANGLE,","ANGLE     ","                  ","   ","104757","766064","26","117.41","2","0","2","234.82","07/19/2017","       /    /    ","            ","            ",""
"485","110","13-1640400620","ANGLE, 4"" X 4"" X 3/8"" X 20', S","ANGLE     ","                  ","   ","104757","766064","27","145.45","2","0","2","290.9","07/19/2017","       /    /    ","            ","            ",""
"485","110","13-1640400820","ANGLE, 4"" X 4"" X 1/2"" X 20', S","ANGLE     ","                  ","   ","104757","766064","28","240","11","0","11","2640","07/19/2017","       /    /    ","            ","            ",""
"485","110","13-1650300420","ANGLE, 5"" X 3"" X 1/4"" X 20', S","ANGLE     ","                  ","   ","104757","766064","29","165.63","4","0","4","662.52","07/19/2017","       /    /    ","            ","            ",""
"485","110","13-1650300620","ANGLE, 5"" X 3"" X 3/8"" X 20', S","ANGLE     ","                  ","   ","104757","766064","30","174.34","2","0","2","348.68","07/19/2017","       /    /    ","            ","            ",""
"485","110","13-1650300820","ANGLE, 5"" X 3"" X 1/2"" X 20', S","ANGLE     ","                  ","   ","104757","766064","31","315.6","4","0","4","1262.4","07/19/2017","       /    /    ","            ","            ",""
"485","110","13-1660350520","ANGLE, 6"" X 3-1/2"" X 5/16"" X 2","ANGLE     ","                  ","   ","104757","766064","32","400","3","0","3","1200","07/19/2017","       /    /    ","            ","            ",""
"485","110","11-13E030G08","PLATE, 3/16"" X 8' X 4', STEEL,","PLATE     ","SHEET             ","   ","104757","766064","33","395.51","5","0","5","1977.55","07/19/2017","       /    /    ","            ","            ",""
"485","110","110-00-00080","ANGLE, 1-1/2 X 1-1/2 X 3/16""  ","ANGLE     ","                  ","   ","104757","766064","34","28.42","73","0","73","2074.66","07/19/2017","       /    /    ","            ","            ",""
"485","110","110-00-00081","ANGLE, 2 X 2 X 3/16"", 20', STL","ANGLE     ","                  ","   ","104757","766064","35","38.53","5","0","5","192.65","07/19/2017","       /    /    ","            ","            ",""
"485","110","110-00-00082","ANGLE, 2 X 2 X 5/16"", 20' LG  ","ANGLE     ","                  ","   ","104757","766064","36","156.2","2","0","2","312.4","07/19/2017","       /    /    ","            ","            ",""
"485","110","110-00-00086","ANGLE, 1-1/2 X 1-1/2 X 1/4""   ","ANGLE     ","                  ","   ","104757","766064","37","36.97","14","0","14","517.58","07/19/2017","       /    /    ","            ","            ",""
"485","110","110-00-00087","FLATBAR, 5"" X 3/4"" X 20',     ","BAR       ","FLAT              ","   ","104757","766064","38","201.32","1","0","1","201.32","07/19/2017","       /    /    ","            ","            ",""
