"","SWBS","Item","Description","Noun 1","Noun 2","NRE","Vendor","PO","Line","Unit Price","Order Qty","Delivered Qty","Committed Qty","Commit Amnt","Delv.date","Acct /Proj /Dept","CLIN","Effort","ECP/REA"
"485","252","252-01-00001-816","CABLE FOR HAND HELD TERMINAL  ","CABLE     ","                  ","   ","104945","970184","15","0","1","0","1","0","01/05/2018","       /    /    ","            ","            ",""
"485","252","252-01-00001-817","HAND HELD TERMINAL RRNMI      ","TERMINAL  ","                  ","   ","104945","970184","16","0","1","0","1","0","01/05/2018","       /    /    ","            ","            ",""
"485","252","252-01-00001-818","FEED BACK TRANSMITTERS        ","TRANSMITTE","FEED BACK         ","   ","104945","970184","17","0","4","0","4","0","01/05/2018","       /    /    ","            ","            ",""
"485","252","252-01-00001-819","CONTROL UNIT, LOCAL           ","UNIT      ","                  ","   ","104945","970184","18","0","1","0","1","0","01/05/2018","       /    /    ","            ","            ",""
"485","252","252-01-00001-820","STATION IO UNITS #3, BRIDGE WI","UNIT      ","STATION           ","   ","104945","970184","19","0","2","0","2","0","01/05/2018","       /    /    ","            ","            ",""
"485","252","252-01-00001-822","CONNECTOR, MALE               ","CONNECTOR ","MALE              ","   ","104945","970184","20","0","40","0","40","0","01/05/2018","       /    /    ","            ","            ",""
"485","252","252-01-00001-824","CONNECTOR                     ","CONNECTOR ","                  ","   ","104945","970184","21","0","10","0","10","0","01/05/2018","       /    /    ","            ","            ",""
"485","252","252-01-00001-825","MOUNTING TOOL                 ","TOOLS     ","MOUNTING          ","   ","104945","970184","22","0","1","0","1","0","01/05/2018","       /    /    ","            ","            ",""
"485","252","252-01-00001-826","CRIMPER TOOL                  ","TOOLS     ","CRIMPER           ","   ","104945","970184","23","0","1","0","1","0","01/05/2018","       /    /    ","            ","            ",""
"485","252","252-01-00001-L11","CERTIFICATES, REGULATORY BODY ","CERTIFICAT","REGULATORY        ","   ","104945","970184","24","0","1","0","1","0","01/05/2018","       /    /    ","            ","            ",""
"485","252","252-01-00001-L26","CERTIFICATE, IDENTICALITY     ","CERTIFICAT","IDENTICALITY      ","   ","104945","970184","25","0","1","0","1","0","01/05/2018","       /    /    ","            ","            ",""
"485","252","252-01-00001-L68","CERTIFICATES, VENDOR WELDING  ","CERTIFICAT","VENDOR            ","   ","104945","970184","26","0","1","0","1","0","01/05/2018","       /    /    ","            ","            ",""
"485","252","252-01-00006-S00","KIT, CANMAN, SHOCK MODS       ","SHOCK     ","                  ","   ","104945","970445","28","0","1","0","1","0","06/12/2017","       /    /    ","            ","            ","CF 2297-S3"
"485","252","252-01-00006-S00","KIT, CANMAN, SHOCK MODS       ","SHOCK     ","                  ","   ","104945","970445","29","0","-1","0","-1","0","06/12/2017","       /    /    ","            ","            ","CF 2297-S3"
"485","252","252-01-00006","KIT, CANMAN, SHOCK MODS       ","SHOCK     ","MODIFICATION      ","   ","104945","970445","30","0","1","0","1","0","06/12/2017","       /    /    ","            ","            ","CF 2297-S3"
"485","252","252-01-00007-S00","KIT, WATERJET CONTROL SYSTEM  ","SHOCK     ","                  ","   ","104945","970447","28","0","1","0","1","0","06/12/2017","       /    /    ","            ","            ","CF 2029-S3"
"485","252","252-01-00007-S00","KIT, WATERJET CONTROL SYSTEM  ","SHOCK     ","                  ","   ","104945","970447","29","0","-1","0","-1","0","06/12/2017","       /    /    ","            ","            ","CF 2029-S3"
"485","252","252-01-00007","KIT, WATERJET CONTROL SYSTEM  ","KIT       ","WATERJET          ","   ","104945","970447","30","0","1","0","1","0","06/12/2017","       /    /    ","            ","            ","CF 2029-S3"
"485","256","256-03-H0001","FLEX HOSE ASSY, 1-3/8"", RUBBER","ASSEMBLY  ","HOSE              ","   ","100904","687672","1","3118.44","4","0","4","12473.76","08/24/2017","       /    /    ","            ","            ",""
"485","256","256-03-H0001-L50","CERTIFICATES, CONSTRUCTION    ","CERTIFICAT","CONSTRUCTION      ","   ","100904","687672","2","0","4","0","4","0","08/24/2017","       /    /    ","            ","            ",""
"485","256","256-03-H0002","FLEX HOSE ASSY, 2-3/8"", RUBBER","ASSEMBLY  ","HOSE              ","   ","100904","687672","3","5509.47","4","0","4","22037.88","08/24/2017","       /    /    ","            ","            ",""
"485","256","256-03-H0002-L50","CERTIFICATES, CONSTRUCTION    ","CERTIFICAT","CONSTRUCTION      ","   ","100904","687672","4","0","4","0","4","0","08/24/2017","       /    /    ","            ","            ",""
"485","256","256-03-H0003","FLEX HOSE ASSY, 6"" DIA, RUBBER","ASSEMBLY  ","HOSE              ","   ","100904","687672","5","1513.15","4","0","4","6052.6","08/24/2017","       /    /    ","            ","            ",""
"485","256","256-03-H0003-L50","CERTIFICATES, CONSTRUCTION    ","CERTIFICAT","CONSTRUCTION      ","   ","100904","687672","6","0","4","0","4","0","08/24/2017","       /    /    ","            ","            ",""
"485","256","256-01-V0040","VALVE, GATE, 1-1/2 IPS, BRONZE","VALVE     ","GATE              ","   ","103936","930808","1","926","12","0","12","11112","12/01/2017","       /    /    ","            ","            ",""
"485","256","256-01-V0040-L26","CERTIFICATE, IDENTICALITY     ","CERTIFICAT","IDENTICALITY      ","   ","103936","930808","3","0","1","0","1","0","12/01/2017","       /    /    ","            ","            ",""
"485","256","256-01-19B-1","ORIFICE PLATE, 6"", 150 LB     ","PLATE     ","ORIFICE           ","   ","105206","941001","1","30.49","1","1","1","30.49","06/12/2017","       /    /    ","            ","            ",""
"485","256","256-01-19B-2","ORIFICE PLATE, 6"", 150 LB     ","PLATE     ","ORIFICE           ","   ","105206","941001","2","30.49","1","1","1","30.49","06/12/2017","       /    /    ","            ","            ",""
"485","256","256-01-3-1-0","ORIFICE PLATE, 2"", 150 LB     ","PLATE     ","ORIFICE           ","   ","105206","941001","3","22.6","1","1","1","22.6","06/12/2017","       /    /    ","            ","            ",""
"485","256","256-01-3-2-0","ORIFICE PLATE, 2"", 150 LB     ","PLATE     ","ORIFICE           ","   ","105206","941001","4","22.6","1","1","1","22.6","06/12/2017","       /    /    ","            ","            ",""
"485","256","256-01-4-1-0","ORIFICE PLATE, 2"", 150 LB     ","PLATE     ","ORIFICE           ","   ","105206","941001","5","22.6","1","1","1","22.6","06/12/2017","       /    /    ","            ","            ",""
"485","256","256-01-4-2-0","ORIFICE PLATE, 2"", 150 LB     ","PLATE     ","ORIFICE           ","   ","105206","941001","6","22.6","1","1","1","22.6","06/12/2017","       /    /    ","            ","            ",""
"485","256","256-01-1A-00","ORIFICE PLATE, 1/2"", 150 LB   ","PLATE     ","ORIFICE           ","   ","105206","941001","7","21.11","1","1","1","21.11","06/12/2017","       /    /    ","            ","            ",""
"485","256","256-01-1B-00","ORIFICE PLATE, 1/2"", 150 LB   ","PLATE     ","ORIFICE           ","   ","105206","941001","8","21.11","1","1","1","21.11","06/12/2017","       /    /    ","            ","            ",""
"485","256","256-01-1-1-0","ORIFICE PLATE, 2"", 150 LB     ","PLATE     ","ORIFICE           ","   ","105206","941001","15","22.6","1","1","1","22.6","06/12/2017","       /    /    ","            ","            ",""
"485","256","256-01-1-2-0","ORIFICE PLATE, 2"", 150 LB     ","PLATE     ","ORIFICE           ","   ","105206","941001","16","22.6","1","1","1","22.6","06/12/2017","       /    /    ","            ","            ",""
"485","256","256-01-1-3-0","ORIFICE PLATE, 2"", 150 LB     ","PLATE     ","ORIFICE           ","   ","105206","941001","17","22.6","1","1","1","22.6","06/12/2017","       /    /    ","            ","            ",""
"485","256","256-01-1A-1-","ORIFICE PLATE, 3"", 150 LB     ","PLATE     ","ORIFICE           ","   ","105206","941001","18","24","1","1","1","24","06/12/2017","       /    /    ","            ","            ",""
"485","256","256-01-1A-2-","ORIFICE PLATE, 3"", 150 LB     ","PLATE     ","ORIFICE           ","   ","105206","941001","19","24","1","1","1","24","06/12/2017","       /    /    ","            ","            ",""
"485","256","256-01-1B-1-","ORIFICE PLATE, 3"", 150 LB     ","PLATE     ","ORIFICE           ","   ","105206","941001","20","24","1","1","1","24","06/12/2017","       /    /    ","            ","            ",""
"485","256","256-01-1B-2-","ORIFICE PLATE, 3"", 150 LB     ","PLATE     ","ORIFICE           ","   ","105206","941001","21","24","1","1","1","24","06/12/2017","       /    /    ","            ","            ",""
"485","256","256-01-20A-1","ORIFICE PLATE, 5"", 150 LB     ","PLATE     ","ORIFICE           ","   ","105206","941001","29","29.14","1","1","1","29.14","06/12/2017","       /    /    ","            ","            ",""
"485","256","256-01-20A-2","ORIFICE PLATE, 5"", 150 LB     ","PLATE     ","ORIFICE           ","   ","105206","941001","30","29.14","1","1","1","29.14","06/12/2017","       /    /    ","            ","            ",""
"485","256","256-01-2B-1-","ORIFICE PLATE, 3"", 150 LB     ","PLATE     ","ORIFICE           ","   ","105206","941001","31","24","1","1","1","24","06/12/2017","       /    /    ","            ","            ",""
"485","256","256-01-2B-2-","ORIFICE PLATE, 3"", 150 LB     ","PLATE     ","ORIFICE           ","   ","105206","941001","32","24","1","1","1","24","06/12/2017","       /    /    ","            ","            ",""
"485","256","256-01-5-1-0","ORIFICE PLATE, 2"", 150 LB     ","PLATE     ","ORIFICE           ","   ","105206","941001","33","22.6","1","1","1","22.6","06/12/2017","       /    /    ","            ","            ",""
"485","256","256-01-5-2-0","ORIFICE PLATE, 2"", 150 LB     ","PLATE     ","ORIFICE           ","   ","105206","941001","34","22.6","1","1","1","22.6","06/12/2017","       /    /    ","            ","            ",""
"485","256","256-01-00005","ORIFICE PLATE, 4"", 150#, MONEL","PLATE     ","ORIFICE           ","   ","105206","941001","35","29.39","1","1","1","29.39","06/12/2017","       /    /    ","            ","            ",""
"485","256","256-01-00006","ORIFICE PLATE, 4"", 150#, MONEL","PLATE     ","ORIFICE           ","   ","105206","941001","36","29.39","1","1","1","29.39","06/12/2017","       /    /    ","            ","            ",""
"485","256","256-01-14B-1","ORIFICE PLATE, 4"", 150 LB     ","PLATE     ","ORIFICE           ","   ","105206","941001","37","28.53","1","1","1","28.53","06/12/2017","       /    /    ","            ","            ",""
"485","256","256-01-14B-2","ORIFICE PLATE, 4"", 150 LB     ","PLATE     ","ORIFICE           ","   ","105206","941001","38","28.53","1","1","1","28.53","06/12/2017","       /    /    ","            ","            ",""
"485","256","256-01-2-1-0","ORIFICE PLATE, 2"", 150 LB     ","PLATE     ","ORIFICE           ","   ","105206","941001","39","22.6","1","1","1","22.6","06/12/2017","       /    /    ","            ","            ",""
"485","256","256-01-2-2-0","ORIFICE PLATE, 2"", 150 LB     ","PLATE     ","ORIFICE           ","   ","105206","941001","40","22.6","1","1","1","22.6","06/12/2017","       /    /    ","            ","            ",""
"485","256","256-01-17A-1","ORIFICE PLATE, 5"", 150 LB     ","PLATE     ","ORIFICE           ","   ","105206","941001","41","29.14","1","1","1","29.14","06/12/2017","       /    /    ","            ","            ",""
"485","256","256-01-17A-2","ORIFICE PLATE, 5"", 150 LB     ","PLATE     ","ORIFICE           ","   ","105206","941001","42","29.14","1","1","1","29.14","06/12/2017","       /    /    ","            ","            ",""
"485","256","256-01-17B-1","ORIFICE PLATE, 5"", 150 LB     ","PLATE     ","ORIFICE           ","   ","105206","941001","43","29.14","1","1","1","29.14","06/12/2017","       /    /    ","            ","            ",""
"485","256","256-01-17B-2","ORIFICE PLATE, 5"", 150 LB     ","PLATE     ","ORIFICE           ","   ","105206","941001","44","29.14","1","1","1","29.14","06/12/2017","       /    /    ","            ","            ",""
"485","256","256-01-28A-1","ORIFICE PLATE, 3/4"", 150 LB   ","PLATE     ","ORIFICE           ","   ","105206","941001","45","22.1","1","1","1","22.1","06/12/2017","       /    /    ","            ","            ",""
"485","256","256-01-28A-2","ORIFICE PLATE, 3/4"", 150 LB   ","PLATE     ","ORIFICE           ","   ","105206","941001","46","22.1","1","1","1","22.1","06/12/2017","       /    /    ","            ","            ",""
"485","256","256-01-28B-1","ORIFICE PLATE, 3/4"", 150 LB   ","PLATE     ","ORIFICE           ","   ","105206","941001","47","22.1","1","1","1","22.1","06/12/2017","       /    /    ","            ","            ",""
"485","256","256-01-28B-2","ORIFICE PLATE, 3/4"", 150 LB   ","PLATE     ","ORIFICE           ","   ","105206","941001","48","22.1","1","1","1","22.1","06/12/2017","       /    /    ","            ","            ",""
"485","256","256-01-22A-1","ORIFICE PLATE, 1-1/4"", 150 LB ","PLATE     ","ORIFICE           ","   ","105206","941001","49","22.12","1","1","1","22.12","06/12/2017","       /    /    ","            ","            ",""
"485","256","256-01-22A-2","ORIFICE PLATE, 1-1/4"", 150 LB ","PLATE     ","ORIFICE           ","   ","105206","941001","50","22.12","1","1","1","22.12","06/12/2017","       /    /    ","            ","            ",""
"485","256","256-01-22B-1","ORIFICE PLATE, 1-1/4"", 150 LB ","PLATE     ","ORIFICE           ","   ","105206","941001","51","22.12","1","1","1","22.12","06/12/2017","       /    /    ","            ","            ",""
"485","256","256-01-22B-2","ORIFICE PLATE, 1-1/4"", 150 LB ","PLATE     ","ORIFICE           ","   ","105206","941001","52","22.12","1","1","1","22.12","06/12/2017","       /    /    ","            ","            ",""
"485","256","256-01-43A-0","ORIFICE PLATE, 5"", 150 LB, MON","          ","                  ","   ","105206","941003","1","29.14","1","1","1","29.14","06/26/2017","       /    /    ","            ","            ",""
"485","256","256-01-43B-0","ORIFICE PLATE, 5"", 150 LB, MON","          ","                  ","   ","105206","941003","2","29.14","1","1","1","29.14","06/26/2017","       /    /    ","            ","            ",""
"485","256","256-01-43C-0","ORIFICE PLATE, 5"", 150 LB, MON","          ","                  ","   ","105206","941003","3","29.14","1","1","1","29.14","06/26/2017","       /    /    ","            ","            ",""
"485","256","256-01-44A-0","ORIFICE PLATE, 5"", 150 LB, MON","          ","                  ","   ","105206","941003","4","29.14","1","1","1","29.14","06/26/2017","       /    /    ","            ","            ",""
"485","256","256-01-44B-0","ORIFICE PLATE, 5"", 150 LB, MON","          ","                  ","   ","105206","941003","5","29.14","1","1","1","29.14","06/26/2017","       /    /    ","            ","            ",""
"485","256","256-01-44C-0","ORIFICE PLATE, 5"", 150 LB, MON","          ","                  ","   ","105206","941003","6","29.14","1","1","1","29.14","06/26/2017","       /    /    ","            ","            ",""
"485","256","256-01-45A-0","ORIFICE PLATE, 5"", 150 LB, MON","          ","                  ","   ","105206","941003","7","29.14","1","1","1","29.14","06/26/2017","       /    /    ","            ","            ",""
"485","256","256-01-45B-0","ORIFICE PLATE, 5"", 150 LB, MON","          ","                  ","   ","105206","941003","8","29.14","1","1","1","29.14","06/26/2017","       /    /    ","            ","            ",""
"485","256","256-01-45C-0","ORIFICE PLATE, 5"", 150 LB, MON","          ","                  ","   ","105206","941003","9","29.14","1","1","1","29.14","06/26/2017","       /    /    ","            ","            ",""
"485","256","256-01-15A-1","ORIFICE PLATE, 1-1/2"", 150 LB ","PLATE     ","ORIFICE           ","   ","105206","941003","14","23.23","1","1","1","23.23","06/26/2017","       /    /    ","            ","            ",""
"485","256","256-01-15A-2","ORIFICE PLATE, 1-1/2"", 150 LB ","PLATE     ","ORIFICE           ","   ","105206","941003","15","23.23","1","1","1","23.23","06/26/2017","       /    /    ","            ","            ",""
"485","256","256-01-15B-1","ORIFICE PLATE, 1-1/2"", 150 LB ","PLATE     ","ORIFICE           ","   ","105206","941003","16","23.23","1","1","1","23.23","06/26/2017","       /    /    ","            ","            ",""
"485","256","256-01-15B-2","ORIFICE PLATE, 1-1/2"", 150 LB ","PLATE     ","ORIFICE           ","   ","105206","941003","17","23.23","1","1","1","23.23","06/26/2017","       /    /    ","            ","            ",""
"485","256","256-01-2A-00","ORIFICE PLATE, 1/2"", 150 LB   ","PLATE     ","ORIFICE           ","   ","105206","941003","20","21.11","1","1","1","21.11","06/26/2017","       /    /    ","            ","            ",""
"485","256","256-01-2B-00","ORIFICE PLATE, 1/2"", 150 LB   ","PLATE     ","ORIFICE           ","   ","105206","941003","21","21.11","1","1","1","21.11","06/26/2017","       /    /    ","            ","            ",""
"485","256","256-01-1-27A","ORIFICE PLATE, 1/2"", 150 LB   ","PLATE     ","ORIFICE           ","   ","105206","941003","25","21.11","1","1","1","21.11","06/26/2017","       /    /    ","            ","            ",""
"485","256","256-01-1-27B","ORIFICE PLATE, 1/2"", 150 LB   ","PLATE     ","ORIFICE           ","   ","105206","941003","26","21.11","1","1","1","21.11","06/26/2017","       /    /    ","            ","            ",""
"485","256","256-01-2-27A","ORIFICE PLATE, 1/2"", 150 LB   ","PLATE     ","ORIFICE           ","   ","105206","941003","27","21.11","1","1","1","21.11","06/26/2017","       /    /    ","            ","            ",""
"485","256","256-01-2-27B","ORIFICE PLATE, 1/2"", 150 LB   ","PLATE     ","ORIFICE           ","   ","105206","941003","28","21.11","1","1","1","21.11","06/26/2017","       /    /    ","            ","            ",""
"485","256","256-01-24-1-","ORIFICE PLATE, 1-1/4"", 150 LB ","PLATE     ","ORIFICE           ","   ","105206","941003","29","22.12","1","1","1","22.12","06/26/2017","       /    /    ","            ","            ",""
"485","256","256-01-24-2-","ORIFICE PLATE, 1-1/4"", 150 LB ","PLATE     ","ORIFICE           ","   ","105206","941003","30","22.12","1","1","1","22.12","06/26/2017","       /    /    ","            ","            ",""
"485","256","256-01-29A-1","ORIFICE PLATE, 2"", 150 LB     ","PLATE     ","ORIFICE           ","   ","105206","941003","31","22.6","1","1","1","22.6","06/26/2017","       /    /    ","            ","            ",""
"485","256","256-01-29A-2","ORIFICE PLATE, 2"", 150 LB     ","PLATE     ","ORIFICE           ","   ","105206","941003","32","22.6","1","1","1","22.6","06/26/2017","       /    /    ","            ","            ",""
"485","256","256-01-29B-1","ORIFICE PLATE, 2"", 150 LB     ","PLATE     ","ORIFICE           ","   ","105206","941003","33","22.6","1","1","1","22.6","06/26/2017","       /    /    ","            ","            ",""
"485","256","256-01-29B-2","ORIFICE PLATE, 2"", 150 LB     ","PLATE     ","ORIFICE           ","   ","105206","941003","34","22.6","1","1","1","22.6","06/26/2017","       /    /    ","            ","            ",""
"485","256","256-01-30A-0","ORIFICE PLATE, 1"", 150 LB     ","PLATE     ","ORIFICE           ","   ","105206","941003","35","21.58","1","1","1","21.58","06/26/2017","       /    /    ","            ","            ",""
"485","256","256-01-30B-0","ORIFICE PLATE, 1"", 150 LB     ","PLATE     ","ORIFICE           ","   ","105206","941003","36","21.58","1","1","1","21.58","06/26/2017","       /    /    ","            ","            ",""
"485","256","256-01-30C-0","ORIFICE PLATE, 1"", 150 LB     ","PLATE     ","ORIFICE           ","   ","105206","941003","37","21.58","1","1","1","21.58","06/26/2017","       /    /    ","            ","            ",""
"485","256","256-01-30D-0","ORIFICE PLATE, 1"", 150 LB     ","PLATE     ","ORIFICE           ","   ","105206","941003","38","21.58","1","1","1","21.58","06/26/2017","       /    /    ","            ","            ",""
"485","256","256-01-20B-1","ORIFICE PLATE, 5"", 150 LB     ","PLATE     ","ORIFICE           ","   ","105206","941003","45","29.14","1","1","1","29.14","06/26/2017","       /    /    ","            ","            ",""
"485","256","256-01-20B-2","ORIFICE PLATE, 5"", 150 LB     ","PLATE     ","ORIFICE           ","   ","105206","941003","46","29.14","1","1","1","29.14","06/26/2017","       /    /    ","            ","            ",""
"485","256","256-01-2A-1-","ORIFICE PLATE, 3"", 150 LB     ","PLATE     ","ORIFICE           ","   ","105206","941003","47","24","1","1","1","24","06/26/2017","       /    /    ","            ","            ",""
"485","256","256-01-2A-2-","ORIFICE PLATE, 3"", 150 LB     ","PLATE     ","ORIFICE           ","   ","105206","941003","48","24","1","1","1","24","06/26/2017","       /    /    ","            ","            ",""
"485","256","256-01-00003","ORIFICE PLATE, 6"", 1/4"" MONEL ","PLATE     ","ORIFICE           ","   ","105206","941003","49","46.39","1","1","1","46.39","06/26/2017","       /    /    ","            ","            ",""
"485","256","256-01-00004","ORIFICE PLATE, 6"", 1/4"" MONEL ","PLATE     ","ORIFICE           ","   ","105206","941003","50","46.39","1","1","1","46.39","06/26/2017","       /    /    ","            ","            ",""
"485","259","259-05-22006-S00","ASSEMBLY, BELLOWS, 6"" X 8""    ","SHOCK     ","                  ","   ","57497","687660","1","3511","1","0","1","3511","10/20/2017","       /    /    ","            ","            ","CF 2276-S3"
"485","259","259-05-22001-S00","ASSEMBLY, BELLOWS, 6"" X 8""    ","SHOCK     ","                  ","   ","57497","687660","2","3511","3","0","3","10533","10/20/2017","       /    /    ","            ","            ","CF 2276-S3"
"485","259","259-05-22006-S00","ASSEMBLY, BELLOWS, 6"" X 8""    ","SHOCK     ","                  ","   ","57497","687660","3","0","-1","0","-1","0","10/20/2017","       /    /    ","            ","            ","CF 2276-S3"
"485","259","259-05-22006","ASSEMBLY, BELLOWS, 6"" X 8""    ","ASSEMBLY  ","                  ","   ","57497","687660","4","0","1","0","1","0","10/20/2017","       /    /    ","            ","            ","CF 2276-S3"
"485","259","259-05-22001-S00","ASSEMBLY, BELLOWS, 6"" X 8""    ","SHOCK     ","                  ","   ","57497","687660","5","0","-3","0","-3","0","10/20/2017","       /    /    ","            ","            ","CF 2276-S3"
"485","259","259-05-22001","ASSEMBLY, BELLOWS, 6"" X 8""    ","ASSEMBLY  ","                  ","   ","57497","687660","6","0","3","0","3","0","10/20/2017","       /    /    ","            ","            ","CF 2276-S3"
"485","259","259-05-00011","REDUCER, 12"" X 8"" CONC, 321 SS","REDUCER   ","CONCENTRIC        ","   ","1","687709","1","445","-2","-2","-2","-890","07/24/2017","       /    /    ","            ","            ","CF 2276-S1"
"485","259","259-05-00466","TUBE, SQUARE, 6"" X 6"", 0.250"" ","TUBE      ","SQUARE            ","   ","104757","766064","6","13.5","30","0","30","405","07/19/2017","       /    /    ","            ","            ",""
"485","259","259-05-00469","TUBE, SQUARE, WELDED, 4"" X 4"",","TUBE      ","SQUARE            ","   ","104757","766064","43","8.67","30","0","30","260.1","07/19/2017","       /    /    ","            ","            ",""
"485","259","259-07-00061","NIPPLE, TOE, STAINLESS STEEL 3","NIPPLE    ","THREADED          ","   ","182","787092","3","48","6","6","6","288","12/01/2017","       /    /    ","            ","            ",""
"485","259","259-05-00004","ELBOW, 90 DEG, 12"", SHORT     ","ELBOW     ","                  ","   ","182","787117","3","995","5","0","5","4975","12/01/2017","       /    /    ","            ","            ",""
"485","259","259-05-00011","REDUCER, 12"" X 8"" CONC, 321 SS","REDUCER   ","CONCENTRIC        ","   ","182","787117","9","488","4","4","4","1952","06/08/2017","       /    /    ","            ","            ",""
"485","259","259-05-00069","ELBOW, 45 DEG, 8"", LONG RADIUS","ELBOW     ","                  ","   ","182","787117","12","625","1","0","1","625","12/01/2017","       /    /    ","            ","            ",""
"485","259","259-05-00070","ELBOW, 45 DEG, 12"" LONG RADIUS","ELBOW     ","45 DEGREE         ","   ","182","787117","15","910","2","2","2","1820","06/08/2017","       /    /    ","            ","            ",""
"485","259","259-07-00001","ELBOW, 90 DEG, SHORT RADIUS   ","ELBOW     ","                  ","   ","182","787117","18","1205","8","0","8","9640","12/01/2017","       /    /    ","            ","            ",""
"485","259","259-07-00015","REDUCER, CONCENTRIC, 40"" OD X ","REDUCER   ","CONCENTRIC        ","   ","182","787117","21","2100","2","0","2","4200","12/01/2017","       /    /    ","            ","            ",""
"485","259","259-03-A0901","ADAPTER, STAINLESS STEEL 1/4"" ","ADAPTER   ","MPT X FPT         ","   ","102841","787120","3","49.99","4","4","4","199.96","06/02/2017","       /    /    ","            ","            ",""
"485","259","259-05-00005","ELBOW, 90 DEG, 8"", SHORT      ","ELBOW     ","90 DEGREE         ","   ","182","787158","7","733","6","0","6","4398","12/01/2017","       /    /    ","            ","            ",""
"485","259","259-07-00061","NIPPLE, TOE, STAINLESS STEEL 3","NIPPLE    ","THREADED          ","   ","182","787248","6","48","5","0","5","240","08/17/2017","       /    /    ","            ","            ",""
"485","259","259-05-00020","SOCKOLET, 14"" X 2"" INCONEL 625","SOCKOLET  ","                  ","   ","182","787248","9","323","4","0","4","1292","08/17/2017","       /    /    ","            ","            ",""
"485","259","259-05-00011","REDUCER, 12"" X 8"" CONC, 321 SS","REDUCER   ","CONCENTRIC        ","   ","182","787258","3","488","1","0","1","488","12/01/2017","       /    /    ","            ","            ",""
"485","259","259-05-00070","ELBOW, 45 DEG, 12"" LONG RADIUS","ELBOW     ","45 DEGREE         ","   ","182","787258","6","910","1","0","1","910","12/01/2017","       /    /    ","            ","            ",""
"485","259","259-05-00030","VALVE,DRAIN, 2"", WARREN CONTRO","VALVE     ","DRAIN             ","   ","101611","930729","1","52557","4","0","4","210228","08/01/2017","       /    /    ","            ","            ",""
"485","259","259-05-00030-L26","CERTIFICATE, IDENTICALITY     ","CERTIFICAT","IDENTICALITY      ","   ","101611","930729","3","0","1","0","1","0","08/01/2017","       /    /    ","            ","            ",""
"485","259","259-05-AWS01","PLATE, INCONEL, 0.25 X 48 X 60","PLATE     ","                  ","   ","100189","940960","2","0","1","1","1","0","05/31/2017","       /    /    ","            ","            ",""
"485","259","259-05-00S03","PLATE, INCONEL 625, ASTM B443 ","PLATE     ","                  ","   ","100189","940960","3","0","2","2","2","0","05/31/2017","       /    /    ","            ","            ",""
"485","259","259-05-AWS02","PLATE, INCONEL, 0.25 X 48 X 68","PLATE     ","                  ","   ","100189","940960","4","0","1","1","1","0","05/31/2017","       /    /    ","            ","            ",""
"485","259","259-05-00466","TUBE, SQUARE, 6"" X 6"", 0.250"" ","TUBE      ","SQUARE            ","   ","100189","940960","5","0","15","15","15","0","05/31/2017","       /    /    ","            ","            ",""
"485","259","259-05-00466","TUBE, SQUARE, 6"" X 6"", 0.250"" ","TUBE      ","SQUARE            ","   ","100189","940960","6","0","16","16","16","0","05/31/2017","       /    /    ","            ","            ",""
"485","259","259-05-00547","TUBE, SQUARE, 3"" X 3""         ","TUBE      ","SQUARE            ","   ","100189","940960","9","0","17","17","17","0","05/31/2017","       /    /    ","            ","            ",""
"485","259","259-05-00547","TUBE, SQUARE, 3"" X 3""         ","TUBE      ","SQUARE            ","   ","100189","940960","10","0","20","20","20","0","05/31/2017","       /    /    ","            ","            ",""
"485","259","259-05-00009","PIPE, 12"" IPS, SCH 10S        ","PIPE      ","                  ","   ","100189","940960","12","0","18","18","18","0","05/31/2017","       /    /    ","            ","            ",""
"485","259","259-05-00010","PIPE, 14"" IPS, SCH 10S        ","PIPE      ","                  ","   ","100189","940960","13","0","15","15","15","0","05/31/2017","       /    /    ","            ","            ",""
"485","259","259-05-00002","ELBOW, 90 DEG, LONG RADIUS,14""","ELBOW     ","90 DEGREE         ","   ","100189","940960","14","0","4","4","4","0","05/31/2017","       /    /    ","            ","            ",""
"485","259","259-05-00094","PLATE FLANGE (FOR WELDING)    ","FLANGE    ","PLATE             ","   ","107253","940962","3","161","4","4","4","644","05/19/2017","       /    /    ","            ","            ",""
"485","259","259-07-LV001","LOUVERS, COMBUSTION, FABRICATE","LOUVERS   ","COMBUSTION        ","   ","100979","941063","1","0","2","0","2","0","12/15/2017","       /    /    ","            ","            ",""
"485","259","259-07-LV001-P01","PROGRESS PAYMENT              ","PROGRESS P","                  ","   ","100979","941063","2","7487.01","1","0","1","7487.01","12/15/2017","       /    /    ","            ","            ",""
"485","259","259-07-LV001-P02","PROGRESS PAYMENT              ","PROGRESS P","                  ","   ","100979","941063","3","5989.6","1","0","1","5989.6","12/15/2017","       /    /    ","            ","            ",""
"485","259","259-07-LV001-P03","PROGRESS PAYMENT              ","PROGRESS P","                  ","   ","100979","941063","4","1497.4","1","0","1","1497.4","12/15/2017","       /    /    ","            ","            ",""
"485","259","259-07-LV001-L68","CERTIFICATE, VENDOR WELDING   ","          ","                  ","   ","100979","941063","5","0","1","0","1","0","12/15/2017","       /    /    ","            ","            ",""
"485","259","259-05-22024-S00","CLAMP, PIPE, 13-1/4"" DIA, SST ","CLAMP     ","PIPE              ","   ","105206","941099","1","396.77","1","0","1","396.77","09/01/2017","       /    /    ","            ","            ","CF 2276-S3"
