"Ldger Acct","Document","Line","Item","Description","Order","Pos.","Cust/Supp","Quantity","Unit","Amount","Date","Integr Amounts","CLIN","Effort","ECP/REA"
"4434","INV   26435","12","434-01-00101","NXG 3.3 FT RCA TO RCA CABLE   ","447335","    ","            ","1"," EA ","102.89","12/22/2016","2.77","            ","            ",""
"4434","INV   26435","12","434-01-00079","TERMINATOR, 75 OHM W/ CHAIN   ","447333","    ","            ","1"," EA ","                ","12/22/2016","83.56","            ","            ",""
"4434","INV   26435","12","434-01-00058","PIN, CONNECTOR, D-SUB, MALE   ","447332","    ","            ","18"," EA ","                ","12/22/2016","12.06","            ","            ",""
"4434","INV   26435","12","434-01-00092","F-CONNECTOR COUPLER, RADIO    ","447334","    ","            ","1"," EA ","                ","12/22/2016","4.5","            ","            ",""
"4436","INV   26262","13","436-03-00025","BRUTE LOCK LATCH MOUNTING PAD ","444429","    ","            ","3"," EA ","58.59","11/11/2016","58.59","            ","            ",""
"4436","PUR   37899","25","436-08-00036-806","CALIBRATION KIT (INCLUDES CALI","950523","7","PARASENSE IN","1"," EA ","513","02/16/2017","513","            ","            ",""
"4436","PUR   37902","59","436-08-00036-805","REFRIGERANT LEAK DETECTOR, 8  ","950523","6","PARASENSE IN","1"," EA ","20,930.54","02/16/2017","18,235.00","            ","            ",""
"4436","PUR   37902","59","436-08-00036-804","1-WAY SAMPLE PIPE AND FILTER  ","950523","5","PARASENSE IN","5"," EA ","                ","02/16/2017","137.5","            ","            ",""
"4436","PUR   37902","59","436-08-00036-803","TUBING, POLYETHEINE 6MM       ","950523","4","PARASENSE IN","1,200.00"," FT ","                ","02/16/2017","494.04","            ","            ",""
"4436","PUR   37902","59","436-08-00036-802","SPUR KIT, 4 WAY, PARASENSE P/N","950523","3","PARASENSE IN","3"," EA ","                ","02/16/2017","205.5","            ","            ",""
"4436","PUR   37902","59","436-08-00036-801","REMOTE BEACON SOUNDER ASSEMBLY","950523","2","PARASENSE IN","3"," EA ","                ","02/16/2017","1,858.50","            ","            ",""
"4436","PUR   37903","34","436-08-00036","REFRIGERANT LEAK DETECTOR SYST","950523","1","PARASENSE IN","1"," SYS","                ","02/16/2017","0","            ","            ",""
"4436","API  345835","7","","                              ","950523","    ","PARASENSE IN","            "," SYS","-0.04","02/13/2017","-0.04","            ","            ",""
"4437","INV   26216","5","437-12-00122","LOCKNUT, INSERT, HEX, M8, 316 ","443804","    ","            ","5"," PG ","7.44","11/01/2016","7.44","            ","            ",""
"4437","INV   26262","14","437-04-00173","DUCT ELEMENT HOLDER, TEMPERATU","444430","    ","            ","4"," EA ","103.25","11/11/2016","53.25","            ","            ",""
"4437","INV   26262","14","437-11-00050","BACKSHELL, 2 SCREW, USE WITH  ","444431","    ","            ","1"," EA ","                ","11/11/2016","50","            ","            ",""
"4437","INV   26435","13","437-03-00034","SWITCH, SYM 829.1, 2 POLE     ","447336","    ","            ","1"," EA ","3,182.52","12/22/2016","119","            ","            ",""
"4437","INV   26435","13","437-04-00159","RELAY, DIN RAIL, 24VDC, ALLEN ","447337","    ","            ","2"," EA ","                ","12/22/2016","34.56","            ","            ",""
"4437","INV   26435","13","437-05-00201","PUSHBUTTON CONTROL STATION    ","447338","    ","            ","6"," EA ","                ","12/22/2016","1,693.24","            ","            ",""
"4437","INV   26435","13","437-05-00203","NAVY CONNECTION BOX, SUBMERSIB","447339","    ","            ","3"," EA ","                ","12/22/2016","401","            ","            ",""
"4437","INV   26435","13","437-10-00004","NAVY CONNECTION BOX, SUBMERSIB","447340","    ","            ","1"," EA ","                ","12/22/2016","138","            ","            ",""
"4437","INV   26435","13","437-10-00011","30 AMP PLUG, RESCUE BOAT CHARG","447341","    ","            ","1"," EA ","                ","12/22/2016","134.94","            ","            ",""
"4437","INV   26435","13","437-10-00012","CON BOX, HOFFMAN, A6044CHNFSS6","447342","    ","            ","2"," EA ","                ","12/22/2016","396.35","            ","            ",""
"4437","INV   26435","13","437-10-00014","CON BOX, HOFFMAN, A606CHNFSS6 ","447343","    ","            ","1"," EA ","                ","12/22/2016","209.42","            ","            ",""
"4437","INV   26435","13","437-11-00004","NAVY CONNECTION BOX, WATERTIGH","447344","    ","            ","1"," EA ","                ","12/22/2016","56","            ","            ",""
"4437","INV   26435","13","437-11-00001-805","CONNECTOR 3106A-28-21-P       ","447416","    ","            ","1"," EA ","                ","12/22/2016","0.01","            ","            ",""
"4437","INV   26437","4","437-04-00160","CONDUIT, FLEXIBLE, 3/8"", AL,  ","447500","    ","            ","100"," FT ","48.75","12/22/2016","48.75","            ","            ",""
"4438","INV   26216","9","438-01-00102","CONNECTOR, 305-1203-1         ","443805","    ","            ","3"," EA ","369.54","11/01/2016","369.54","            ","            ",""
"4439","INV   26216","8","439-01-00001-805","MOUNT, INDOOR,GREY,SPECTRA III","443807","    ","            ","3"," EA ","0.06","11/01/2016","0.03","            ","            ",""
"4439","INV   26216","8","439-01-00001-800","SD 423-PG-EO, SPECTRA IV, ENVI","443806","    ","            ","1"," EA ","                ","11/01/2016","0","            ","            ",""
"4439","INV   26216","8","439-01-00001-806","POWER SUPPLY, 24 VAC, 20A, 16 ","443808","    ","            ","3"," EA ","                ","11/01/2016","0.03","            ","            ",""
"4439","INV   26262","16","439-01-00001-806","POWER SUPPLY, 24 VAC, 20A, 16 ","444432","    ","            ","1"," EA ","                ","11/11/2016","0","            ","            ",""
"4439","INV   26435","31","439-01-00001-804","MOUNT, OUTDOOR, SS,SPECTRA IV ","447418","    ","            ","3"," EA ","0.02","12/22/2016","0.02","            ","            ",""
"4439","INV   26435","31","439-01-00001-800","SD 423-PG-EO, SPECTRA IV, ENVI","447417","    ","            ","4"," EA ","                ","12/22/2016","0","            ","            ",""
"4439","INV   26436","6","439-01-00001-809","POWER SUPPLY, 24 VAC, 20 A,   ","447433","    ","            ","2"," EA ","                ","12/22/2016","0","            ","            ",""
"4439","INV   26637","6","439-01-00001-810","CAMERA, FIBER OPTIC           ","448876","    ","            ","1"," EA ","                ","02/16/2017","0","            ","            ",""
"4443","INV   26436","4","443-01-00002-803","SWITCH, REMOTE BULKHEAD       ","447440","    ","            ","1"," EA ","432","12/22/2016","432","            ","            ",""
"4494","INV   26216","18","494-01-00300","DOWEL PIN, 0.25 DIA X 0.75 LG ","443809","    ","            ","2"," EA ","35.74","11/01/2016","35.74","            ","            ",""
"4494","INV   26262","8","494-01-00001-8C1","WPU 38999 MATING CONNECTOR KIT","444368","    ","            ","1"," EA ","0.09","11/11/2016","0.01","            ","            ",""
"4494","INV   26262","8","494-01-00001-8C3","WPU 38999 MATING CONNECTOR KIT","444371","    ","            ","1"," EA ","                ","11/11/2016","0.01","            ","            ",""
"4494","INV   26262","8","494-01-00001-8C2","WPU 38999 MATING CONNECTOR KIT","444369","    ","            ","1"," EA ","                ","11/11/2016","0.01","            ","            ",""
"4494","INV   26262","8","494-01-00001-8C5","CONNECTOR KIT,SENSOR,AIR TEMP,","444372","    ","            ","1"," EA ","                ","11/11/2016","0","            ","            ",""
"4494","INV   26262","8","494-01-00001-8C6","CONNECTOR, ANEMOMETER KIT     ","444374","    ","            ","2"," EA ","                ","11/11/2016","0","            ","            ",""
"4494","INV   26262","8","494-01-00001-8A6","WPU 38999 MATING CONNECTOR KIT","444362","    ","            ","1"," EA ","                ","11/11/2016","0.01","            ","            ",""
"4494","INV   26262","8","494-01-00001-8A2","15.0"" MFCR 38999 MATING       ","444359","    ","            ","1"," EA ","                ","11/11/2016","0.01","            ","            ",""
"4494","INV   26262","8","494-01-00001-8A3","15.0"" MFCR 38999 MATING       ","444361","    ","            ","1"," EA ","                ","11/11/2016","0.01","            ","            ",""
"4494","INV   26262","8","494-01-00001-8A7","WPU 38999 MATING CONNECTOR KIT","444364","    ","            ","1"," EA ","                ","11/11/2016","0.01","            ","            ",""
"4494","INV   26262","8","494-01-00001-8A8","WPU 38999 MATING CONNECTOR KIT","444365","    ","            ","1"," EA ","                ","11/11/2016","0.01","            ","            ",""
"4494","INV   26262","8","494-01-00001-8A9","WPU 38999 MATING CONNECTOR KIT","444366","    ","            ","1"," EA ","                ","11/11/2016","0.01","            ","            ",""
