"Ldger Acct","Document","Line","Item","Description","Order","Pos.","Cust/Supp","Quantity","Unit","Amount","Date","Integr Amounts","CLIN","Effort","ECP/REA"
"4002","PUR   36596","5","583-03-00001-P01","PROGRESS PAYMENT              ","950038","15","SCAN PACIFIC","1"," EA ","15,695.00","04/07/2016","15,695.00","            ","            ",""
"4002","PUR   37931","4","HPR-0000735-01","PLATE, 56MM X 96"" X 26', STEEL","786685","1","LEECO STEEL ","1"," EA ","39,700.00","02/24/2017","39,700.00","            ","            ",""
"4002","INV   26764","12","HPR-0001712-01","ELB, 90 DEGREE, 5"" IPS, SR, CL","450822","    ","            ","1"," EA ","17,120.00","03/16/2017","280","            ","            ",""
"4002","INV   26764","12","HPR-0001712-02","ELB, 90 DEGREE, 5"" IPS, SR, CL","450823","    ","            ","1"," EA ","                ","03/16/2017","280","            ","            ",""
"4002","INV   26764","12","HPR-0001717-01","FLANGE, 6"", SW, 90/10 CNA, FF,","450828","    ","            ","36"," EA ","                ","03/16/2017","16,560.00","            ","            ",""
"4002","INV   26798","6","HPR-0001717-01","FLANGE, 6"", SW, 90/10 CNA, FF,","451106","    ","            ","33"," EA ","-15,180.00","03/25/2017","-15,180.00","            ","            ",""
"4002","INV   26799","10","HPR-0001742-01","VALVE, GATE, 2-1/2"" IPS, BRZ, ","451130","    ","            ","3"," EA ","1,965.00","03/25/2017","1,965.00","            ","            ",""
"4002","PUR   38059","73","HPR-0001578-01","TEE, RED, CU-NI, 6x4          ","786960","2","W&O SUPPLY I","1"," EA ","381","04/01/2017","381","            ","            ",""
"4002","INV   26871","14","HPR-0001817-01","SOCKOLET, 6""X2-1/2 IPS        ","451688","    ","            ","2"," EA ","1,804.00","04/07/2017","404","            ","            ",""
"4002","INV   26871","14","HPR-0001808-01","ELB, 90 DEGREE, 5"" IPS, SR, CL","451687","    ","            ","5"," EA ","                ","04/07/2017","1,400.00","            ","            ",""
"4002","INV   26899","10","HPR-0001849-01","VALVE, SWING CHECK, 2"" NOM, BR","452123","    ","            ","2"," EA ","190","04/14/2017","190","            ","            ",""
"4002","INV   26929","18","HPR-0001888-01","ELBOW, 6"", 45DEG, BTWLD, CNA  ","452454","    ","            ","1"," EA ","348","04/21/2017","348","            ","            ",""
"4002","INV   26957","5","HPR-0001910-01","VALVE, GLOBE, 1/2"", NICKEL    ","452575","    ","            ","1"," EA ","517","04/28/2017","517","            ","            ",""
"4002","INV   26990","12","HPR-0001959-01","SOCKOLET, 5"" IPS RUN x 2-1/2"" ","452996","    ","            ","1"," EA ","446","05/05/2017","202","            ","            ",""
"4002","INV   26990","12","HPR-0001959-02","FLANGE,NAVY,6""IPS,CLASS 25    ","452997","    ","            ","1"," EA ","                ","05/05/2017","244","            ","            ",""
"4002","INV   26992","3","HPR-0001956-01","VALVE, GLOBE, 1/2"", NICKEL    ","453053","    ","            ","1"," EA ","517","05/05/2017","517","            ","            ",""
"4002","INV   27016","11","HPR-0001978-01","VALVE, GLOBE STOP CHECK, 1/2"" ","453087","    ","            ","1"," EA ","1,416.00","05/15/2017","528","            ","            ",""
"4002","INV   27016","11","HPR-0001978-02","VALVE, GLOBE STOP CHECK, 3/4"" ","453088","    ","            ","1"," EA ","                ","05/15/2017","696","            ","            ",""
"4002","INV   27016","11","HPR-0001968-01","THERMOWELL, SW, 3/4"", SSTL 316","453100","    ","            ","2"," EA ","                ","05/15/2017","192","            ","            ",""
"4002","INV   27017","24","HPR-0001975-01","TEE, REDC, 1/2 X 1/4"", SST 316","453164","    ","            ","1"," EA ","2,494.89","05/15/2017","338.89","            ","            ",""
"4002","INV   27017","24","HPR-0001975-02","MOISTURE SEPARATOR, 1/2"" FPT  ","453165","    ","            ","1"," EA ","                ","05/15/2017","52","            ","            ",""
"4002","INV   27017","24","HPR-0001975-03","VALVE, GATE, 1-1/2 IPS, BRZ, U","453167","    ","            ","4"," EA ","                ","05/15/2017","2,104.00","            ","            ",""
"4002","INV   27019","25","HPR-0001742-01","VALVE, GATE, 2-1/2"" IPS, BRZ, ","453266","    ","            ","1"," EA ","-655","05/15/2017","-655","            ","            ",""
"4002","INV   27041","11","HPR-0002013-01","VALVE, TANK VENT CHECK, VERT  ","453724","    ","            ","1"," EA ","2,910.00","05/19/2017","2,910.00","            ","            ",""
"4002","INV   27041","16","HPR-0001578-01","TEE, RED, CU-NI, 6x4          ","453730","    ","            ","1"," EA ","-656","05/19/2017","-454","            ","            ",""
"4002","INV   27041","16","HPR-0001817-01","SOCKOLET, 6""X2-1/2 IPS        ","453731","    ","            ","1"," EA ","                ","05/19/2017","-202","            ","            ",""
"4002","INV   27042","27","HPR-0001997-01","FLANGE, 1-1/2"" IPS, CLASS 150 ","453890","    ","            ","5"," EA ","688","05/19/2017","430","            ","            ",""
"4002","INV   27042","27","HPR-0001997-01","FLANGE, 1-1/2"" IPS, CLASS 150 ","453891","    ","            ","3"," EA ","                ","05/19/2017","258","            ","            ",""
"4002","INV   27043","12","HPR-0002001-01","SOCKOLET, 6"" IPS RUN X 2"" IPS ","453901","    ","            ","2"," EA ","16,156.00","05/19/2017","270","            ","            ",""
"4002","INV   27043","12","HPR-0002001-01","SOCKOLET, 6"" IPS RUN X 2"" IPS ","453902","    ","            ","1"," EA ","                ","05/19/2017","135","            ","            ",""
"4002","INV   27043","12","HPR-0002032-01","RETURN BEND, 1"", 180 DEG, ALUM","453905","    ","            ","1"," EA ","                ","05/19/2017","139","            ","            ",""
"4002","INV   27043","12","HPR-0001998-01","WELDOLET, 6"", CNA 90/10       ","453918","    ","            ","2"," EA ","                ","05/19/2017","1,060.00","            ","            ",""
"4002","INV   27043","12","HPR-0001998-03","EDUCTOR, 8"" X 6"" X 5"" IPS,    ","453919","    ","            ","1"," EA ","                ","05/19/2017","12,261.00","            ","            ",""
"4002","INV   27043","12","HPR-0001998-04","VALVE, RELIEF, 1/2"", SSTL     ","453920","    ","            ","1"," EA ","                ","05/19/2017","1,565.00","            ","            ",""
