"Ldger Acct","Document","Line","Item","Description","Order","Pos.","Cust/Supp","Quantity","Unit","Amount","Date","Integr Amounts","CLIN","Effort","ECP/REA"
"4008","API  359953","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","142.13","12/20/2017","142.13","            ","            ",""
"4008","API  359954","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","363.85","12/20/2017","363.85","            ","            ",""
"4008","API  359955","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","176.8","12/20/2017","176.8","            ","            ",""
"4008","API  359956","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","636.66","12/20/2017","636.66","            ","            ",""
"4008","API  359957","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","409.34","12/20/2017","409.34","            ","            ",""
"4008","API  359958","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","90.96","12/20/2017","90.96","            ","            ",""
"4008","API  359959","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","334.7","12/20/2017","334.7","            ","            ",""
"4008","API  359960","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","141.44","12/20/2017","141.44","            ","            ",""
"4008","API  359963","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","363.85","12/20/2017","363.85","            ","            ",""
"4008","API  359964","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","565.76","12/20/2017","565.76","            ","            ",""
"4008","API  359965","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","688.83","12/20/2017","688.83","            ","            ",""
"4008","API  359966","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","557.07","12/20/2017","557.07","            ","            ",""
"4008","API  359967","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","329.73","12/20/2017","329.73","            ","            ",""
"4008","API  359968","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","295.61","12/20/2017","295.61","            ","            ",""
"4008","API  359969","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","255.85","12/20/2017","255.85","            ","            ",""
"4008","API  359970","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","227.41","12/20/2017","227.41","            ","            ",""
"4008","API  359971","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","56.84","12/20/2017","56.84","            ","            ",""
"4008","API  359972","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","73.9","12/20/2017","73.9","            ","            ",""
"4008","API  359973","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","137.33","12/20/2017","137.33","            ","            ",""
"4008","API  359974","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","545.78","12/20/2017","545.78","            ","            ",""
"4008","AMI  157937","14","                ","                              ","      ","    ","TRANS INTERN","            ","    ","1,200.00","01/04/2018","1,200.00","            ","            ",""
"4008","AMI  158003","9","                ","                              ","      ","    ","TRANS INTERN","            ","    ","1,208.56","01/15/2018","1,208.56","            ","            ",""
"4008","AMI  158076","3","                ","                              ","      ","    ","TRANS INTERN","            ","    ","150.08","01/23/2018","150.08","            ","            ",""
"4008","API  360148","2","                ","                              ","766094","    ","ARCELORMITTA","            ","    ","909.46","01/02/2018","909.46","            ","            ",""
