"Ldger Acct","Document","Line","Item","Description","Order","Pos.","Cust/Supp","Quantity","Unit","Amount","Date","Integr Amounts","CLIN","Effort","ECP/REA"
"4002","PUR   36596","7","583-03-00001-P01","PROGRESS PAYMENT              ","950039","15","SCAN PACIFIC","1"," EA ","15,695.00","04/07/2016","15,695.00","            ","            ",""
"4002","PUR   37942","49","  HPR-0001403-01","DIAMOND TREAD PLATE, ALUMINUM ","786864","1","PIERCE ALUMI","1"," EA ","892.3","03/01/2017","892.3","            ","            ",""
"4002","INV   26711","4","  HPR-0001403-01","DIAMOND TREAD PLATE, ALUMINUM ","449973","    ","            ","1"," EA ","-623","03/03/2017","-623","            ","            ",""
"4002","INV   26960","4","  HPR-0001519-01","PLATE, DIAMOND TREAD, 3/8"" X  ","452705","    ","            ","1"," EA ","-923","04/28/2017","-300","            ","            ",""
"4002","INV   26960","4","  HPR-0001519-02","DIAMOND TREAD PLATE, ALUMINUM ","452706","    ","            ","1"," EA ","                ","04/28/2017","-623","            ","            ",""
"4002","PUR   38116","5","  HPR-0001519-01","PLATE, DIAMOND TREAD, 3/8"" X  ","786967","1","PIERCE ALUMI","1"," EA ","703","04/17/2017","703","            ","            ",""
"4002","PUR   38156","7","  HPR-0001519-02","DIAMOND TREAD PLATE, ALUMINUM ","786967","2","PIERCE ALUMI","1"," EA ","1,115.00","04/28/2017","1,115.00","            ","            ",""
"4002","INV   27042","25","  HPR-0002018-01","ELB, 90 DEGREE, 5"" IPS, SR, CL","453889","    ","            ","1"," EA ","280","05/19/2017","280","            ","            ",""
"4002","INV   27070","8","  HPR-0002036-01","ELL 90,L.R.,6 IPS,CPR NKL,90-1","454039","    ","            ","1"," EA ","312","05/26/2017","312","            ","            ",""
"4002","INV   27100","14","  HPR-0002085-01","FLANGE, 6"" IPS, CU-NI, 90-10, ","454373","    ","            ","1"," EA ","920","06/02/2017","920","            ","            ",""
"4002","           ","     "," Project 0483   ","                     Total:   ","      ","    ","            ","            ","    ","18,371.30","          ","18,371.30","","",""
"4008","API  321054","8","                ","                              ","930198","    ","GRAINGER    ","            "," EA ","19.15","09/29/2015","19.15","            ","            ",""
"4008","AMI  147496","13","                ","                              ","      ","    ","UPS         ","            "," EA ","7.25","10/28/2015","7.25","            ","            ",""
"4008","API  323720","8","                ","                              ","798747","    ","PROGRESSIVE ","            "," EA ","138.09","11/10/2015","138.09","            ","            ",""
