"Ldger Acct","Document","Line","Item","Description","Order","Pos.","Cust/Supp","Quantity","Unit","Amount","Date","Integr Amounts","CLIN","Effort"
"4505","PUR   37529","62","    505-03-A9120","ADAPTER, REDUCING, UNION TAILP","900869","2","HYDRASEARCH ","2"," EA ","                ","11/05/2016","222.42","            ",""
"4505","PUR   37529","62","    505-03-A9152","ADAPTER, REDUCING, THREADED UN","900869","7","HYDRASEARCH ","3"," EA ","                ","11/05/2016","272.73","            ",""
"4505","PUR   37529","62","    505-03-A9376","ADAPTER, STAINLESS STEEL 1/2"" ","900869","11","HYDRASEARCH ","5"," EA ","                ","11/05/2016","246.05","            ",""
"4505","PUR   37529","62","    505-03-A9681","UNION, 3/8"", SS 316L, FEM PIPE","900869","9","HYDRASEARCH ","8"," EA ","                ","11/05/2016","887.36","            ",""
"4505","PUR   37529","62","    505-03-A9054","ADAPTER,3/4"",SST, MALE CONN   ","900869","1","HYDRASEARCH ","21"," EA ","                ","11/05/2016","1,613.22","            ",""
"4505","PUR   37529","62","    505-03-A9567","ADAPTER, 1 X 1-5/8-12, MONEL  ","900869","8","HYDRASEARCH ","2"," EA ","                ","11/05/2016","1,347.66","            ",""
"4505","PUR   37529","62","    505-03-U9059","UNION, 1"", SW, MONEL, W/VITON ","900869","10","HYDRASEARCH ","8"," EA ","                ","11/05/2016","3,505.60","            ",""
"4505","PUR   37529","74","    505-01-00039","TRANSOM INSERT -00039, EH-36, ","940574","7","R&A MANUFACT","2"," EA ","560","11/05/2016","560","            ",""
"4505","PUR   37575","70","    505-01-00011","SQUARE TUBING,2x 2x 1/4"" WALL ","940786","3","RYERSON     ","11"," EA ","7,859.85","11/18/2016","588.39","            ",""
"4505","PUR   37575","70","    505-01-00012","SQUARE TUBING, 2-1/2x2-1/2x1/4","940786","4","RYERSON     ","100"," EA ","                ","11/18/2016","7,030.00","            ",""
"4505","PUR   37575","70","    505-01-00013","SQUARE TUBING, 4x 4x 1/4 WALL ","940786","5","RYERSON     ","2"," EA ","                ","11/18/2016","241.46","            ",""
"4505","PUR   37575","73","    505-01-C9112","SLEEVE, OVERBOARD, 8"" IPS,    ","900507","4","STAINLESS MA","4"," EA ","660","11/18/2016","660","            ",""
"4505","PUR   37596","74","    505-01-M9130","BELLMOUTH, 6"" X 8"", SSTL 304L ","940544","4","ALASKAN COPP","9"," EA ","15,335.00","11/26/2016","3,105.00","            ",""
"4505","PUR   37596","74","    505-01-M9129","BELLMOUTH, 3"" X 4"", CRES 304L ","940544","3","ALASKAN COPP","16"," EA ","                ","11/26/2016","4,000.00","            ",""
"4505","PUR   37596","74","    505-01-M9027","BELLMOUTH, 2"" X 2-1/2"", CUNI  ","940544","2","ALASKAN COPP","8"," EA ","                ","11/26/2016","5,440.00","            ",""
"4505","PUR   37596","74","    505-01-M9015","BELLMOUTH, 1-1/2"" X 2-1/2"", NO","940544","1","ALASKAN COPP","2"," EA ","                ","11/26/2016","250","            ",""
"4505","PUR   37596","74","    505-01-M925A","BELLMOUTH ASSY W/SPLASH PLATE ","940544","5","ALASKAN COPP","2"," EA ","                ","11/26/2016","1,154.00","            ",""
"4505","PUR   37596","74","    505-01-M927A","BELLMOUTH ASSY W/SPLASH PLATE ","940544","6","ALASKAN COPP","2"," EA ","                ","11/26/2016","1,386.00","            ",""
"4505","PUR   37607","79","    505-01-VF012","VALVE FND, MFG IAW, 6"", STEEL ","940860","12","NORTHERN FAB","31"," EA ","3,231.63","11/30/2016","1,241.86","            ",""
"4505","PUR   37607","79","    505-01-VF005","VALVE FND, MFG IAW, 6"", STEEL ","940860","5","NORTHERN FAB","8"," EA ","                ","11/30/2016","351.52","            ",""
"4505","PUR   37607","79","    505-01-VF013","VALVE FND, MFG IAW, 8"", STEEL ","940860","13","NORTHERN FAB","6"," EA ","                ","11/30/2016","285.9","            ",""
"4505","PUR   37607","79","    505-01-VF002","VALVE FND, MFG IAW, 3"", STEEL ","940860","2","NORTHERN FAB","2"," EA ","                ","11/30/2016","92.42","            ",""
"4505","PUR   37607","79","    505-01-VF004","VALVE FND, MFG IAW, 4"", STEEL ","940860","4","NORTHERN FAB","2"," EA ","                ","11/30/2016","97.02","            ",""
